年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
96/04,1101,台泥,         13596448,         54109101,         38570773,                  0,          3327258,        109603580,          8493660,         12222928,          5030332,          1029744,         26776664,         32486372,          8548945,         15185816,         26605783,                  0,         82826916,                  0,                  0,         25.50,                  0,                  0
96/04,1102,亞泥,          5633570,         81406224,          1964543,                  0,          8315710,         97320047,          4943226,         16913396,          1443866,          1699768,         25000256,         27346909,          6885839,         22188989,         15898054,                  0,         72319791,                  0,                  0,         26.45,                  0,                  0
96/04,1103,嘉泥,          3510213,         19217188,            746529,            115176,            293521,         23882627,          1884163,          4102000,                  0,          1137372,          7123535,          6736871,            540537,          6941713,          3434999,           -895028,         16759092,                  0,                  0,         30.84,                  0,        130263631
96/04,1104,環球水泥,          2015716,          8981209,          2981652,             50164,          2348223,         16376964,          1316671,          2200000,          1082113,            423632,          5022416,          5591592,            167717,          2083824,          3511415,                  0,         11354548,                  0,                  0,         20.31,                  0,                  0
96/04,1108,幸福水泥,          2218172,          2696984,          2608624,             22108,            555804,          8101692,          2586523,            765000,                  0,            393454,          3744977,          4047380,             15965,            322962,            -29592,                  0,          4356715,                  0,                  0,         10.76,                  0,                  0
96/04,1109,信大水泥,          3078394,          1677142,          1874636,                  0,            207045,          6837217,            315835,                  0,                  0,            326563,            642398,          4290898,             20743,          1881687,              1491,                  0,          6194819,                  0,                  0,         14.44,                  0,                  0
96/04,1110,東泥,          1366288,          2797634,          5279491,                  0,            473330,          9916743,            529432,             81667,            243226,            648349,          1502674,          5760008,            166739,          1794214,            741135,            -48027,          8414069,                  0,                  0,         14.72,                  0,          4301932
96/04,1201,味全公司,          2553976,          1562058,          4997613,            289416,            819753,         10222816,          2428611,          1367000,            748907,          1202914,          5747432,          5060629,             77114,           -401422,           -260937,                  0,          4475384,                  0,                  0,          8.84,                  0,                  0
96/04,1203,味王公司,          1718992,          3167064,            753821,             89310,             59155,          5788342,          1652209,            310000,            139094,            426116,          2527419,          2092537,             36154,           -111453,          1248636,             -4951,          3260923,                  0,                  0,         15.73,                  0,          2000000
96/04,1210,大成長城,          4535580,          5883705,          2050381,             24793,            424519,         12918978,          2958245,          1606197,             20754,            142915,          4728111,          4218966,          1368282,          2162132,            660279,           -218792,          8190867,                  0,                  0,         21.00,                  0,         31930941
