年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
91/02,1101,台泥,          7555961,         35090413,         49191323,            782790,          5495797,          8136599,         35567801,          7048051,         26562543,         15280044,          5817299,           -296053,         98116284,         50752451,         47363833,         18.17
91/02,1102,亞泥,          6904876,         35695822,          3122703,                  0,          9350110,          6734335,          9920000,          4565833,         20383904,          7052953,          7888463,         -1471977,         55073511,         21220168,         33853343,         16.60
91/02,1103,嘉泥,          4230749,          6806315,          4584650,            721685,          3182397,          2569588,          5333882,          2305503,          6996391,          1649183,          2006279,         -1335030,         19525796,         10208973,          9316823,         13.31
91/02,1104,環球水泥,          1490599,          4753635,          5713323,            222167,            224508,          1830661,          1144287,          2136833,          3580004,          2180951,          1530100,              1396,         12404232,          5111781,          7292451,         20.36
91/02,1108,幸福水泥,          2138300,          3267228,          2522159,                  0,            457112,          3322261,            674000,            272292,          4047380,                308,             65012,              3546,          8384799,          4268553,          4116246,         10.17
91/02,1109,信大水泥,          1849741,          1882293,          2243710,             69155,            191881,            691522,                  0,            263823,          4207140,             15140,          1059455,               -300,          6236780,            955345,          5281435,         12.55
91/02,1110,東泥,          1101805,          2241531,          5697721,             70112,            628035,            782223,            553219,          1119610,          5586360,            315076,          1633261,           -250545,          9739204,          2455052,          7284152,         13.03
91/02,1201,味全公司,          3981481,          1756346,          4925610,            863218,            916879,          5128020,          1362750,          2509382,          5060629,          1680594,         -3131246,           -166595,         12443534,          9000152,          3443382,          6.80
91/02,1203,味王公司,          1431267,            721575,          2121688,            261659,          1698036,          1846731,            552666,          1748527,          2092537,             59265,             68506,           -134007,          6234225,          4147924,          2086301,          9.97
91/02,1210,大成長城,          3395604,          2498948,          1972377,              2732,            167673,          2603267,            611891,             46670,          4521389,             99095,          1225042,         -1070020,          8037334,          3261828,          4775506,         10.56
91/02,1213,大飲,            316924,                  0,            196512,                  0,            217917,            147616,                  0,             15056,            389963,            103830,             74888,                  0,            731353,            162672,            568681,         14.58
