年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
97/04,1101,台泥,         12813439,         46428984,         37033995,                  0,          3217630,         99494048,         14676080,          7328040,          5030332,            420389,         27454841,         32921759,          8552529,         14035080,         16529839,                  0,         72039207,                  0,                  0,         21.88,                  0,                  0
97/04,1102,亞泥,          9125262,         76352304,          2468030,                  0,          8476006,         96421602,          5121382,         23369087,          1443866,          1647172,         31581507,         28987723,          8080494,         20490138,          7281740,                  0,         64840095,                  0,                  0,         22.37,                  0,                  0
97/04,1103,嘉泥,          3148707,         18324376,          2226747,             76445,            225776,         24002051,          2338729,          4710591,                  0,          1185092,          8234412,          7258309,            395908,          6455504,          2600674,           -942756,         15767639,                  0,                  0,         27.35,                  0,        149291165
97/04,1104,環球水泥,          1498050,          9853905,          2955839,             44410,          2343026,         16695230,          1790540,          1900000,          1082113,            414188,          5186841,          6038919,            156218,          1665356,          3647896,                  0,         11508389,                  0,                  0,         19.06,                  0,                  0
97/04,1108,幸福水泥,          2072107,          2549747,          3179381,             23725,            628237,          8453197,          2512468,          1303000,                  0,            427676,          4243144,          4047380,             15965,            182057,            -35349,                  0,          4210053,                  0,                  0,         10.40,                  0,                  0
97/04,1109,信大水泥,          2553405,          1847932,          1882948,                  0,            190624,          6474909,            198809,                  0,                  0,            342918,            541727,          4290898,             26992,          1837160,           -195812,            -26056,          5933182,                  0,                  0,         13.94,                  0,          3575000
97/04,1110,東泥,          1219720,          2412204,          4803537,                  0,            887843,          9323304,            478284,             16334,            243226,            599068,          1336912,          5720008,            179713,          1561937,            572761,            -48027,          7986392,                  0,                  0,         14.07,                  0,          4301932
97/04,1201,味全公司,          2741709,          1677332,          4978952,            192944,            861655,         10452592,          1781522,          1600000,            748907,          1421231,          5551660,          5060629,             77114,            125256,           -362067,                  0,          4900932,                  0,                  0,          9.68,                  0,                  0
97/04,1203,味王公司,          1761140,          3495399,            762912,             59540,             46774,          6125765,          1703710,                  0,            139094,            467260,          2310064,          2092537,             36154,            539589,          1152372,             -4951,          3815701,                  0,                  0,         18.41,                  0,          2000000
97/04,1210,大成長城,          4335887,          6128479,          2603564,             16527,            502370,         13586827,          3170042,          1533532,             20754,            159064,          4883392,          4486784,          1652046,          2180142,            603255,           -218792,          8703435,                  0,                  0,         20.96,                  0,         33506245
97/04,1213,大飲,            314268,             45196,            267676,                  0,            144240,            771380,            133707,                  0,                  0,             52694,            186401,            514751,             21938,             50615,             -2325,                  0,            584979,                  0,                  0,         11.36,                  0,                  0
97/04,1215,卜蜂企業,          2764953,            463099,          1064479,                  0,            104567,          4397098,          1579907,                  0,                  0,            249504,          1829411,          2320268,                967,            334584,            -88132,                  0,          2567687,                  0,                  0,         11.07,                  0,                  0
97/04,1216,統一,          9016457,         69067812,          9387515,            120065,          5159764,         92751613,          8346561,         24820762,            815803,          1776358,         35759484,         37331420,          6093456,         10635627,          2931626,                  0,         56992129,                  0,                  0,         15.27,                  0,                  0
97/04,1217,愛之味,          1917760,          2814854,          1721379,             12655,          1235036,          7701684,          1934011,          1097501,             79974,            204772,          3316258,          4476893,             82550,           -244739,             70722,                  0,          4385426,                  0,                  0,          9.80,                  0,                  0
97/04,1218,泰山企業,          3174786,          2681707,          2191723,                  0,             81864,          8130080,          3140859,          1029471,            285250,            195852,          4651432,          3202434,            105726,            -66867,            304296,            -66941,          3478648,                  0,                  0,         11.29,                  0,         12208428
97/04,,,,,,,,,,,,,,,,,,,,,,,,
97/04,1219,福壽實業,          3094776,            736093,          1583108,                243,            105929,          5520149,          1078127,            412264,            431001,            217471,          2138863,          2743080,            215384,             88172,            334650,                  0,          3381286,                  0,                  0,         12.33,                  0,                  0
97/04,1220,台榮,            950473,            279539,            552782,                  0,            145808,          1928602,            299861,                  0,              5813,            102804,            408478,          1770779,                537,           -238535,            -12657,                  0,          1520124,                  0,                  0,          8.58,                  0,                  0
97/04,1225,福懋油,          1991223,          1015791,            952927,              5942,            159812,          4125695,          1016683,          1100000,            100296,             64875,          2281854,          1627000,             94698,            -81523,            203666,                  0,          1843841,                  0,                  0,         11.33,                  0,                  0
97/04,1227,佳格,          3176944,          1695862,          1061252,              9763,            444493,          6388314,          1400054,                  0,             33685,             18850,          1452589,          3209184,             21606,          1618977,            107140,            -21182,          4935725,                  0,                  0,         15.49,                  0,          2338960
97/04,1229,聯華實業,          1424007,         13151202,          3115078,              1275,            186820,         17878382,          1180723,          2519083,             93806,            212773,          4006385,          7869932,            827567,          3892167,          1302405,            -20074,         13871997,                  0,                  0,         17.67,                  0,          1909000
97/04,1231,聯華食品,          1701142,            243408,            694191,             25535,            209930,          2874206,            724110,            318576,                  0,            127754,          1170440,          1154190,             76975,            477686,             -5085,                  0,          1703766,                  0,                  0,         14.76,                  0,                  0
