年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
98/04,2880,華南金,         22612227,        158603970,         30564528,          4207728,         74026832,         47782437,                  0,      1104845657,        323514101,             90152,            444626,         25685218,            532693,         10236107,         13352472,      1816498748,         48621314,      1510245575,          4211898,         42265550,         22946876,         42178480,                  0,                  0,         31000000,          3300000,                  0,          1622286,          8338173,    690156.00,          7342678,      1722762986,         62723012,         12408844,         16953579,          1648989,              1338,         93735762,                  0,                  0,         14.94
98/04,2881,富邦金,        106629773,        336270404,         50353641,         11800984,        664109803,        113178452,                  0,      1030738436,        163406066,          1870977,         54116063,         23546652,         10670721,        475140119,         18421236,      3060253327,         77994314,      1264933517,          2699438,         30373167,         18843218,         64735103,                  0,                  0,         74496099,            990000,                  0,                  0,      1121870801,169710216.00,         20626579,      2847272452,         81261865,         53964908,         55748192,         17493086,          4512824,        212980875,                  0,          9080000,         25.68
98/04,2882,國泰金,        644422576,         79124653,        143643937,         43401815,        553416933,         99153661,                  0,      1328382255,        672357520,          2505287,        117426032,         39657723,          8227881,        519517990,         44297758,      4295536021,         45571009,      1288413420,          1170000,         26703247,          8745465,         38143397,          1601500,                  0,         56437209,            300000,                  0,                  0,      2328637481,274580400.00,          9809725,      4080112853,         96708774,         78240933,         30699084,          6546446,          3227931,        215423168,                  0,                  0,         21.94
98/04,2883,開發金,          8886524,         37427390,         31616497,          2849762,         51821747,         17254179,                  0,         64519126,                  0,         12492428,                  0,          4132162,                  0,         46196340,         10936740,        288132895,          4702740,         20406443,          2901243,         13810008,         21686484,         12827405,                  0,                  0,         48780769,         11237694,                  0,                  0,                  0, 17881155.00,          2020850,        156254791,        112172050,          8694472,          7268902,          3018022,            724658,        131878104,                  0,        673160000,         12.44
98/04,2884,玉山金控,          9821032,        217175215,         40126282,          3384993,         37300338,         37147658,                  0,        550483765,         18278241,                  0,                  0,         14184114,          4048234,          7279134,          3089363,        942318369,         39051957,        769286147,          1344707,         15856882,         14518968,          8641721,                  0,                  0,         39000000,                  0,                  0,                  0,                  0,  2128437.00,            551834,        890380653,         36528000,         10451904,          4759376,            198436,                  0,         51937716,                  0,         21000000,         14.30
98/04,2885,元大金,         24725466,         76234814,         43681736,          5763931,         21530609,         78822370,                  0,        234052877,          3037942,          6344547,                  0,          8798986,          8574465,         15635177,         11432546,        538680842,         13554760,        299375413,          1529779,          6468442,         15208950,         46252081,                  0,                  0,         22300000,          3193077,                  0,          1015563,            894027,    404295.00,         13024219,        423220606,         81021057,         24943557,          8849485,            421074,            225063,        115460236,                  0,         28000000,         14.27
98/04,2886,兆豐金,        314204440,         90674726,        127525330,            796095,        233016512,        121355347,                  0,      1281835254,        263152861,          2727944,            514113,         23176304,            323719,         24820588,         13408350,      2497531583,        396380466,      1484628885,          7105666,         35384545,        171365526,         57498958,         57517261,                  0,         50153000,         11266600,                  0,          1955840,         14024884,  4035556.00,          9918901,      2301236088,        110594262,         43426403,         31916182,          9717733,            640915,        196295495,                  0,                  0,         17.69
98/04,2887,台新金控,         35368984,        218154436,         58566143,          9891904,         74329348,        102296124,                  0,      1506226128,        236509666,            225464,                  0,         42851989,         20586747,         25463237,         44320235,      2374790405,        176568225,      1842559851,                  0,         19342423,         33083342,         44608499,                  0,                  0,         88579768,            162000,                  0,                  0,          2028738,    592863.00,         10958872,      2218484581,         65151162,         19076045,          9074633,            247124,         62756860,        156305824,                  0,                  0,         14.36
98/04,2888,新光金,         90944350,         75426749,         54080585,         24215241,        402290773,         59178401,                  0,        469811263,          7451894,            167346,         98229923,         18440715,          2335046,        567035064,         32083199,      1902090155,          3291486,        343741714,          5299295,          1332232,         16793770,         21073908,                  0,                  0,         24300858,          9965944,          1654000,                  0,      1254464912,117286477.00,         10207321,      1809411917,         78677876,         22746593,        -13982585,         -8292738,         13529092,         92678238,                  0,         31400000,         10.10
98/04,2889,國票金控,          1167822,          1490089,        102079545,            848195,         55506092,         13336298,                  0,                  0,                  0,          1416194,                  0,          2430315,            162378,          4350959,          2369114,        185157001,         12475000,                  0,          4469180,            623044,        132559689,          3093844,                  0,                  0,                  0,                  0,                  0,             86470,          1756285,  1978864.00,             52444,        157094820,         21947143,                  0,          2132385,            134132,          3848521,         28062181,                  0,        100000000,         11.56
