年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
96/01,1101,台泥,         16855819,         38582800,         39872712,            345348,          3404596,         99061275,          5244100,         17365483,          5030332,          1493784,         29133699,         32073511,          5768313,         15158533,         16927219,                  0,         69927576,                  0,                  0,         21.80,                  0,                  0
96/01,1102,亞泥,          4566064,         69510558,          1959726,                  0,          8242718,         84279066,          2560693,         15060780,          1443866,          1721536,         20786875,         25321211,          6888277,         20734803,         10547900,                  0,         63492191,                  0,                  0,         25.07,                  0,                  0
96/01,1103,嘉泥,          3106073,         16869685,            576438,            106245,            311901,         20970342,          1307056,          4165417,                  0,            460363,          5932836,          6745261,          2610825,          6028252,            514869,           -861701,         15037506,                  0,                  0,         27.59,                  0,        129404631
96/01,1104,環球水泥,          2103551,          7170062,          3243665,             88821,          2109477,         14715576,          1102806,          1400000,          1082113,            436541,          4021460,          5083265,            173058,          2157417,          3280376,                  0,         10694116,                  0,                  0,         21.04,                  0,                  0
96/01,1108,幸福水泥,          2171247,          2629079,          2182011,             13157,            577945,          7573439,          2438842,            240000,                  0,            388699,          3067541,          4047380,             15956,            438410,              4152,                  0,          4505898,                  0,                  0,         11.13,                  0,                  0
96/01,1109,信大水泥,          3153668,          1704384,          1896628,              4945,            198577,          6958202,            344500,                  0,                  0,            314202,            658702,          4290898,             20743,          1982734,              5125,                  0,          6299500,                  0,                  0,         14.68,                  0,                  0
96/01,1110,東泥,          1338748,          2745406,          5294024,                  0,            474714,          9852892,            500598,            130667,            243226,            684804,          1559295,          5760008,            165535,          1763045,            653035,            -48026,          8293597,                  0,                  0,         14.51,                  0,          4301932
96/01,1201,味全公司,          2458947,          1411830,          4988374,            385888,            802574,         10047613,          2419899,          1529133,            748907,          1159673,          5857612,          5060629,             97046,           -738606,           -229068,                  0,          4190001,                  0,                  0,          8.28,                  0,                  0
96/01,1203,味王公司,          1500242,          2939384,            762300,            117541,             35693,          5355160,          1170684,            280000,            139094,            405852,          1995630,          2092537,             36154,            -45086,          1280876,             -4951,          3359530,                  0,                  0,         16.21,                  0,          2000000
96/01,1210,大成長城,          3800860,          4277413,          1967235,             33059,            438363,         10516930,          2844331,          1218354,             20754,            131747,          4215186,          4020278,            217883,          1910242,            510885,           -357544,          6301744,                  0,                  0,         17.57,                  0,         43446822
96/01,1213,大飲,            431716,                  0,            184919,                  0,            181072,            797707,            167946,                  0,                  0,             48629,            216575,            514751,             21938,             45324,               -881,                  0,            581132,                  0,                  0,         11.29,                  0,                  0
96/01,1215,卜蜂企業,          2776109,            619521,            818599,                  0,             88122,          4302351,          1518056,                  0,                  0,            169545,          1687601,          2320268,                967,            260565,             32950,                  0,          2614750,                  0,                  0,         11.27,                  0,                  0
96/01,1216,統一,          9794435,         57751426,         11592959,            208849,          4089910,         83437579,          9041666,         22087106,            815803,          2201403,         34145978,         33541258,            359707,         13032533,          2358103,                  0,         49291601,                  0,                  0,         14.70,                  0,                  0
96/01,1217,愛之味,          2256896,          3251553,          1809423,                  0,          1173620,          8491492,          2128011,          2099560,             79974,            203747,          4511292,          3776893,             30624,             73505,             99178,                  0,          3980200,                  0,                  0,         10.54,                  0,                  0
96/01,1218,泰山企業,          2217903,          2461211,          2095712,             10850,             65289,          6850965,          1663748,          1448421,            280756,            199740,          3592665,          3202434,             85109,           -105589,            161593,            -85247,          3258300,                  0,                  0,         10.84,                  0,         19586429
96/01,,,,,,,,,,,,,,,,,,,,,,,,
96/01,1219,福壽實業,          2413881,            747018,          1594703,             57508,             98081,          4911191,            747228,            120000,            431001,            213172,          1511401,          2663184,            240427,            168557,            327622,                  0,          3399790,                  0,                  0,         12.77,                  0,                  0
96/01,1220,台榮,          1498474,            320283,            667641,             11171,             72273,          2569842,            740241,                  0,              5813,             99942,            845996,          1770779,                537,            -82824,             35354,                  0,          1723846,                  0,                  0,          9.73,                  0,                  0
96/01,1225,福懋油,          2041025,          1040546,          1028747,             12174,            114727,          4237219,          1875072,            345000,            100296,            116997,          2437365,          1627000,            120301,            -35507,             88060,                  0,          1799854,                  0,                  0,         11.06,                  0,                  0
96/01,1227,佳格,          2166518,          2136338,          1166809,             47761,            326102,          5843528,            805237,            270000,              2921,             17344,          1095502,          3209184,             17828,          1412444,            129752,            -21182,          4748026,                  0,                  0,         14.90,                  0,          2338960
96/01,1229,聯華實業,          1695011,         13083314,          1377680,             15655,            470624,         16642284,            887741,          1108782,             95377,            154436,          2246336,          6807003,            630480,          3968370,          3020943,            -30848,         14395948,                  0,                  0,         21.24,            381750,          3081000
96/01,1231,聯華食品,          1565282,            388637,            649320,             22725,            195232,          2821196,            802676,            258021,                  0,             63127,          1123824,          1154190,             76975,            456521,              9686,                  0,          1697372,                  0,                  0,         14.71,                  0,                  0
96/01,1232,大統益,          1951047,            478041,          1354549,              1495,             27700,          3812832,          1154779,            120000,                  0,             10599,          1285378,          1599749,             23784,            908282,             -4361,                  0,          2527454,                  0,                  0,         15.80,                  0,                  0
96/01,1233,天仁,            626736,             56406,            950382,             27781,             94866,          1756171,            383177,                  0,                  0,            177421,            560598,            879533,             42382,            312974,            -18032,            -21284,          1195573,                  0,                  0,         13.92,                  0,          2058207
96/01,1234,黑松,          1169568,          6749837,          2350052,             96132,            153133,         10518722,            296492,                  0,            469498,            435720,          1201710,          5358281,            184601,          1777485,          1996645,                  0,          9317012,                  0,                  0,         17.39,                  0,                  0
96/01,1235,興泰,            599352,            140898,            139781,                  0,             73844,            953875,            217539,                  0,             60144,             22448,            300131,            409908,             48169,            100324,            106927,            -11584,            653744,                  0,                  0,         16.58,                  0,          1555604
96/01,1236,宏亞食品,            706351,            248452,            801826,             11426,            111617,          1879672,            617497,                  0,                  0,            178551,            796048,            811726,             33396,            230045,              8457,                  0,          1083624,                  0,                  0,         13.35,                  0,                  0
96/01,1301,台塑,        101863889,        115562681,         74958222,          2977142,          2795916,        298157850,         32337808,         50872282,                  0,          6198741,         89408831,         57204716,         11838150,         94565283,         45140870,                  0,        208749019,                  0,                  0,         36.49,                  0,                  0
96/01,1303,南亞塑膠,         92487935,        207174735,         81305700,          2536751,          3020994,        386526115,         53591272,         52670689,                  0,         15356424,        121618385,         76235909,         25239117,        134006789,         29427860,             -1945,        264907730,                  0,                  0,         34.75,                  0,            177899
96/01,1304,台聚,          6637934,          7300518,          1131505,            117538,            316959,         15504454,          1379987,          2040000,             43580,            738505,          4202072,          7714032,            269233,          2326390,          1110025,           -117298,         11302382,                  0,                  0,         15.48,                  0,         41503928
96/01,1305,華夏,          4392331,          1963483,          2652189,            160721,            214451,          9383175,          1199543,          2000000,            496836,          1009233,          4705612,          4248035,              9670,            -45047,            466772,             -1867,          4677563,                  0,                  0,         11.02,                  0,            235250
96/01,,,,,,,,,,,,,,,,,,,,,,,,
96/01,1307,三芳化工,          2080972,          2609122,          1467428,             16426,            259479,          6433427,          1155755,          1045114,             37782,            289083,          2527734,          2504083,            137866,          1201025,             62719,                  0,          3905693,                  0,                  0,         15.60,                  0,                  0
96/01,1308,亞聚,          2367169,          2457674,            534982,             20538,            548088,          5928451,            499798,                  0,             21469,            263286,            784553,          2609316,             26352,          1551765,            956465,                  0,          5143898,                  0,                  0,         19.71,                  0,                  0
96/01,1309,台達化工,          4178437,          1654231,          1425877,             15532,            707392,          7981469,          1994761,          1360000,            143860,            400966,          3899587,          2705005,            335361,            734648,            306868,                  0,          4081882,                  0,                  0,         15.09,                  0,                  0
96/01,1310,台苯,          3407736,          4119598,          1092309,             10499,            256084,          8886226,          2070519,            250000,                  0,            113627,          2434146,          5665293,            179096,          1506445,             -3365,           -895389,          6452080,                  0,                  0,         13.39,                  0,         84514367
96/01,1312,國喬石化,          3839361,          6477080,          4564504,             33835,            191835,         15106615,          2760865,          3390000,            979556,            206292,          7336713,          6598242,            310430,            948169,            -27098,            -59841,          7769902,                  0,                  0,         11.95,                  0,          9846848
96/01,1313,聯成,          2725895,         13077609,          1740203,                  0,             93134,         17636841,          1013327,          2325506,             99828,          1217725,          4656386,          7562224,            427803,          3660070,          1432553,           -102195,         12980455,                  0,                  0,         17.39,            868500,         10000000
96/01,1314,中石化,          8878809,          8719549,         20173648,                  0,          7673617,         45445623,          3984724,         16104090,          3879514,            866064,         24834392,         16899995,             55744,          3243937,            411555,                  0,         20611231,                  0,                  0,         12.20,                  0,                  0
96/01,1315,達新工業,          3720014,            957256,          1119774,             19980,          1074377,          6891401,            791305,             50000,            240828,            265352,          1347485,          2295000,             25176,          1043125,          2236530,            -55915,          5543916,                  0,                  0,         25.02,                  0,          7930000
96/01,1316,上曜,            147866,            482357,            148287,                  0,            242328,          1020838,            177574,                  0,                  0,             41274,            218848,            701661,            105303,            -18016,             13042,                  0,            801990,                  0,                  0,         11.43,                  0,                  0
96/01,1319,東陽,          2893723,          4426801,          4512838,             88887,            535963,         12458212,          2498434,          1452380,                  0,            621631,          4572445,          4135413,          1418529,          2193476,            339694,           -201345,          7885767,                  0,                  0,         19.70,                  0,         13270747
96/01,1321,大洋,          1459612,          1467862,            662236,             71336,            656530,          4317576,            886904,                  0,                  0,            408811,          1295715,          2272283,            101383,            628565,             55819,            -36189,          3021861,                  0,                  0,         13.69,                  0,          6542716
96/01,1323,永裕,            570048,            447323,            661356,              1853,             34490,          1715070,            309017,            379347,              8767,             31480,            728611,            750918,             48246,            149243,             41938,             -3886,            986459,                  0,                  0,         13.25,                  0,            628381
96/01,1324,地球工業,            538391,            287080,            314090,              1330,             23304,          1164195,            244896,                  0,                  0,             23825,            268721,            751219,                  0,            125006,             19249,                  0,            895474,                  0,                  0,         11.92,                  0,                  0
96/01,1325,恒大,            546628,            118698,            662304,                  0,             51680,          1379310,             93208,                  0,             44912,             37306,            175426,            891110,                766,            256004,             56004,                  0,          1203884,                  0,                  0,         13.51,                  0,                  0
96/01,1326,台化,         99501047,        116548158,         96601938,            391711,          6664714,        319707568,         49205697,         44058776,                  0,          6138681,         99403154,         55247302,          9555526,        104840862,         50660724,                  0,        220304414,                  0,                  0,         39.88,                  0,                  0
96/01,,,,,,,,,,,,,,,,,,,,,,,,
96/01,1402,遠東新,         16679146,         99429935,         15087324,            399661,          1555892,        133151958,          8634854,         35369957,          1018899,          1899728,         46923438,         43498513,          7819910,         23016270,         11893827,                  0,         86228520,                  0,                  0,         19.82,                  0,                  0
96/01,1409,新纖,          8290628,         15511395,          9007889,                  0,          1042124,         33852036,          5447367,          8887764,            602738,          2001045,         16938914,         13253409,            128610,            879052,          2652051,                  0,         16913122,                  0,                  0,         12.76,                  0,                  0
