年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
99/04,1101,台泥,         21824810,         57346851,         33266568,                  0,          4107959,        116546188,         14224503,          2000000,          5029398,            371216,         21625117,         36921759,         15956106,         19219343,         22823863,                  0,         94921071,                  0,                  0,         25.71,                  0,                  0
99/04,1102,亞泥,          6225141,         93155847,          7495881,                  0,          3212037,        110088906,          4980039,         23417198,          1443866,          1606784,         31447887,         30753075,          8256848,         23718601,         15912495,                  0,         78641019,                  0,                  0,         25.57,                  0,                  0
99/04,1103,嘉泥,          3182931,         18251906,          2652151,             19840,            237036,         24343864,          1450537,          6387512,                  0,            632163,          8470212,          7322354,            737005,          6785915,          1028378,                  0,         15873652,                  0,                  0,         26.12,                  0,        124564228
99/04,1104,環球水泥,          1453658,          9660669,          3307622,              5358,          2330299,         16757606,          1275056,          1575000,          1082113,            230318,          4162487,          6038919,            159730,          3260783,          3135687,                  0,         12595119,                  0,                  0,         20.86,                  0,                  0
99/04,1108,幸福水泥,          1675389,          2640007,          2925895,                  0,            555727,          7797018,          2139047,          1105500,                  0,            446321,          3690868,          4047380,             27420,             28454,              2896,                  0,          4106150,                  0,                  0,         10.15,                  0,                  0
99/04,1109,信大水泥,          1895298,          2459909,          1893054,                  0,            184045,          6432306,            188248,                  0,                  0,            363022,            551270,          4210008,             42598,          1693382,            -64952,                  0,          5881036,                  0,                  0,         13.97,                  0,                  0
99/04,1110,東泥,          1438774,          2453158,          4689386,                  0,            883100,          9464418,            556639,                  0,            242930,            450788,          1250357,          5720008,            183487,          1571844,            738722,                  0,          8214061,                  0,                  0,         14.36,                  0,                  0
99/04,1201,味全公司,          2751345,          5065213,          5331841,                  0,            684391,         13832790,          2308213,          2250000,            748907,          1943101,          7250221,          5060629,             37921,          2138566,           -654547,                  0,          6582569,                  0,                  0,         13.01,                  0,                  0
99/04,1203,味王公司,            772782,          3659847,            784663,                  0,             29046,          5246338,            398926,                  0,            139094,            464176,          1002196,          2400000,             45012,            557834,          1241296,                  0,          4244142,                  0,                  0,         17.85,                  0,          2294000
99/04,1210,大成長城,          5312474,          7137354,          2676953,                  0,            723761,         15850542,          4289073,          1351835,             20754,            215765,          5877427,          4946679,          1829379,          2841591,            355466,                  0,          9973115,                  0,                  0,         21.79,                  0,         36940633
99/04,1213,大飲,            343763,             34368,            250666,                  0,             98495,            727292,            136411,                  0,                  0,              8015,            144426,            514751,             21938,             48130,             -1953,                  0,            582866,                  0,                  0,         11.32,                  0,                  0
99/04,1215,卜蜂企業,          3474799,          1864408,          1219809,                  0,            102911,          6661927,          2244433,                  0,                  0,            352258,          2596691,          2320268,                967,            557426,          1186575,                  0,          4065236,                  0,                  0,         17.52,                  0,                  0
99/04,1216,統一,         10355303,         79832465,          8536110,             39157,          5229092,        103992127,          9493178,         21399468,            815439,          2317766,         34025851,         42871402,          6251778,         19125009,          1718087,                  0,         69966276,                  0,                  0,         16.32,                  0,                  0
99/04,1217,愛之味,          1850079,          3582165,          1648157,             15934,          1363295,          8459630,          1159097,          2170528,             79974,            218166,          3627765,          4476893,             86214,             77301,            191457,                  0,          4831865,                  0,                  0,         10.79,                  0,                  0
99/04,1218,泰山企業,          3039486,          2641202,          2169913,              3273,             61334,          7915208,          1337939,          2301374,            229042,            208429,          4076784,          3330531,             45953,            275351,            186589,                  0,          3838424,                  0,                  0,         11.99,                  0,         13044134
99/04,,,,,,,,,,,,,,,,,,,,,,,,
