年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
95/03,2880,華南金,         42215821,        150415463,         63435035,          2290452,        139088036,         52409638,                  0,        994763521,        165695908,             84870,            123936,         25613427,            429130,         12905925,         24949771,      1674420933,        116083672,      1246509322,          2588700,         36936007,         57082905,         72134393,            424330,                  0,         36950000,          2845927,                  0,            771337,          5937900,    774449.00,          7139451,      1586178393,         59702086,         12407540,         11702169,          4420250,             10495,         88242540,                  0,                  0,         14.78
95/03,2881,富邦金,         69918875,        201924358,         64812146,          4069609,        281332572,         90729490,                  0,        702304192,          4304090,          1656065,          9094442,         21993921,            578468,        213932154,         15839346,      1682489728,         55486095,        890404629,                  0,         19683727,         70506381,         55421640,          2692306,                  0,         97636430,          1652001,                  0,            319373,        241661731, 80495645.00,          6367058,      1522327016,         77190935,         49086855,         26815943,          2955723,          4113256,        160162712,                  0,                  0,         20.22
95/03,2882,國泰金,        431706502,         51227322,        148733798,          6453016,        306875330,         91170490,                  0,      1181661809,        548421452,          3569075,        104943433,         39179116,            388406,        353600928,         47508851,      3315439528,         88408462,        926033088,                  0,         71262689,         20696642,         49758623,            824500,                  0,         28721175,                  0,                  0,                  0,      1772838686,139288128.00,         12133921,      3109965914,         90924450,         73902093,         30390427,          7557602,          2699042,        205473614,                  0,         66659815,         22.47
95/03,2883,開發金,         17580096,         18467485,         70264125,          8349650,         58449027,         27125930,                  0,         67453202,                  0,         12775272,                  0,          4358127,                  0,         47056316,          7493170,        339372400,         22947846,          4903031,          4235802,          5454577,         58652895,         20562413,                  0,                  0,         36500000,         13860423,                  0,                  0,                  0,  9669532.00,          6610623,        183397142,        112677793,         12810967,         13323498,         16001374,          1161626,        155975258,                  0,                  0,         13.74
95/03,2884,玉山金控,         17321293,         35262899,         80484413,          1949092,         51191890,         33992618,                  0,        417954035,         14673239,                  0,                  0,         11021695,          3662701,          5101790,          8202059,        680817724,         36799754,        469171841,            534624,         43849972,         37144880,         16053503,                  0,                  0,         27300000,            859000,                  0,                  0,                  0,  2771095.00,          1436559,        635921228,         33033000,          9859777,          1707629,            294400,              1690,         44896496,                  0,                  0,          0.00
95/03,2885,元大金,          6377754,         46085802,         29911754,          6434846,         18771194,         41981495,                  0,        230875235,          6450286,                  0,                  0,          5398361,          1973049,          7548217,          7123316,        408931309,         28093436,        252974504,         11927933,          3993656,         30067459,         17985791,                  0,                  0,          8529382,         13907921,                  0,            310886,            480047,          0.00,          1597112,        369868127,         31617616,          8300878,           -764439,           -122579,             31706,         39063182,                  0,                  0,          0.00
95/03,2886,兆豐金,         65125335,        262565178,        239525690,          2667268,        277826148,        105765841,                  0,      1098185985,        127513359,          2953491,            385233,         24595805,            308034,         33804817,         17810878,      2259033062,        389272621,      1106247203,         13954758,         49800036,        286627524,         82626717,         42205012,                  0,         49003428,          8498480,                  0,          1685355,          9117423,  8672577.00,         14193488,      2061904622,        111694492,         46079587,         32873678,          5700289,            780394,        197128440,                  0,        110023000,         17.75
95/03,2887,台新金控,         52344630,        170310352,        191126493,         25556329,         89447769,        106885078,                  0,      1346694056,        185515244,            987331,                  0,         46110233,         22442037,         18237379,         57744877,      2313401808,        244030771,      1593268550,          3717104,         19135686,         85688916,         81365687,            365551,                  0,        108565911,          2000000,                  0,                  0,          1657710,    538722.00,         15216592,      2155551200,         67214112,         34158155,         -4284501,            654117,         60108725,        157850608,                  0,                  0,         14.54
95/03,2888,新光金,         76479248,         30801504,         77910156,          6232960,        102269387,         36623463,                  0,        395561169,        216986270,            350106,         76198519,         25243798,          2677041,        371810677,         21191022,      1440335320,         16755536,        268110629,                  0,          7449496,         12458349,         16172943,                  0,                  0,         32232693,                  0,                  0,                  0,        952075855, 42033091.00,          6179899,      1353468491,         46895782,         13472411,         15294950,          8735600,          2468086,         86866829,                  0,          9530000,         18.03
95/03,2889,國票金控,          1075159,             40226,         95158420,          4971489,         95328102,          8519401,                  0,                  0,            625401,          1416743,                  0,          2122552,            264861,          9727350,          4198189,        223447893,          9260000,                  0,          1028113,            658954,        178274977,          2129496,                  0,                  0,                  0,                  0,                  0,            119448,          2457917,  1019611.00,             73596,        195022112,         21198825,                  0,          2962781,            491139,          3773036,         28425781,                  0,                  0,         11.63
