年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/02,1101,台泥,         11488806,         31537013,         45596305,            598604,          4853666,          8483325,         28424677,          7476479,         28097644,         14577473,          7510161,           -495365,         94074394,         44384481,         49689913,         18.33
93/02,1102,亞泥,          8194463,         43449285,          2244157,                  0,          8836566,          6136970,          9600000,          4124997,         21708858,          8600573,         11941103,            611970,         62724471,         19861967,         42862504,         21.03
93/02,1103,嘉泥,          2448519,         12900550,            422208,            190143,            457172,          1764993,          3404373,            292452,          6996391,          2350700,          3147999,         -1538316,         16418592,          5461818,         10956774,         15.66
93/02,1104,環球水泥,          1927246,          5086904,          5419619,            155437,            214294,          1250700,          1300000,          2270820,          4157254,          1956791,          1920567,            -52632,         12803500,          4821520,          7981980,         21.50
93/02,1108,幸福水泥,          2242430,          3045600,          2119160,             96644,            462560,          2712977,            254000,            452281,          4047380,                308,            493309,              6139,          7966394,          3419258,          4547136,         11.23
93/02,1109,信大水泥,          2401281,          1824448,          2019374,             66776,            181471,            469048,                  0,            320355,          4290898,             18841,          1395477,             -1269,          6493350,            789403,          5703947,         13.69
93/02,1110,東泥,          1502206,          2422051,          5528324,             69238,            598096,            818187,                  0,          1372797,          5865678,            313625,          1825417,            -75789,         10119915,          2190984,          7928931,         14.19
93/02,1201,味全公司,          3630798,          1961129,          4819074,            675305,            912409,          2989477,          2695995,          2572445,          5060629,          1791896,         -2907951,           -203776,         11998715,          8257917,          3740798,          7.39
93/02,1203,味王公司,            958631,          2646596,          1594349,            209296,             53449,          1271029,            320000,            643710,          2092537,            944711,            266776,            -76442,          5462321,          2234739,          3227582,         15.42
93/02,1210,大成長城,          4744246,          2660371,          2137747,             57535,            317240,          3631349,          1455688,            156691,          4020277,            245695,            747654,           -340215,          9917139,          5243728,          4673411,         11.97
93/02,1213,大飲,            328145,              1604,            200172,              2387,            188576,            118490,                  0,             27364,            428959,             64834,             81298,                -61,            720884,            145854,            575030,         13.41
93/02,1215,卜蜂企業,          3774252,            518362,            882530,                  0,             90804,          2603739,            160000,            120892,          2320268,                967,            118174,            -58092,          5265948,          2884631,          2381317,         10.26
93/02,1216,統一,          9858968,         51534613,         14729841,            334967,          1546616,         10375548,         24037669,          2507745,         33753848,            989110,          7205917,           -864832,         78005005,         36920962,         41084043,         12.17
93/02,1217,愛之味,          2170898,          3124490,          1701409,             30902,            978650,          2557167,          1335489,            360826,          3639628,             79459,            145336,           -111556,          8006349,          4253482,          3752867,         10.31
93/02,1218,泰山企業,          2487774,          2758169,          2337436,             79307,             79139,          2276529,          1500000,            782376,          3362299,            620095,             27660,           -827134,          7741825,          4558905,          3182920,          9.85
93/02,,,,,,,,,,,,,,,,,,
93/02,1219,福壽實業,          2821088,            613904,          1782640,             88085,             67932,          1029158,            540000,            643014,          2722294,            349665,            113968,            -24450,          5373649,          2212172,          3161477,         11.61
93/02,1220,台榮,          1085243,            352786,          1031942,             34182,            105966,            729648,             20000,            117715,          1770779,             17118,            -56523,             11382,          2610119,            867363,          1742756,          9.84
93/02,1225,福懋油,          1715292,            811073,          1033431,             17912,             98050,          1426577,                  0,            284294,          1772100,            246602,            -87807,             33992,          3675758,          1710871,          1964887,         11.09
93/02,1227,佳格,          2301869,          2426660,          1350973,                  0,            256867,          1097136,          1160000,             18769,          3209184,              7046,            832109,             12125,          6336369,          2275905,          4060464,         12.75
93/02,1229,聯華實業,          2168776,          8847594,          1340958,             27394,            713177,          1784267,          1304234,            224375,          6612928,            697117,          2396688,             78290,         13097899,          3312876,          9785023,         14.80
93/02,1231,聯華食品,          1150660,            675163,            743102,             11936,            423418,            694912,            632511,             19621,          1154190,             76975,            416960,              9110,          3004279,          1347044,          1657235,         14.36
93/02,1232,大統益,          2319540,            643826,          1630478,                  0,             18811,          1822450,            709173,              5000,          1599749,             23784,            452499,                  0,          4612655,          2536623,          2076032,         12.98
93/02,1233,天仁,            489363,             69929,            891152,             39248,             98255,            395492,             20889,            130677,            879533,              4738,            194392,            -37774,          1587947,            547058,          1040889,         12.19
93/02,1234,黑松,          1553011,          7301406,          2807700,            225060,            151344,            833401,                  0,          3485497,          5358281,            604759,          1766347,             -9764,         12038521,          4318898,          7719623,         14.41
93/02,1235,興泰,            613118,             51594,            160708,             17175,             60944,            204259,                  0,            109287,            411639,             83906,            106159,            -11711,            903539,            313546,            589993,         14.33
93/02,1236,宏亞食品,            632237,            245881,            717557,             29033,             80609,            624279,             65734,            112639,            715808,             33396,            149866,              3595,          1705317,            802652,            902665,         13.62
93/02,1301,台塑,         58072198,         79693320,         63109431,            841447,          4926585,         31671925,         55987962,          4987235,         50952807,         11841151,         49414632,          1787269,        206642981,         92647122,        113995859,         22.37
93/02,1303,南亞塑膠,         78306851,        133428343,         78922128,          3310323,          7632080,         39770810,         93318197,         13319477,         69825892,         18241716,         63083003,          4040630,        301599725,        146408484,        155191241,         22.23
93/02,1304,台聚,          4479742,          7354861,          1194531,            139762,          1128327,          1628289,          2300000,            675802,          7714032,            299729,          1709525,            -30154,         14297223,          4604091,          9693132,         12.57
93/02,1305,華夏,          2766787,          2418692,          3005908,            281264,            498558,          1620785,          1130000,          1703011,          4248035,            123551,            217655,            -71828,          8971209,          4453796,          4517413,         10.63
93/02,,,,,,,,,,,,,,,,,,
93/02,1307,三芳化工,          2748088,          1685890,          1612605,             19485,             85452,          1177699,          1399537,            318385,          2504083,            223818,            565047,            -37049,          6151520,          2895621,          3255899,         14.30
93/02,1308,亞聚,          1487331,          1805405,            467727,             30804,            806573,            448566,                  0,            268199,          2461619,            516410,            961529,            -58483,          4597840,            716765,          3881075,         17.03
93/02,1309,台達化工,          3433514,          1162911,          1801428,             24850,            398515,          1456560,          1100000,            573089,          2626219,            591738,            600088,           -126476,          6821218,          3129649,          3691569,         14.06
93/02,1310,台苯,          2772232,          4352865,          1230002,                  0,            389438,          2451012,            295939,              7688,          5341562,             56160,          1547769,           -955593,          8744537,          2754639,          5989898,         11.21
93/02,1312,國喬石化,          3066307,          5323484,          5280761,             75092,            252320,          3487664,          2845000,          2725301,          6598242,            257831,         -1575372,           -340702,         13997964,          9057965,          4939999,          7.49
93/02,1313,聯成,          2054357,          9376032,          1892049,                  0,            429260,            886587,          2220000,            857406,          7235975,            603035,          1559324,            389371,         13751698,          3963993,          9787705,         13.53
93/02,1314,中石化,          5956332,          7271124,         29183889,             28918,          5120154,          4677220,         20584239,          7350630,         16899995,             55744,           -691780,         -1315631,         47560417,         32612089,         14948328,          8.85
