年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
99/02,2880,華南金,         20022409,        123656322,         28762218,          6781915,         58817273,         48777775,                  0,      1162796131,        294449810,             88693,            542917,         26421410,            520759,          9781513,         12020535,      1793439680,         54614156,      1486227969,          5217845,         40480939,         21680981,         37031108,                  0,                  0,         31000000,          3299000,                  0,          1760042,          8818616,    824507.00,          7874069,      1698829232,         66172778,         12408838,         15439964,            587543,              1325,         94610448,                  0,                  0,         15.08
99/02,2881,富邦金,        133007569,         96898404,         47667992,         35995363,        681417198,        137960837,                  0,      1052210779,        426652907,          3797886,         60184654,         23645844,         11935890,        501389910,         18469640,      3231234873,         80009237,      1269768922,          7908739,         33126480,         15120171,        100786768,                  0,                  0,         80878169,          5600000,                  0,                  0,      1260419238,165477961.00,         11154201,      3030249886,         85454818,         54185938,         46095801,         10631964,          4616466,        200984987,                  0,          9080000,         24.16
99/02,2882,國泰金,        718216746,        123237685,         78191352,         37493843,        603246927,        115496860,                  0,      1337623192,        666873212,          2423701,        124514347,         38597515,          8562619,        540796790,         48432258,      4443707047,         55582385,      1263183552,                  0,         25622080,         23211128,         61057510,          1613900,                  0,         57021192,             10000,                  0,                  0,      2500176046,253146644.00,          7527636,      4248152073,        101544213,         78508148,         19786881,         -7171049,          2886781,        195554974,                  0,                  0,         19.92
99/02,2883,開發金,          7204812,         54714103,         32246711,          4931012,         48383353,         16138711,                  0,         67062341,                  0,         11988572,                  0,          4006061,                  0,         48334322,          9523600,        304533598,          4515158,         36140294,          1510221,         12536017,         30078670,         14639844,                  0,                  0,         53816408,          6461462,                  0,                  0,                  0, 17694687.00,          1564866,        178957627,        113236483,          8938606,          3204083,           -246844,            443643,        125575971,                  0,        572879000,         11.76
99/02,2884,玉山金控,          9887083,         39607576,        229437572,          2229165,         51990290,         40785551,                  0,        582988290,         16987622,                  0,                  0,         14156897,          4031457,          4824104,          3023564,        999949171,         48411585,        800816992,          1926581,         17981721,         27195899,          9846349,                  0,                  0,         39000000,                  0,                  0,                  0,                  0,  1120138.00,            886564,        947185829,         38033000,         10580755,          4711794,           -562207,                  0,         52763342,                  0,         55059000,         14.67
99/02,2885,元大金,         20643385,         67313086,         38005218,         13129392,         20169597,         79717164,                  0,        252944039,          2716381,          6488949,                  0,          8906241,         10743688,         16725732,         15305442,        552858061,         11444553,        301987521,         17337719,          6811052,         11893124,         49497803,                  0,                  0,         25126700,          3026297,                  0,          1068626,            920132,  4273716.00,          8732697,        442119940,         81021057,         24979715,          4380799,             92861,            263689,        110738121,                  0,         30087000,         13.69
99/02,2886,兆豐金,        139072096,         79819332,        161108739,            808106,        187519806,        141236466,                  0,      1265296593,        259257725,          2683699,            486500,         21620416,            262593,         24197203,          9941232,      2293310506,        195974444,      1488660751,          8421721,         29751675,        176647411,         68513164,         45575176,                  0,         46950000,         11384460,                  0,          1836743,         12381201,  7956061.00,          8948879,      2103001686,        110594262,         43426403,         28550730,          7117880,            619545,        190308820,                  0,                  0,         17.15
99/02,2887,台新金控,         25047009,        114438460,         84124249,          2518557,        196730461,        124931011,                  0,      1526793383,        207173663,            229460,                  0,         42239775,         21706616,         22460079,         26349990,      2394742713,        166802174,      1832869176,                  0,         18696140,         62558921,         49813943,                  0,                  0,         93800511,                  0,                  0,                  0,          1514198,    535709.00,          9580168,      2236170940,         71007364,         19076045,          5155335,            251556,         63081473,        158571773,                  0,                  0,         14.66
99/02,2888,新光金,         79264969,         69186256,         50033104,         41609787,        438059731,         53353646,                  0,        483393890,          7206638,            158864,         93263694,         18552193,          2335046,        595372621,         32929991,      1965038298,          3843555,        353331134,          7099099,          6257107,         31624065,         18023183,                  0,                  0,         23950000,          7344533,          1654000,                  0,      1310800355,111389085.00,          9498403,      1884814519,         78677876,          8764803,         -2999037,        -18168989,         13949126,         80223779,                  0,         31400000,          8.46
99/02,2889,國票金控,          1240477,          1440052,        118087374,          1565541,         56950989,         12649818,                  0,                  0,                  0,          1507259,                  0,          2121286,            162378,          4350815,          2142760,        202522105,                  0,                  0,          6161580,            509842,        149933189,          2501024,         11750000,                  0,                  0,                  0,                  0,             83980,          1601280,  1323404.00,             43657,        173907956,         23334493,             88285,            972316,            518849,          3700206,         28614149,                  0,         60330000,         11.67
