年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
99/02,1101,台泥,         14574670,         49737639,         34821923,                  0,          3378488,        102512720,         10832217,         10800000,          5030332,            409713,         27072262,         32921759,          9420831,         14025161,         19072707,                  0,         75440458,                  0,                  0,         22.92,                  0,                  0
99/02,1102,亞泥,         17439572,         83889993,          2225445,                  0,          8583595,        112138605,         16115701,         22746862,          1443866,          1548788,         41855217,         30753075,          8253707,         19768954,         11507652,                  0,         70283388,                  0,                  0,         23.54,                  0,                  0
99/02,1103,嘉泥,          2569471,         16825555,          2757328,             37829,            223333,         22413516,          1962103,          5724129,                  0,            778261,          8464493,          7322354,            413547,          6401132,           -188010,                  0,         13949023,                  0,                  0,         24.11,                  0,        139303165
99/02,1104,環球水泥,          1567208,          9896839,          3120527,             24899,          2332869,         16942342,          1255370,          1900000,          1082113,            264645,          4502128,          6038919,            159623,          2466311,          3775361,                  0,         12440214,                  0,                  0,         20.60,                  0,                  0
99/02,1108,幸福水泥,          1824337,          2517824,          3079803,                  0,            543285,          7965249,          2241290,          1101000,                  0,            429967,          3772257,          4047380,             27412,            129796,            -11596,                  0,          4192992,                  0,                  0,         10.36,                  0,                  0
99/02,1109,信大水泥,          1976789,          2568703,          1911120,                  0,            170277,          6626889,            307100,                  0,                  0,            350980,            658080,          4210008,             42598,          1711364,              4839,                  0,          5968809,                  0,                  0,         14.18,                  0,                  0
99/02,1110,東泥,          1462839,          2465084,          4710704,                  0,            880662,          9519289,            573314,                  0,            242930,            512757,          1329001,          5720008,            183307,          1560540,            726433,                  0,          8190288,                  0,                  0,         14.33,                  0,            303932
99/02,1201,味全公司,          3019784,          2543564,          5179193,             96472,          1091387,         11930400,          3078358,          1000000,            748907,          1531264,          6358529,          5060629,             75295,            862714,           -426767,                  0,          5571871,                  0,                  0,         11.01,                  0,                  0
99/02,1203,味王公司,            940429,          3526998,            788043,             29606,             27134,          5312210,            512689,                  0,            139094,            513475,          1165258,          2400000,             36154,            489545,          1221253,                  0,          4146952,                  0,                  0,         19.06,                  0,          2100000
99/02,1210,大成長城,          4307929,          7079077,          2466310,              8261,            714075,         14575652,          3458992,          1397131,             20754,            194499,          5071376,          4946679,          1787356,          2137162,            633079,                  0,          9504276,                  0,                  0,         21.80,                  0,         35181556
99/02,1213,大飲,            334882,             30196,            253340,                  0,             99620,            718038,            132209,                  0,                  0,              7297,            139506,            514751,             21938,             44088,             -2245,                  0,            578532,                  0,                  0,         11.24,                  0,                  0
99/02,1215,卜蜂企業,          2718837,          1591640,          1042457,                  0,             95862,          5448796,          1463281,                  0,                  0,            304983,          1768264,          2320268,                967,            367559,            991738,                  0,          3680532,                  0,                  0,         15.86,                  0,                  0
