年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
98/03,1101,台泥,         11716387,         51657877,         35949159,                  0,          3441606,        102765029,          8088496,         12293185,          5030332,            444718,         25856731,         32921759,          8555314,         14564560,         20866665,                  0,         76908298,                  0,                  0,         23.36,                  0,                  0
98/03,1102,亞泥,          7358467,         84183725,          2332176,                  0,          8646011,        102520379,          5120712,         22691633,          1443866,          1620932,         30877143,         29857355,          8110439,         21006408,         12669034,                  0,         71643236,                  0,                  0,         24.00,                  0,                  0
98/03,1103,嘉泥,          2918604,         18605263,          2989271,             72246,            229027,         24814411,          2234176,          4727000,                  0,          1063305,          8024481,          7178779,            388349,          6841621,          3218117,           -836936,         16789930,                  0,                  0,         29.02,                  0,        139303165
98/03,1104,環球水泥,          1521165,          9960675,          3091152,             44411,          2340037,         16957440,          1276430,          2100000,          1082113,            447165,          4905708,          6038919,            157181,          1891087,          3964545,                  0,         12051732,                  0,                  0,         19.96,                  0,                  0
98/03,1108,幸福水泥,          1731431,          2572507,          3269574,             23725,            599628,          8196865,          2355309,          1109500,                  0,            451981,          3916790,          4047380,             15971,            245528,            -28804,                  0,          4280075,                  0,                  0,         10.57,                  0,                  0
98/03,1109,信大水泥,          2392953,          2187544,          1845678,                  0,            170419,          6596594,            166467,                  0,                  0,            333523,            499990,          4210008,             43689,          1857195,            -14288,                  0,          6096604,                  0,                  0,         14.48,                  0,                  0
98/03,1110,東泥,          1450077,          2660239,          4752320,                  0,            888690,          9751326,            531117,                  0,            242930,            553049,          1327096,          5720008,            179889,          1755261,            817099,            -48027,          8424230,                  0,                  0,         14.84,                  0,          4301932
98/03,1201,味全公司,          3114837,          2042773,          5173526,            192944,            922010,         11446090,          2321312,          1493329,            748907,          1497864,          6061412,          5060629,             77096,            632590,           -385637,                  0,          5384678,                  0,                  0,         10.64,                  0,                  0
98/03,1203,味王公司,            979560,          3636995,            781246,             59540,             27571,          5484912,            561354,                  0,            139094,            511531,          1211979,          2197164,             36154,            829165,          1215401,             -4951,          4272933,                  0,                  0,         19.63,                  0,          2000000
98/03,1210,大成長城,          4632971,          6718237,          2424583,             16527,            678678,         14470996,          3331875,          1491902,             20754,            165911,          5010442,          4711123,          1696715,          2484603,            786905,           -218792,          9460554,                  0,                  0,         21.70,                  0,         35181556
