年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/04,2816,旺旺保險,          4285474,            616748,          2598888,            637007,            225565,          1192822,                  0,          1078767,                  0,                  0,            239454,          5484311,                  0,          5671350,            331225,         -2378002,           -870601,          9556504,          6802532,          2753972,          4.86
93/04,2823,中壽,         47428766,         17329236,         91060683,          2803306,                  0,          3599335,          7682966,          1141202,                  0,                  0,             28101,        154744112,          7682966,          7924604,            704045,         -2268393,            -52345,        169904292,        163596381,          6307911,          7.96
93/04,2832,台產,          8402475,              4000,          3385163,            660597,                  0,             41148,                  0,          3197242,                  0,                  0,            740400,          4193016,                  0,          3040915,            564303,            896551,           -139044,         12493383,          8130658,          4362725,         14.86
93/04,2850,新產,          6225875,                  0,          4598328,            881947,             38118,            505343,                  0,          1386413,                  0,                  0,            170471,          7651679,                  0,          2281959,            289928,            469161,                  0,         12249611,          9208563,          3041048,         13.33
93/04,2851,中再保,         12547613,                  0,          6374607,            348173,                  0,            866710,                  0,          1350737,                  0,                  0,            150869,         13347879,                  0,          4200000,            309608,            778157,               -147,         20137103,         14849485,          5287618,         12.59
93/04,2852,第一保,          5516653,            384000,          1824888,            557591,                  0,            492103,                  0,            705751,                  0,                  0,            277732,          4749438,                  0,          2349776,             70686,            674844,            -52992,          8775235,          5732921,          3042314,         12.73
93/04,2855,統一證券,         24825625,?,          5992686,          1832287,             10374,          1517234,             16814,         14613560,?,?,          2500000,            232111,                  0,         11404990,             58990,          5517885,           -132516,         34195020,         17345671,         16849349,         14.83
93/04,2856,元富證券,         57394982,?,          2558295,          2077795,             40400,          2813144,             71016,         45198336,?,?,          1898586,            283549,                  0,         12791578,            586083,          4257882,             90117,         65106131,         47380471,         17725660,         13.86
93/04,2867,三商美邦,         39000293,         23478803,         47770957,          2234564,             23928,          5064816,                  0,          2524846,                  0,                  0,            446283,        111345321,                  0,          4834000,            544000,         -2115664,             -5425,        117573361,        114316450,          3256911,          6.74
93/04,2880,華南金,          5229288,                  0,         81677291,             11560,                  0,            152687,                  0,            443726,                  0,                  0,          6012314,                345,                  0,         55796342,         12413801,         12515314,           -111016,         87070826,          6456385,         80614441,         14.45
93/04,2881,富邦金,          4520239,                  0,        174356092,              5767,                  0,             36417,                  0,         15030291,                  0,                  0,          7000000,            115541,                  0,         81117124,         55218700,         34075730,        -13638871,        178918515,         22145832,        156772683,         18.33
93/04,2882,國泰金,         21796394,                  0,        178504731,              4821,                  0,             66628,                  0,          1190237,                  0,                  0,         23782597,             50503,                  0,         83167130,         58958697,         33790365,           -566955,        200372574,         25023337,        175349237,         21.10
93/04,2883,開發金,          4405944,                  0,        129883330,             16984,                  0,              6546,                  0,          9897954,                  0,                  0,          6000000,              8841,                  0,        118392470,         26217920,         -9220166,        -16984215,        134312804,         15906795,        118406009,         10.81
93/04,2884,玉山金控,          1024775,                  0,         43423341,                  0,                  0,              1729,                  0,          1689566,                  0,                  0,            401041,                  0,                  0,         29306096,          7607644,          5548506,           -103008,         44449845,          2090607,         42359238,         14.45
93/04,2885,元大金,          1068779,                  0,         49987307,            268070,                  0,            342480,                  0,          6864156,                  0,                  0,          2908605,                  0,                  0,         30064445,          8611306,          4053367,           -835243,         51666636,          9772761,         41893875,         14.27
93/04,,,,,,,,,,,,,,,,,,,,,,,
93/04,2886,兆豐金,         19188872,                  0,        194961513,            140786,                  0,            112920,                  0,         35110116,                  0,                  0,         12923415,              2509,                  0,        113657296,         46406813,         31539803,        -25235861,        214404091,         48036040,        166368051,         16.59
93/04,2887,台新金控,         14552269,                  0,         84377046,              7467,                  0,             78148,                  0,          9063680,                  0,                  0,         16041786,                  0,                  0,         48072921,         16664660,         12680273,         -3508390,         99014930,         25105466,         73909464,         16.23
93/04,2888,新光金,          1624289,                  0,         60759512,              3641,                  0,                228,                  0,          4508169,                  0,                  0,         13758820,                  0,                  0,         29729121,          7326126,          7156995,            -91561,         62387670,         18266989,         44120681,         14.85
93/04,2889,國票金控,            328296,                  0,         25494119,              2825,                  0,              1590,                  0,            915343,                  0,                  0,                  0,              2214,                  0,         21198825,             12385,          3698063,                  0,         25826830,            917557,         24909273,         11.75
93/04,2890,永豐金控,          7131762,                  0,         54094298,             28541,                  0,             30577,                  0,          9233929,                  0,                  0,            124129,                  0,                  0,         39880826,          9027448,          5335159,         -2316313,         61285178,          9358058,         51927120,         13.02
93/04,2891,中信金,          9432665,                  0,        127854154,                  0,                  0,            322139,                  0,          1652078,                  0,                  0,         35084512,                  0,                  0,         60298995,         28774389,         16445458,         -4646474,        137608958,         36736590,        100872368,         16.91
93/04,2892,第一金控,          5263068,                  0,         77919887,             21089,              1573,              1558,                  0,             38591,                  0,                  0,          5002249,                457,                  0,         55490750,         12786678,         10279209,           -390759,         83207175,          5041297,         78165878,         14.09
93/04,6005,群益證,         41442913,?,          3366776,          4162492,            462510,          2798593,            180788,         31017569,?,?,            524051,            326169,                  0,         13643105,            843343,          5998471,             61364,         52414072,         31867789,         20546283,         15.06
