年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/01,1101,台泥,         11893617,         33098792,         43774509,            529534,          3970833,          7527556,         25946945,          7311011,         28097644,         15140760,          9878242,           -634873,         93267285,         40785512,         52481773,         18.76
94/01,1102,亞泥,          5547156,         47008409,          2055960,                  0,          8437487,          3218514,          9510000,          3344045,         21708858,          9324009,         15881203,             62383,         63049012,         16072559,         46976453,         21.64
94/01,1103,嘉泥,          2371554,         12218367,            427479,            162177,            313086,          2015050,          3032893,            207554,          6996391,          2353080,          2840693,         -1952998,         15492663,          5255497,         10237166,         19.44
94/01,1104,環球水泥,          2114152,          5750567,          5324106,            133231,            196086,          1308395,          1750000,          1410684,          4157255,          2880497,          2221623,           -210312,         13518142,          4469079,          9049063,         21.77
94/01,1108,幸福水泥,          2714724,          2265547,          2059489,             87303,            466778,          2599456,            182000,            432735,          4047380,             15910,            306028,             10332,          7593841,          3214191,          4379650,         10.82
94/01,1109,信大水泥,          2478174,          1755415,          1956088,             68411,            181334,            313728,                  0,            334962,          4290898,             20888,          1479812,               -866,          6439422,            648690,          5790732,         13.50
94/01,1110,東泥,          1275396,          2453898,          5343240,                  0,            573434,            327275,            198667,            972636,          5865678,            466039,          1892727,            -77054,          9645968,          1498578,          8147390,         13.99
94/01,1201,味全公司,          2211501,          1210238,          4862114,            578832,          1136957,          2197296,          2420888,          1958874,          5060629,          2421382,         -3872750,           -186677,          9999642,          6577058,          3422584,          6.76
94/01,1203,味王公司,            834492,          2680187,          1449997,            171253,             42550,          1137173,            320000,            520498,          2092537,            998656,            207539,            -97924,          5178479,          1977671,          3200808,         15.44
94/01,1210,大成長城,          3241807,          2417262,          2271448,             49591,            327029,          2265357,          1038059,            219139,          4020278,            239803,          1005027,           -480526,          8307137,          3522555,          4784582,         13.46
94/01,1213,大飲,            325930,                  0,            202185,                  0,            182454,            101949,                  0,             30668,            428959,             64834,             84230,                -71,            710569,            132617,            577952,         13.47
94/01,1215,卜蜂企業,          2518204,            476554,            862951,                  0,            139859,          1449589,            155000,            135165,          2320268,                967,             20376,            -83797,          3997568,          1739754,          2257814,          9.73
94/01,1216,統一,          7708421,         49843603,         15030543,            292927,          1181922,          8602121,         21128643,          2144309,         33753848,          1456965,          8809813,         -1838283,         74057416,         31875073,         42182343,         12.50
94/01,1217,愛之味,          2189013,          3066193,          1895436,             18778,          1000538,          3105699,          1018224,            291393,          3639628,            157644,            121990,           -164620,          8169958,          4415316,          3754642,         10.32
94/01,1218,泰山企業,          2008625,          2535198,          2339733,             68445,             71866,          1470992,          1600000,            572448,          3162449,            824846,           -188071,           -418797,          7023867,          3643440,          3380427,         11.70
94/01,,,,,,,,,,,,,,,,,,
94/01,1219,福壽實業,          2414606,            744940,          1714422,             87862,             65676,            573342,            480000,            649981,          2722294,            549394,             83202,            -30707,          5027506,          1703323,          3324183,         12.48
94/01,1220,台榮,            944159,            324369,            899281,             11072,            112819,            520218,                  0,             98264,          1770779,             17118,           -126659,             11980,          2291700,            618482,          1673218,          9.45
94/01,1225,福懋油,          1385543,            638617,          1040125,             17836,             98031,          1070796,             90000,            185646,          1627000,            379034,           -169840,             -2484,          3180152,          1346442,          1833710,         11.27
94/01,1227,佳格,          2172396,          2506855,          1285786,                  0,            294933,            987673,            720000,             21464,          3209184,             16932,          1229299,             75418,          6259970,          1729137,          4530833,         14.22
94/01,1229,聯華實業,          1745351,          9588089,            849769,             23481,            425864,          1244344,          1099621,            220908,          6653528,            634578,          2872142,            -92567,         12632554,          2564873,         10067681,         14.87
94/01,1231,聯華食品,          1317366,            596002,            700959,             27773,            172219,            579679,            499120,             45598,          1154190,             76975,            486704,            -27947,          2814319,          1124397,          1689922,         14.64
94/01,1232,大統益,          1157442,            653832,          1575908,                  0,             20737,            541446,            619522,              5000,          1599749,             23784,            618418,                  0,          3407919,          1165968,          2241951,         14.01
