年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/04,1101,台泥,         11534992,         32777812,         44671493,            552557,          4621244,          6876444,         27537261,          7638930,         28097644,         14598169,          9818522,           -408872,         94158098,         42052635,         52105463,         18.63
93/04,1102,亞泥,          7460046,         44570776,          2091787,                  0,          8551142,          4158564,          9500000,          3921139,         21708858,          8778216,         14433340,            173634,         62673751,         17579703,         45094048,         20.77
93/04,1103,嘉泥,          2559843,         12410785,            421585,            162177,            448169,          2320331,          2915763,            208837,          6996391,          2352264,          3137438,         -1928465,         16002559,          5444931,         10557628,         20.06
93/04,1104,環球水泥,          1868058,          5605243,          5354123,            133231,            272168,          1144201,          1750000,          2265584,          4157255,          1997944,          2023897,           -106058,         13232823,          5159785,          8073038,         19.42
93/04,1108,幸福水泥,          2760922,          2337877,          2066997,             87303,            451227,          2763627,            205000,            424888,          4047380,             15910,            237189,             10332,          7704326,          3393515,          4310811,         10.65
93/04,1109,信大水泥,          2494140,          1616333,          1967124,             74190,            182225,            286663,                  0,            336101,          4290898,             20888,          1400328,               -866,          6334012,            622764,          5711248,         13.31
93/04,1110,東泥,          1330008,          2441850,          5362388,                  0,            575354,            674015,                  0,          1132261,          5865678,            313625,          1799803,            -75782,          9709600,          1806276,          7903324,         13.57
93/04,1201,味全公司,          2496104,          1225954,          4878229,            578832,          1146194,          2449397,          2583769,          1922137,          5060629,          2421382,         -3926605,           -185396,         10325313,          6955303,          3370010,          6.66
93/04,1203,味王公司,            854379,          2677405,          1586271,            171253,             37462,          1144779,            320000,            616395,          2092537,            913036,            331335,            -91312,          5326770,          2081174,          3245596,         15.66
93/04,1210,大成長城,          3751441,          2585429,          2227365,             49591,            298220,          3125989,            913140,            185723,          4020278,            254721,            861274,           -449079,          8912046,          4224852,          4687194,         13.18
93/04,1213,大飲,            312045,                  0,            204258,                  0,            183271,             94695,                  0,             28225,            428959,             64834,             82928,                -67,            699574,            122920,            576654,         13.44
93/04,1215,卜蜂企業,          2979883,            473886,            883601,              4506,            132401,          1948240,            157500,            135437,          2320268,                967,              3520,            -91655,          4474277,          2241177,          2233100,          9.62
93/04,1216,統一,          8190067,         49579139,         15067729,            292927,          1351105,          7245677,         23277008,          2645280,         33753848,            934557,          8491463,         -1866866,         74480967,         33167965,         41313002,         12.24
93/04,1217,愛之味,          2185679,          2990836,          1743863,             18778,          1044155,          2941709,          1042557,            348744,          3639628,             86799,             93901,           -170027,          7983311,          4333010,          3650301,         10.03
93/04,1218,泰山企業,          2030954,          2646875,          2343789,             68445,             76234,          1435560,          1700000,            788064,          3162449,            609593,            -85773,           -443596,          7166297,          3923624,          3242673,         11.22
93/04,,,,,,,,,,,,,,,,,,
93/04,1219,福壽實業,          2743658,            754333,          1738752,             87862,             69734,            963147,            480000,            646717,          2722294,            549394,             62070,            -29283,          5394339,          2089864,          3304475,         12.41
93/04,1220,台榮,          1069829,            342430,            945743,             11072,            111805,            693776,                  0,             96809,          1770779,             17118,           -109583,             11980,          2480879,            790585,          1690294,          9.55
93/04,1225,福懋油,          1293370,            643539,          1018062,             17836,            118281,          1036439,            100000,            241700,          1627000,            299318,           -210885,             -2484,          3091088,          1378139,          1712949,         10.53
93/04,1227,佳格,          2002146,          2292179,          1317262,                  0,            270055,            778885,            784000,             20062,          3209184,             16933,          1066857,              5721,          5881642,          1582947,          4298695,         13.49
93/04,1229,聯華實業,          1764044,          9375353,            897447,             23481,            441725,          1279046,          1099640,            253751,          6642860,            640890,          2732291,           -146428,         12502050,          2632437,          9869613,         14.56
93/04,1231,聯華食品,          1124465,            616963,            714586,             27773,            412642,            609603,            586418,             46502,          1154190,             76975,            448030,            -25289,          2896429,          1242523,          1653906,         14.33
93/04,1232,大統益,          1216884,            654086,          1598380,                  0,             25605,            705729,            619681,              5000,          1599749,             23784,            541012,                  0,          3494955,          1330410,          2164545,         13.53
93/04,1233,天仁,            558593,             66028,            873386,             37419,            104862,            370766,             18789,            139095,            879533,              7066,            263187,            -38148,          1640288,            528650,          1111638,         13.12
93/04,1234,黑松,          1318350,          6148385,          2664119,            207758,            152326,            427555,                  0,          1385556,          5358281,          1588401,          1763552,            -32407,         10490938,          1813111,          8677827,         16.20
93/04,1235,興泰,            533429,             69211,            155519,              6126,             64305,            164205,                  0,             98504,            411639,             85296,            143907,            -74961,            828590,            262709,            565881,         15.40
93/04,1236,宏亞食品,            635238,            218418,            702922,             15352,             82688,            525851,             53351,            106022,            715808,             33396,            230567,            -10377,          1654618,            685224,            969394,         13.54
93/04,1301,台塑,         58008000,         87102091,         66412308,            608433,          4636701,         29505265,         46752547,          5179759,         50952807,         12423998,         70839728,          1113429,        216767533,         81437571,        135329962,         26.56
93/04,1303,南亞塑膠,         85221916,        141032155,         76954177,          2770588,          4921445,         47044622,         72111328,         13341978,         69825892,         18763744,         88287166,          1525551,        310900281,        132497928,        178402353,         25.55
93/04,1304,台聚,          5419842,          7316031,          1156849,            180755,          1105917,          1709778,          2600000,            737519,          7714032,            298224,          2262461,           -142620,         15179394,          5047297,         10132097,         13.13
93/04,1305,華夏,          3227311,          2617701,          2903332,            241083,            452343,          1594942,          1280000,          1685293,          4248035,            123551,            623958,           -114009,          9441770,          4560235,          4881535,         11.49
93/04,,,,,,,,,,,,,,,,,,
93/04,1307,三芳化工,          2589344,          1909278,          1581300,             41183,             73057,          1092145,          1377878,            354618,          2504083,            223818,            717937,            -76317,          6194162,          2824641,          3369521,         13.46
93/04,1308,亞聚,          2128063,          1848697,            468602,             27382,            691243,            720929,                  0,            264692,          2461619,            516410,          1275457,            -75120,          5163987,            985621,          4178366,         16.97
93/04,1309,台達化工,          4375278,          1145463,          1781146,             21744,            424357,          1624731,          1800000,            576670,          2626219,            591738,            689484,           -160854,          7747988,          4001401,          3746587,         14.27
93/04,1310,台苯,          3293018,          4642173,          1145927,                  0,            325533,          2290900,            652615,             11342,          5341562,            263154,          1818042,           -970964,          9406651,          2954857,          6451794,         12.08
93/04,1312,國喬石化,          2864942,          5381253,          5092580,            113382,            341219,          2963633,          3177000,          2233331,          6598242,            304163,         -1060111,           -422882,         13793376,          8373964,          5419412,          8.21
93/04,1313,聯成,          2701068,          8859277,          1878856,                  0,             83768,            831549,          1970000,            911677,          7243344,            599697,          1932578,             34124,         13522969,          3713226,          9809743,         13.70
93/04,1314,中石化,          6624300,          7220225,         28501126,             19666,          4841116,          5045359,         19198668,          7358260,         16899995,             55744,             -3226,         -1348367,         47206433,         31602287,         15604146,          9.23
93/04,1315,達新工業,          2007275,            884972,            959015,             49192,            487293,            622023,            250000,            281118,          2415227,             30883,            867887,            -79391,          4387747,          1153141,          3234606,         13.85
93/04,1316,上曜,            234938,            463349,            472430,                  0,             34579,            339515,                  0,             67266,          1403322,            223274,           -825073,             -3008,          1205296,            406781,            798515,          5.69
93/04,1319,東陽,          2627698,          3980001,          3793499,            124529,            281648,          2410038,            972506,            583669,          4089945,          1203094,          1699980,           -151857,         10807375,          3966213,          6841162,         16.83
93/04,1321,大洋,          1404208,          1226811,          1181817,             94254,            385125,            900379,             70000,            394843,          2080845,            121026,            775615,            -50493,          4292215,          1365222,          2926993,         14.48
93/04,1323,永裕,            537423,            380801,            625107,              5241,             22250,            348763,            235755,             43521,            736194,             56813,            158817,             -9041,          1570822,            628039,            942783,         12.88
93/04,1324,地球工業,            801022,            134241,            261279,             12174,             10298,            283258,                  0,             25158,            729339,                  0,            187445,             -6186,          1219014,            308416,            910598,         12.49
93/04,1325,恒大,            296448,            175093,            819404,              3988,            106655,            117548,            105000,             89700,            891110,             14884,            182281,              1065,          1401588,            312248,          1089340,         12.22
93/04,1326,台化,         57559689,         84765473,         70545198,            684998,          5396162,         28989256,         45913180,          5664417,         48761961,          8888956,         81282641,           -548891,        218951520,         80566853,        138384667,         28.38
93/04,,,,,,,,,,,,,,,,,,
93/04,1402,遠東新,         11509592,         79258927,         17155458,            855261,          1274156,          8705523,         27669669,          3638041,         37996605,         15164856,         17387496,           -508796,        110053394,         40013233,         70040161,         18.44
93/04,1409,新纖,          7118574,          9558135,          8255811,                  0,            547770,          5772548,          3603846,          2052079,         13253409,            128610,            513040,            156758,         25480290,         11428473,         14051817,         10.60
93/04,1410,南染,            303685,            187149,            482120,                466,            102497,             59276,                  0,            116275,            900000,             53165,            -52799,                  0,          1075917,            175551,            900366,         10.00
93/04,1413,宏洲纖維,          1517708,             41505,          2695043,             22834,             81992,          1368351,            250445,            431827,          2836457,            297795,           -825793,                  0,          4359082,          2050623,          2308459,          8.14
93/04,1414,東和,          1127325,            259679,          4159984,             77388,            357595,          2729953,            114509,          1459850,          2200000,                780,           -390789,           -132332,          5981971,          4304312,          1677659,          7.63
