年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
98/02,1101,台泥,         14613138,         48963090,         36339277,                  0,          3421478,        103336983,         14422292,          9813283,          5030332,            423356,         29689263,         32921759,          8579006,         11825910,         20321045,                  0,         73647720,                  0,                  0,         22.37,                  0,                  0
98/02,1102,亞泥,         12693870,         83403070,          2370091,                  0,          8707491,        107174522,          9564765,         23866249,          1443866,          1637817,         36512697,         29857355,          8098710,         19973669,         12732091,                  0,         70661825,                  0,                  0,         24.38,                  0,                  0
98/02,1103,嘉泥,          2952487,         18419279,          2487788,             72246,            229463,         24161263,          1798511,          4781000,                  0,          1088003,          7667514,          7178779,            388322,          6653026,          3110558,           -836936,         16493749,                  0,                  0,         28.51,                  0,        139303165
98/02,1104,環球水泥,          1522760,         10337617,          2948325,             44411,          2339908,         17193021,          1368913,          2175000,          1082113,            438857,          5064883,          6038919,            157181,          1936512,          3995526,                  0,         12128138,                  0,                  0,         20.08,                  0,                  0
98/02,1108,幸福水泥,          1814087,          2576658,          3325134,             23725,            566360,          8305964,          2440226,          1179000,                  0,            443744,          4062970,          4047380,             15971,            212745,            -33102,                  0,          4242994,                  0,                  0,         10.48,                  0,                  0
98/02,1109,信大水泥,          2768421,          1794262,          1865400,                  0,            174462,          6602545,            263577,                  0,                  0,            351276,            614853,          4210008,             43689,          1825457,            -91462,                  0,          5987692,                  0,                  0,         14.22,                  0,                  0
98/02,1110,東泥,          1706516,          2627533,          4770120,                  0,            889080,          9993249,            869143,                  0,            243226,            565763,          1678132,          5720008,            179713,          1666471,            796951,            -48026,          8315117,                  0,                  0,         14.65,                  0,          4301932
98/02,1201,味全公司,          3007607,          1770446,          5157664,            192944,          1002512,         11131173,          2148718,          1546662,            748907,          1462035,          5906322,          5060629,             77114,            458960,           -371852,                  0,          5224851,                  0,                  0,         10.32,                  0,                  0
98/02,1203,味王公司,            996394,          3585239,            764465,             59540,             28657,          5434295,            620724,                  0,            139094,            496498,          1256316,          2197164,             36154,            735576,          1214036,             -4951,          4177979,                  0,                  0,         20.16,                  0,          2000000
98/02,1210,大成長城,          4370679,          6630396,          2376942,             16527,            680074,         14074618,          3194363,          1487980,             20754,            166198,          4869295,          4711123,          1655064,          2211315,            846613,           -218792,          9205323,                  0,                  0,         22.17,                  0,         33506245
