年季,公司代號,公司名稱,現金及約當現金、存放央行及銀行同業,買入票券及證券,應收款項,買匯貼現及放款,長期投資,固定資產,其他資產,央行及銀行同業存款,存款及匯款,央行及同業融資,其他負債,股本,資本公積,保留盈餘,股東權益其他項目,資產總計,負債總計,少數股權,股東權益總計,每股淨值(註一)
94/04,2801,彰化銀行,        175093259,        246681790,         35524654,        834512929,         10736029,         25024975,         28821398,        134491011,      1049039538,         20405645,         76054522,         63594756,         47471713,        -34924183,            262032,      1356395034,      1279990716,                  0,         76404318,         12.01
94/04,2809,京城銀行,         31095765,          4068249,          1439987,        111654089,            668688,          3801043,          1678018,          1192656,        136153148,          3003485,          3154219,         10843343,            365101,           -306059,                -54,        154405839,        143503508,                  0,         10902331,         10.05
94/04,2812,台中銀行,         55960443,          7317124,          3316663,        180566802,            331430,          4024685,         10019656,             23238,        239123631,                  0,          9362428,         15380144,            160452,         -2513090,                  0,        261536803,        248509297,                  0,         13027506,          8.47
94/04,2834,臺灣企銀,        214677184,         28820087,         33683827,        717455093,          4054911,         14682710,         32040919,         64660251,        880248138,         29645000,         42113935,         42857220,                  0,        -14976435,            866622,      1045414731,      1016667324,                  0,         28747407,          6.71
94/04,2836,高銀,         19254160,         24762301,            904462,        101525402,          3662180,          2373280,            871378,         17024083,        117818657,          3620195,          4492441,          5034238,          2542403,          2821146,                  0,        153353163,        142955376,                  0,         10397787,         20.65
94/04,2838,聯邦銀行,         20064831,         38342097,         44466239,        182118324,         24841985,          8963594,         10181681,          5484429,        271830619,         13105400,         20224561,         18253942,             63733,             42651,            -26584,        328978751,        310645009,                  0,         18333742,         10.04
94/04,2845,遠東商銀,         21420425,         22741218,         29122195,        212214005,         14345873,          2629886,          3182365,         16854575,        228052878,         29000000,          9983996,         17912499,          1197314,          2644599,             10106,        305655967,        283891449,                  0,         21764518,         12.15
94/04,2849,安泰銀行,         41917208,         27337923,         11068050,        210643342,          6811571,          3248252,         14303260,          6024452,        246108380,         35180000,          9521143,         17093384,            223615,          1178632,                  0,        315329606,        296833975,                  0,         18495631,         10.82
