年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
96/02,2880,華南金,         36570087,        168760096,         55208734,          5585606,        139594404,         53193145,                  0,      1035816588,        137300812,             90263,            613903,         25181272,            586818,         10470147,         23977837,      1692949712,         90495881,      1301838968,          4444548,         39136719,         50592671,         57772306,                  0,                  0,         37400000,          8125142,                  0,            941728,          6117477,    788027.00,          7230472,      1604883939,         59702086,         12408866,         11941975,          4007949,              4897,         88065773,                  0,                  0,         14.75
96/02,2881,富邦金,         57533491,        214405707,         68527901,          8686390,        256198683,        101687062,                  0,        771737578,          5543696,          1029431,         13118642,         21827796,          1419232,        230402143,         12695792,      1764813544,         62325995,        941912191,          1248822,         14605860,         76740888,         60849055,          3778900,                  0,         87159921,          8935931,                  0,                  0,        244772162, 85729020.00,          6029284,      1594088029,         77190935,         49091107,         30759331,          9302755,          4381387,        170725515,                  0,                  0,         21.55
96/02,2882,國泰金,        432427005,         38842235,        161740946,         16141793,        463763195,         88791567,                  0,      1246332395,        569515330,          2899125,        105267384,         38932042,            822933,        379842762,         51071358,      3596390070,         65673374,      1006209767,                  0,         64529248,         19225421,         66164362,            821000,                  0,         17686802,                  0,                  0,                  0,      1897624011,213133148.00,         14243112,      3365310245,         92770191,         81971167,         34758801,         18653635,          2926031,        231079825,                  0,         66659815,         24.77
96/02,2883,開發金,         11271771,         23066582,         85484306,          4403983,         71804849,         25122106,                  0,         77868356,                  0,         14146717,                  0,          4236532,                  0,         49779466,          7199567,        374384235,         20129010,          4392814,          7281724,         11475518,         57294014,         22848643,                  0,                  0,         47200000,         10742484,                  0,                  0,                  0, 25506064.00,          4847556,        211717827,        115870627,         12852350,         12983086,         19847010,          1113335,        162666408,                  0,                  0,         14.34
96/02,2884,玉山金控,         18984380,         32186697,         76681438,          3612320,         42394097,         33771911,                  0,        478059324,         14742300,                  0,                  0,         12748125,          3786274,          8863059,          5671497,        731501422,         29591914,        537487993,            875099,         40971731,         25581958,         14303324,                  0,                  0,         31000000,          1220900,                  0,                  0,                  0,  2805786.00,            755754,        684594459,         33033000,          9859777,          4104421,            -91771,              1536,         46906963,                  0,                  0,         14.20
96/02,2885,元大金,          8455397,         64288979,         73549556,         10257080,         23027806,        106971078,                  0,        227515376,          9079034,          5674842,                  0,         13070953,          9854535,          8925716,         16635793,        577306145,         20659888,        275681287,         18275844,          7683614,         55067060,         38470194,                  0,                  0,         19101902,         26830361,                  0,            832947,          1003383,  1021133.00,          6137055,        470764668,         83121145,         23832730,          4327013,         -4981990,            242579,        106541477,                  0,        295527780,         13.26
96/02,2886,兆豐金,         74276839,        154257146,        196565067,         16279094,        262684045,         98737424,                  0,      1181548122,         84932660,          2935668,            381680,         24433489,            258375,         32920392,          8916010,      2139126011,        257538251,      1130406822,         15035972,         50509199,        285325114,         84687741,         43870126,                  0,         40631749,         13726000,                  0,          1548635,          8478171,  9897075.00,          8470797,      1950125652,        111694492,         45631626,         26455833,          4553792,            664616,        189000359,                  0,        110023000,         17.03
96/02,2887,台新金控,         49595771,        230078423,         86890718,         19766580,         97099482,        109655934,                  0,      1404892081,        171422682,            982388,                  0,         45461795,         20757601,         17796734,         61272380,      2315672569,        231631806,      1602690481,          4687845,         19913750,         90860697,         79202026,            417781,                  0,        106938089,          5780000,                  0,                  0,          1562843,    530347.00,         16103806,      2160319471,         69880779,         19389426,          4220186,             58579,         61804128,        155353098,                  0,                  0,         13.39
96/02,2888,新光金,         39727072,         35894427,         98594397,          4256216,        173363173,         38376142,                  0,        418631182,        227972087,            409688,         74146478,         23759977,          2722673,        409316201,         24560358,      1571730071,         16971372,        294456215,                  0,          2744231,          9009009,         19900263,                  0,                  0,         34591147,                  0,                  0,                  0,      1005598181, 83556990.00,         12916994,      1479744402,         49017884,         14546304,         15569466,         10408772,          2443243,         91985669,                  0,          7280000,         18.84
96/02,2889,國票金控,            991669,          1000211,        102307203,          3582984,         96917466,         12080931,                  0,                  0,            433602,          1332998,                  0,          2156617,            297813,          5596396,          1301828,        227999718,         12377000,                  0,          2373566,          1167994,        178052584,          3847191,                  0,                  0,                  0,                  0,                  0,            138782,          2249604,  1123794.00,             22142,        201352657,         21622801,                  0,          2072222,           -918365,          3870403,         26647061,                  0,                  0,         10.74
