年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
95/04,2880,華南金,         40385806,        147516871,         59781895,          4783854,        130931832,         42475143,                  0,      1020285842,        165990992,             92615,            123728,         25612822,            573218,         12316790,         23701854,      1674573262,         95002930,      1274405863,          3968170,         35133129,         59404975,         51575518,                  0,                  0,         45650000,          3639057,                  0,            803449,          5905540,    822743.00,          7563506,      1583874880,         59702086,         12408866,         13569346,          5007368,             10716,         90698382,                  0,                  0,         15.19
95/04,2881,富邦金,         59343746,        245532545,         63419250,          7252638,        242989915,        100444472,                  0,        732104410,          4808219,          1617827,         10481324,         21935349,            565106,        218759952,         15287497,      1724542250,         42249257,        941164428,                  0,          9083711,         71479640,         57337054,          6029171,                  0,         96982854,          4394646,                  0,                  0,        244056973, 77450836.00,          6510625,      1556739195,         77190935,         49091107,         29827502,          7422181,          4271330,        167803055,                  0,                  0,         21.19
95/04,2882,國泰金,        519248057,         51598723,        157631815,          1786058,        389399889,         91567899,                  0,      1206511996,        544803815,          3700103,        102545157,         38830185,            394073,        288953149,         50542769,      3447513688,        100472725,        962572893,                  0,         68054088,         23661740,         42873136,            816250,                  0,         22409028,                  0,                  0,                  0,      1826647352,162855684.00,         18125055,      3228487951,         92068174,         78867213,         27898346,         17312129,          2879875,        219025737,                  0,         66659815,         23.65
95/04,2883,開發金,         16058054,         37044910,         78290860,          9177049,         60803758,         26953222,                  0,         70910458,                  0,         13087169,                  0,          4404614,                  0,         47840549,          7145709,        371716352,         29578831,          4627316,          4709558,         12566095,         60543568,         17325875,                  0,                  0,         38000000,         16670616,                  0,                  0,                  0, 20715740.00,          5940000,        210677599,        112677793,         12827661,         15657780,         18646840,          1228679,        161038753,                  0,                  0,         14.18
95/04,2884,玉山金控,         15796951,         37046023,         76707267,          4241999,         44271276,         34340268,                  0,        439171905,         14642940,                  0,                  0,         11771149,          3662701,          5081346,          7055445,        693789270,         29746974,        506263564,            913482,         41544149,         23134616,         14598548,                  0,                  0,         27300000,            940000,                  0,                  0,                  0,  2791235.00,            987092,        648219660,         33033000,          9859777,          2315680,            359412,              1741,         45569610,                  0,                  0,         13.79
95/04,2885,元大金,          6414828,         57445344,         28653454,          4668747,         21764459,         51328696,                  0,        226180652,          6460672,                  0,                  0,          6232513,          1953385,          6360704,          7415441,        424878895,         26328167,        265729346,         16487436,          4204542,         26950775,         17509518,                  0,                  0,         12595781,         16693142,                  0,            288851,            500473,          0.00,          1033630,        388321661,         31617616,          8300878,         -3311655,            -83341,             33736,         36557234,                  0,                  0,         11.55
95/04,2886,兆豐金,         52169496,        256139063,        245932121,          5365413,        275375623,        107852796,                  0,      1126900618,         96908980,          3053116,            384048,         24610375,            291861,         32720987,         10447310,      2238151807,        371033111,      1071926588,         15816828,         50214808,        315710030,         74834630,         56438426,                  0,         43527894,          9355000,                  0,          1623579,          8794929,  9779073.00,          8672901,      2037727797,        111694492,         45631626,         34611369,          7761648,            724875,        200424010,                  0,        110023000,         18.06
95/04,2887,台新金控,         59848023,        207701591,        116176934,         26163593,         94109665,        110837542,                  0,      1380374402,        185561348,            986602,                  0,         45983539,         22442037,         17822482,         62576230,      2330583988,        236622085,      1628076369,          4112746,         18138882,         87195497,         72145841,            384585,                  0,        108789414,          4250000,                  0,                  0,          1797106,    535041.00,         15719802,      2177767368,         69880779,         35448570,        -16014155,          1107606,         62393820,        152816620,                  0,                  0,         12.94
95/04,2888,新光金,         50238640,         38261232,         86095491,          5690307,        153199270,         39254863,                  0,        406599988,        222722018,            419849,         74859368,         24826944,          2722673,        366517784,         20893676,      1492302103,         11991137,        281779318,                  0,          5262025,         11924080,         16025667,                  0,                  0,         36055131,                  0,                  0,                  0,        971942964, 54317957.00,         12156811,      1401455090,         46996419,         13625924,         12517352,         15209049,          2498269,         90847013,                  0,          9530000,         18.84
95/04,2889,國票金控,          1104438,          5695052,        101793380,          3791425,        106106033,         10183306,                  0,                  0,            623701,          1435300,                  0,          2217796,            261992,          7436032,          3513765,        244162220,         18635000,                  0,          1063089,             64210,        189011665,          2545616,                  0,                  0,                  0,                  0,                  0,            148875,          2882716,  1201282.00,             42027,        215594480,         21198825,                  0,          3086908,            410978,          3871029,         28567740,                  0,                  0,         11.65
