年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
98/02,2855,統一證券,         23255855,          3630238,          2204518,                  0,          1927478,                  0,                  0,          9769369,          2831893,            262940,                  0,              8284,         11857062,            250573,          6502879,           -464911,         31018089,         12872486,         18145603,                  0,         40000000,         15.84
98/02,2856,元富證券,         38745749,          3079246,          1836736,             47688,          1580676,                  0,            374472,         27030143,          1963755,            280592,                  0,                  0,         13906869,             48567,          2724468,           -289827,         45664567,         29274490,         16390077,                  0,         12878000,         11.90
98/02,6005,群益證,         25465599,          4433614,          4089405,            389999,          2603516,                  0,            122260,         18541026,            190337,            272219,                  0,                  0,         16107860,            797372,          1082072,            113507,         37104393,         19003582,         18100811,                  0,                  0,         11.24
