年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/03,1101,台泥,         11505225,         32261878,         45094017,            506966,          4883563,          6846281,         28875234,          7387380,         28097644,         14575725,          8698066,           -228681,         94251649,         43108895,         51142754,         18.20
93/03,1102,亞泥,          7429470,         43796590,          2185484,                  0,          8580648,          4726333,          8500000,          4075280,         21708858,          8466607,         13643420,            871694,         61992192,         17301613,         44690579,         20.59
93/03,1103,嘉泥,          2527876,         13143462,            415787,            190143,            454744,          1780031,          3405269,            406542,          6996391,          2352572,          3293802,         -1502595,         16732012,          5591842,         11140170,         15.92
93/03,1104,環球水泥,          1769782,          5337966,          5386597,            155437,            270883,          1198794,          1350000,          2290879,          4157255,          1956791,          2011154,            -44208,         12920665,          4839673,          8080992,         19.44
93/03,1108,幸福水泥,          2419973,          3056633,          2096747,             96644,            451943,          2843233,            229500,            463589,          4047380,                308,            531445,              6485,          8121940,          3536322,          4585618,         11.33
93/03,1109,信大水泥,          2320104,          1806438,          2008188,             60626,            181708,            264595,                  0,            317797,          4290898,             18842,          1486201,             -1269,          6377064,            582392,          5794672,         13.50
93/03,1110,東泥,          1315648,          2435358,          5386828,             69238,            712612,            523986,                  0,          1367806,          5865678,            313625,          1923547,            -74958,          9919684,          1891792,          8027892,         13.69
93/03,1201,味全公司,          3782808,          1768907,          4906751,            682417,            915091,          3095226,          2517000,          2612251,          5060629,          1791550,         -2817501,           -203181,         12055974,          8224477,          3831497,          7.57
93/03,1203,味王公司,            912236,          2696149,          1591791,            209296,             46945,          1227438,            320000,            649100,          2092537,            944711,            300850,            -78219,          5456417,          2196538,          3259879,         15.58
93/03,1210,大成長城,          4410787,          2704836,          2176022,             57534,            323721,          3916383,            934835,            159362,          4020278,            254720,            713308,           -325986,          9672900,          5010580,          4662320,         11.60
93/03,1213,大飲,            349582,              1101,            203302,              2387,            186044,            129174,                  0,             28949,            428959,             64834,             90549,                -49,            742416,            158123,            584293,         13.62
93/03,1215,卜蜂企業,          3300901,            487780,            874090,                  0,            102674,          2171199,            157500,            126041,          2320268,                967,             81011,            -91541,          4765445,          2454740,          2310705,          9.96
93/03,1216,統一,          9142161,         50301971,         14927337,            334967,          1549071,          8817874,         23327142,          2520438,         33753848,            989182,          7669665,           -822642,         76255507,         34665454,         41590053,         12.32
93/03,1217,愛之味,          2483963,          3091695,          1745336,             30902,            989629,          2732546,          1523343,            389701,          3639628,             79460,             99705,           -122858,          8341525,          4645590,          3695935,         10.15
93/03,1218,泰山企業,          2636953,          2734783,          2343441,             79307,             78173,          2242184,          1600000,            784378,          3362299,            620095,             68744,           -805043,          7872657,          4626562,          3246095,          9.65
93/03,,,,,,,,,,,,,,,,,,
93/03,1219,福壽實業,          2458839,            806098,          1759226,             88085,             65442,            695245,            540000,            644447,          2722294,            540272,             57804,            -22372,          5177690,          1879692,          3297998,         12.11
93/03,1220,台榮,          1040313,            352493,            985910,             34182,            113615,            708444,                  0,            119430,          1770779,             17118,           -100640,             11382,          2526513,            827874,          1698639,          9.59
93/03,1225,福懋油,          1570553,            789368,          1024371,             17912,             97061,          1421085,             40000,            292937,          1627000,            299318,           -215067,             33992,          3499265,          1754022,          1745243,         10.73
93/03,1227,佳格,          2167656,          2331194,          1329340,                  0,            243365,            905397,            939000,             19028,          3209184,              9169,            984417,              5360,          6071555,          1863425,          4208130,         13.21
93/03,1229,聯華實業,          1983999,          9356772,          1320984,             27394,            471228,          1349224,          1299695,            229062,          6623690,            697117,          2872833,             88756,         13160377,          2877981,         10282396,         15.55
93/03,1231,聯華食品,          1165202,            661787,            733934,             11936,            418827,            664734,            628243,             22930,          1154190,             76975,            430054,             14560,          2991686,          1315907,          1675779,         14.52
93/03,1232,大統益,          1409798,            651703,          1614663,                  0,             19137,            910107,            709829,              5000,          1599749,             23784,            446832,                  0,          3695301,          1624936,          2070365,         12.94
93/03,1233,天仁,            517063,             64021,            883173,             39248,            101586,            360773,             19841,            130887,            879533,              7066,            244765,            -37774,          1605091,            511501,          1093590,         12.43
93/03,1234,黑松,          1560427,          5229142,          2675843,            225060,            176027,            666660,                  0,          1387598,          5358281,            604759,          1854689,             -5488,          9866499,          2054258,          7812241,         14.58
93/03,1235,興泰,            588996,             78618,            157943,             17175,             63634,            240524,                  0,            109433,            411638,             85295,            118840,            -59364,            906366,            349957,            556409,         13.52
93/03,1236,宏亞食品,            536888,            245664,            707224,             29033,             82219,            473761,             59542,            115246,            715808,             33396,            198149,              5126,          1601028,            648549,            952479,         13.31
93/03,1301,台塑,         57521128,         78934239,         63472770,            819829,          5107322,         19369119,         57207543,          5146238,         50952807,         11841146,         59486761,          1851674,        205855288,         81722900,        124132388,         24.36
