年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/02,1101,台泥,         14356773,         30214289,         43155871,            506511,          3651987,          8436650,         22170487,          7788163,         29493513,         15109078,          9517932,           -630392,         91885431,         38395300,         53490131,         19.13
94/02,1102,亞泥,          8413671,         47095389,          2068850,                  0,          8402793,          7295268,          9360000,          3338227,         23445567,          9343296,         13027693,            170652,         65980703,         19993495,         45987208,         21.18
94/02,1103,嘉泥,          2419998,         12177199,            502783,            162177,            315232,          1964331,          3141532,            208858,          6996391,          2352954,          2869936,         -1956613,         15577389,          5314721,         10262668,         19.49
94/02,1104,環球水泥,          2027234,          5969555,          5300464,            133231,            165960,          1054450,          1850000,          1448834,          4614553,          2890464,          1942702,           -204559,         13596444,          4353284,          9243160,         22.23
94/02,1108,幸福水泥,          2699005,          2211526,          2036719,             87303,            501964,          2666897,            157500,            433718,          4047380,             15910,            206966,              8146,          7536517,          3258115,          4278402,         10.57
94/02,1109,信大水泥,          2623241,          1727226,          1972621,             73169,            181581,            600078,                  0,            344544,          4290898,             20888,          1322296,               -866,          6577838,            944622,          5633216,         13.13
94/02,1110,東泥,          1318076,          2448309,          5386425,                  0,            509502,            429654,            198000,            969620,          5865678,            467107,          1819853,            -87600,          9662312,          1597274,          8065038,         13.85
94/02,1201,味全公司,          2828016,          1282746,          4884825,            578832,          1144021,          2762998,          2456743,          1996691,          5060629,                  0,         -1370010,           -188611,         10718440,          7216432,          3502008,          6.92
94/02,1203,味王公司,            822628,          2633792,          1445526,            171253,             38152,          1085638,            320000,            529701,          2092537,          1190568,             15606,           -122699,          5111351,          1935339,          3176012,         15.32
94/02,1210,大成長城,          3561010,          2532950,          2286463,             49591,            297797,          2368855,          1382493,            194164,          4020278,            239807,          1049112,           -526898,          8727811,          3945512,          4782299,         12.08
94/02,1213,大飲,            346150,                  0,            199357,                  0,            180731,            115137,                  0,             33536,            428959,             64834,             83854,                -82,            726238,            148673,            577565,         13.46
