年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/04,1101,台泥,         16187382,         29719371,         41992080,            460464,          3454055,          8092857,         19748864,          7551244,         29918865,         15654458,         11626559,           -665627,         91813352,         35392965,         56420387,         18.94
94/04,1102,亞泥,          6104471,         52498853,          2045649,                  0,          8442803,          4826157,         10850000,          3295541,         23445566,          9547561,         16268102,            858849,         69091776,         18971698,         50120078,         21.38
94/04,1103,嘉泥,          2487395,         12921046,            487485,            134212,            314992,          1896041,          3346000,            335978,          6745261,          2298623,          3262288,           -466705,         16345130,          5578019,         10767111,         21.29
94/04,1104,環球水泥,          1950299,          6519122,          3316431,            111026,          2099589,          1180530,          1700000,          1483405,          4586933,          2917626,          2123776,              4197,         13996467,          4363935,          9632532,         21.00
94/04,1108,幸福水泥,          2508848,          2222352,          2011835,             49979,            505171,          2317127,            185500,            400605,          4047380,             15915,            324248,              7410,          7298185,          2903232,          4394953,         10.86
94/04,1109,信大水泥,          2434054,          1858490,          1960216,             31656,            193535,            336716,                  0,            315186,          4290898,             20888,          1514892,               -629,          6477951,            651902,          5826049,         13.58
94/04,1110,東泥,          1540091,          2397955,          5381041,                  0,            477421,            469280,            196667,            963872,          5865678,            467106,          1937859,            -48435,          9796508,          1629819,          8166689,         14.06
94/04,1201,味全公司,          2325876,          1442423,          4804324,            482360,          1123612,          2245732,          2350337,          1915320,          5060629,                  0,         -1204978,           -188445,         10178595,          6511389,          3667206,          7.25
94/04,1203,味王公司,            892075,          2650233,          1431189,            144666,             42354,          1054574,            320000,            529847,          2092537,          1208073,             56960,            -96523,          5160517,          1904421,          3256096,         15.71
94/04,1210,大成長城,          3743431,          2799391,          2295100,             41325,            238385,          2517613,          1248224,            187647,          4020278,            253682,          1329567,             43093,          9117632,          3953484,          5164148,         14.91
94/04,1213,大飲,            363083,                  0,            195628,                  0,            180742,            122186,                  0,             38681,            428959,             64834,             85084,               -291,            739453,            160867,            578586,         13.49
94/04,1215,卜蜂企業,          1971292,            527741,            823477,                  0,            166997,          1019520,              2500,            144447,          2320268,                967,             43948,            -42143,          3489507,          1166467,          2323040,         10.01
94/04,1216,統一,          8438985,         50682766,         14605974,            250888,          2064202,          5899347,         24022952,          2530013,         33541258,          2046935,          9232277,         -1229967,         76042815,         32452312,         43590503,         13.00
94/04,1217,愛之味,          1991851,          3550339,          2067438,                  0,          1099307,          1991256,          2476087,            286845,          3708261,            166979,            229873,           -150366,          8708935,          4754188,          3954747,         10.66
94/04,1218,泰山企業,          1929341,          2690003,          2322448,             57583,             67095,          1379901,          1750000,            586337,          3139641,            655935,           -139679,           -230920,          7066470,          3716238,          3350232,         11.37
94/04,,,,,,,,,,,,,,,,,,
94/04,1219,福壽實業,          2543721,            701264,          1649537,             67485,             81662,            769941,            300000,            633072,          2722294,            530967,            115762,             -1016,          5043669,          1703013,          3340656,         12.54
94/04,1220,台榮,          1105296,            325863,            776466,             14964,            102574,            560640,                  0,            100360,          1770779,             23378,           -143909,             13915,          2325163,            661000,          1664163,          9.40
94/04,1225,福懋油,          1534344,            794329,          1045352,             15217,            108909,          1351331,            140000,            182904,          1627000,            254649,            -54632,             -3101,          3498151,          1674235,          1823916,         11.21
