年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
101/01,2855,統一證券,         36796203,          3788259,          2480928,                  0,          1351263,                  0,             53849,         23110859,                  0,             19600,                  0,                  0,         12845816,            409825,          8340016,           -255614,         44470502,         23130459,         21340043,                  0,                  0,         16.61
101/01,2856,元富證券,         52375798,          2895538,          2034256,            268581,          1743495,                  0,                  0,         39489178,            332444,              9360,                  0,             19315,         15285724,            388845,          4301427,           -508625,         59317668,         39850297,         19467371,                  0,         38800000,         13.07
101/01,6005,群益證,         38760125,          3850069,          5850948,          3540493,          3741336,                  0,                  0,         25122175,            868798,            413938,                  0,            110482,         23690730,          2735007,          2872077,            -70236,         55742971,         26515393,         29227578,                  0,                  0,         12.34
