年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
98/04,1101,台泥,         11539226,         54072702,         35517054,                  0,          3448607,        104577589,          7126366,         12880000,          5030332,            430791,         25467489,         32921759,          8550059,         17113938,         20524344,                  0,         79110100,                  0,                  0,         24.03,                  0,                  0
98/04,1102,亞泥,         12106864,         87860207,          2335666,                  0,          8576388,        110879125,         11997286,         20744595,          1443866,          1608347,         35794094,         29857355,          8197276,         22263824,         14766576,                  0,         75085031,                  0,                  0,         25.15,                  0,                  0
98/04,1103,嘉泥,          3190636,         18559826,          2862824,             44280,            228341,         24885907,          2131768,          4934500,                  0,          1013300,          8079568,          7178779,            494525,          6854747,          2278288,                  0,         16806339,                  0,                  0,         29.05,                  0,        139303165
98/04,1104,環球水泥,          1391963,         10285614,          3098491,             22205,          2341571,         17139844,          1137015,          2102000,          1082113,            451870,          4772998,          6038919,            159623,          2358546,          3809758,                  0,         12366846,                  0,                  0,         20.48,                  0,                  0
98/04,1108,幸福水泥,          1684220,          2565946,          3212253,                  0,            567960,          8030379,          2191144,          1080000,                  0,            411777,          3682921,          4047380,             27412,            287319,            -14653,                  0,          4347458,                  0,                  0,         10.74,                  0,                  0
98/04,1109,信大水泥,          2052708,          2587815,          1843515,                  0,            170426,          6654464,            227179,                  0,                  0,            336591,            563770,          4210008,             42598,          1857083,            -18995,                  0,          6090694,                  0,                  0,         14.47,                  0,                  0
98/04,1110,東泥,          1479466,          2503467,          4736862,                  0,            886888,          9606683,            519352,                  0,            242930,            542095,          1304377,          5720008,            179909,          1635837,            766552,                  0,          8302306,                  0,                  0,         14.62,                  0,          4301932
98/04,1201,味全公司,          2913999,          1972290,          5089430,             96472,          1061184,         11133375,          2160720,          1279997,            748907,          1445070,          5634694,          5060629,             75602,            810086,           -447636,                  0,          5498681,                  0,                  0,         10.87,                  0,                  0
98/04,1203,味王公司,            901212,          3550101,            789736,             29606,             27926,          5298581,            460553,                  0,            139094,            495295,          1094942,          2197164,             36154,            780827,          1189494,                  0,          4203639,                  0,                  0,         19.32,                  0,          2100000
98/04,1210,大成長城,          4533183,          6571749,          2383289,              8261,            734262,         14230744,          3081569,          1442512,             20754,            198722,          4743557,          4711123,          1705501,          2562052,            508511,                  0,          9487187,                  0,                  0,         21.76,                  0,         35181556
98/04,1213,大飲,            340475,             30196,            258265,                  0,            116611,            745547,            135548,                  0,                  0,             12915,            148463,            514751,             21938,             62539,             -2144,                  0,            597084,                  0,                  0,         11.60,                  0,                  0
98/04,1215,卜蜂企業,          2776424,            974731,          1068310,                  0,            102214,          4921679,          1466915,                  0,                  0,            288581,          1755496,          2320268,                967,            444785,            400163,                  0,          3166183,                  0,                  0,         13.65,                  0,                  0
98/04,1216,統一,         10134988,         74862725,          8796293,             79611,          5178332,         99051949,         10846191,         21144356,            815803,          1838554,         34644904,         38974002,          6185983,         15211290,          4035770,                  0,         64407045,                  0,                  0,         16.53,                  0,                  0
98/04,1217,愛之味,          1940041,          3128318,          1750112,             21670,          1050529,          7890670,            947126,          2019332,             79974,            228540,          3274972,          4476893,             28227,            -47635,            158213,                  0,          4615698,                  0,                  0,         10.31,                  0,                  0
98/04,1218,泰山企業,          2323458,          2587439,          2194434,                  0,             75474,          7180805,            913363,          2200855,            229042,            201419,          3544679,          3202434,             43537,            228924,            161231,                  0,          3636126,                  0,                  0,         11.80,                  0,         12208428
98/04,,,,,,,,,,,,,,,,,,,,,,,,
98/04,1219,福壽實業,          3226020,            745531,          1555309,             28873,             84168,          5639901,            903206,            409087,            431001,            267599,          2010893,          2743080,            215710,            336808,            333410,                  0,          3629008,                  0,                  0,         13.23,                  0,                  0
98/04,1220,台榮,          1194280,            244610,            496881,                  0,            132633,          2068404,            444307,                  0,              5813,            108120,            558240,          1770779,                537,           -281451,             20299,                  0,          1510164,                  0,                  0,          8.53,                  0,                  0
98/04,1225,福懋油,          1792780,            981575,            962779,                  0,            171014,          3908148,            706511,          1013865,            100296,             64892,          1885564,          1627000,            130739,             71409,            193436,                  0,          2022584,                  0,                  0,         12.43,                  0,                  0
98/04,1227,佳格,          3409102,          2436854,          1004865,              8474,            421476,          7280771,          1419202,                552,             33685,             19815,          1473254,          3225230,             29242,          2443854,            109191,                  0,          5807517,                  0,                  0,         18.14,                  0,          2350654
98/04,1229,聯華實業,          1489412,         15344123,          3339829,              2057,            140937,         20316358,            948803,          2664557,             93688,            236845,          3943893,          8144792,            828936,          4716973,          2681764,                  0,         16372465,                  0,                  0,         20.10,              5000,             91000
98/04,1231,聯華食品,          1730339,            205105,            629416,             22356,            476056,          3063272,            684918,            526199,                  0,            119987,          1331104,          1154190,             73042,            515353,            -10417,                  0,          1732168,                  0,                  0,         15.01,                  0,                  0
98/04,1232,大統益,          2303049,            355259,          1061538,                598,             11015,          3731459,            909172,                  0,                  0,             39642,            948814,          1599749,             23784,          1205862,            -46750,                  0,          2782645,                  0,                  0,         17.39,                  0,                  0
98/04,1233,天仁,            573375,             73999,            849982,              4731,             93519,          1595606,            268502,                  0,                  0,              8444,            276946,            905919,             60605,            352645,               -509,                  0,          1318660,                  0,                  0,         14.56,                  0,                  0
