年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
92/02,1101,台泥,          8875543,         36102574,         47810881,            690697,          4840950,         15664652,         27175534,          7343676,         27103964,         14762922,          6641166,           -371269,         98320645,         50183862,         48136783,         18.12
92/02,1102,亞泥,          7709306,         37170988,          2890936,                  0,          8983824,          7319782,          9160000,          4468531,         20383904,          6938796,          9048174,           -564133,         56755054,         20948313,         35806741,         17.56
92/02,1103,嘉泥,          2344317,          8542409,          4541965,            693719,          3119541,          2084294,          5231108,          2315997,          6996391,          1604024,          2417465,         -1407328,         19241951,          9631399,          9610552,         13.73
92/02,1104,環球水泥,          1563033,          4842455,          5560592,            177642,            221551,            644154,          2100000,          2197768,          3711834,          1952649,          1754716,              4152,         12365273,          4941922,          7423351,         21.39
92/02,1108,幸福水泥,          2612048,          3097138,          2248085,             28924,            534941,          3652893,            475000,            334209,          4047380,                308,              5821,              5525,          8521136,          4462102,          4059034,         10.02
92/02,1109,信大水泥,          2131608,          1896045,          2156543,             68422,            206852,            726333,                  0,            279553,          4207140,             12029,          1235666,             -1251,          6459470,          1005886,          5453584,         12.96
92/02,1110,東泥,          1401771,          2193164,          5624307,             93100,            626568,            842025,                  0,          1633501,          5586360,            313625,          1656328,            -92929,          9938910,          2475526,          7463384,         13.36
92/02,1201,味全公司,          3957071,          1782550,          4996083,            771777,            660075,          4808651,          1196341,          2515528,          5060629,          1791054,         -3087073,           -117574,         12167556,          8520520,          3647036,          7.20
92/02,1203,味王公司,          1603273,            874228,          2093313,            248852,          1655732,          2044629,            420000,          1752104,          2092537,             59265,            227313,           -120450,          6475398,          4216733,          2258665,         10.79
92/02,1210,大成長城,          3576536,          2663048,          2324369,             66123,            205509,          3119900,            783724,            156950,          4003182,            223313,            946761,           -398245,          8835585,          4060574,          4775011,         11.92
92/02,1213,大飲,            355862,              4831,            189247,                  0,            214513,            170717,                  0,             20510,            428959,             64834,             79380,                 53,            764453,            191227,            573226,         13.36
92/02,1215,卜蜂企業,          2407149,            626444,            873731,                  0,            100052,          1029218,            584400,            103702,          2300268,              2969,             10524,            -23705,          4007376,          1717320,          2290056,          9.95
92/02,1216,統一,          8346025,         47882317,         14243910,            377006,          1428203,          7881293,         21068941,          2431961,         34243868,            968687,          6646304,           -963593,         72277461,         31382195,         40895266,         11.94
92/02,1217,愛之味,          1905646,          2746045,          1630774,             19556,            912199,          1875814,          1454044,            316812,          3639628,             20689,            100863,           -193630,          7214220,          3646670,          3567550,          9.80
92/02,1218,泰山企業,          2317042,          2130870,          2385843,             90169,            157805,          2271926,            790000,            813248,          3232980,            704186,            -55297,           -675314,          7081729,          3875174,          3206555,          9.91
92/02,,,,,,,,,,,,,,,,,,
92/02,1219,福壽實業,          2266364,            619049,          1840067,             71340,            109458,            727750,            400000,            627952,          2722294,            349658,            100984,            -22360,          4906278,          1755702,          3150576,         11.57
92/02,1220,台榮,            825592,            330083,          1228684,             34940,            114474,            452791,            100000,            110176,          1770779,             24978,             60836,             14213,          2533773,            662967,          1870806,         10.56
92/02,1225,福懋油,          1233220,            842701,          1068783,             14557,            108646,            977107,                  0,            270513,          1867870,            200831,            -99154,             50740,          3267907,          1247620,          2020287,         10.81
92/02,1227,佳格,          2160099,          2337535,          1476113,              2753,            249916,            989658,          1280000,             17264,          3209184,              5784,            619959,            104567,          6226416,          2286922,          3939494,         12.27
92/02,1229,聯華實業,          1784318,          8342658,          1422028,             31307,            808139,          1270294,          1322224,            196752,          6612928,            729189,          2094816,            162247,         12388450,          2789270,          9599180,         14.51
92/02,1231,聯華食品,          1355054,            732126,            769888,             18978,            449764,            769271,            882918,             37571,          1154190,             72435,            386575,             22850,          3325810,          1689760,          1636050,         14.17
92/02,1232,大統益,          1593526,            654899,          1681717,                  0,             11993,          1279149,            600000,              3646,          1599749,             23784,            435807,                  0,          3942135,          1882795,          2059340,         12.87
92/02,1233,天仁,            475015,             67930,            813884,             35164,             78107,            365072,             25012,            123108,            853916,              2612,            138057,            -37677,          1470100,            513192,            956908,         11.54
92/02,1234,黑松,          1643368,          7068450,          2967420,            236842,             92451,            863500,                  0,          3440675,          5358281,            604389,          1743403,             -1717,         12008531,          4304175,          7704356,         14.37
92/02,1235,興泰,            588142,             35034,            163840,             14542,             55489,            178976,                  0,            105630,            411639,             81254,             91132,            -11584,            857047,            284606,            572441,         14.60
92/02,1236,宏亞食品,            487478,             31184,            782538,             30995,             76727,            414513,             87500,            102172,            662785,             33396,            107452,              1104,          1408922,            604185,            804737,         12.74
92/02,1301,台塑,         41026151,         74674201,         60561106,            173552,          6586190,         24075658,         55889831,          4204700,         48068175,         13359897,         35431199,          1991740,        183021200,         84170189,         98851011,         20.56
92/02,1303,南亞塑膠,         57479893,        118075143,         81319690,          1607922,         10678524,         37912775,         81297647,         10668062,         65873483,         20598952,         47778260,          5031993,        269161172,        129878484,        139282688,         21.14
92/02,1304,台聚,          3674926,          6819477,          1186843,            133399,          1377059,          2633433,          1100000,            632147,          7714032,            300099,          1461361,           -649368,         13191704,          4365580,          8826124,         11.44
92/02,1305,華夏,          2407087,          2123176,          3200622,            321445,            433091,          1051066,          1720000,          1790016,          4248035,            123551,           -312834,           -134413,          8485421,          4561082,          3924339,          9.23
92/02,,,,,,,,,,,,,,,,,,
92/02,1307,三芳化工,          2091429,          1121002,          1645346,             42548,             56115,          1221637,            445250,            311162,          2069490,            223818,            477568,            207515,          4956440,          1978049,          2978391,         14.39
92/02,1308,亞聚,          1744002,          1713976,            480552,             34226,            795251,            817402,            100000,            252284,          2279277,            519413,            860139,            -60508,          4768007,          1169686,          3598321,         15.78
92/02,1309,台達化工,          2453484,            795779,          1909372,             27956,            386643,            740910,            700000,            538913,          2626219,            591530,            495935,           -120273,          5573234,          1979823,          3593411,         13.68
92/02,1310,台苯,          2365082,          4404217,          1316662,             17007,            371195,          2319758,            582587,             25740,          5341562,             56402,          1138516,           -990402,          8474163,          2928085,          5546078,         11.43
92/02,1312,國喬石化,          3298304,          5698922,          5686552,             95397,            342340,          5955903,          1943340,          1709077,          6598242,            248981,         -1127424,           -206604,         15121515,          9608320,          5513195,          8.36
92/02,1313,聯成,          1778799,          8807767,          1979795,                  0,            508627,            986069,          2150000,            625508,          7156252,            608661,          1133447,            415051,         13074988,          3761577,          9313411,         13.27
92/02,1314,中石化,          5669040,          7629859,         31782102,             33049,          4436155,         20066217,          9605167,          7335729,         14829438,            126634,           -680258,         -1732722,         49550205,         37007113,         12543092,          8.45
92/02,1315,達新工業,          2340846,            932403,          1046980,             26258,            500183,          1192268,            350270,            250563,          2415227,             41099,            629203,            -31960,          4846670,          1793101,          3053569,         12.64
92/02,1316,上曜,            341113,            559376,            561448,                  0,             29138,            554846,             14450,             63184,          1403322,            215583,           -781822,             21512,          1491075,            632480,            858595,          6.11
92/02,1319,東陽,          2186197,          3482760,          3437247,            159057,            109884,          2457891,          1312418,            442287,          3817003,            516774,            882666,            -53894,          9375145,          4212596,          5162549,         13.92
92/02,1321,大洋,          1064450,          1001603,          1451109,            144880,            473325,            721539,            640000,            402394,          2080845,            120345,            200582,            -30338,          4135367,          1763933,          2371434,         11.39
92/02,1323,永裕,            455952,            324879,            504644,                  0,             22553,            231948,            150672,             29820,            714751,             56813,            112366,             11658,          1308028,            412440,            895588,         12.90
92/02,1324,地球工業,            807415,            101925,            291897,              6156,              4095,            300806,                  0,             13636,            694609,                  0,            197922,              4515,          1211488,            314442,            897046,         14.33
92/02,1325,恒大,            482497,            180671,            944353,              5961,            125132,             84944,            400000,             84980,            891110,             14884,            256601,              6095,          1738614,            569924,          1168690,         13.11
92/02,1326,台化,         46258446,         65766555,         71390674,            197709,          6482082,         25549870,         61064142,          4417904,         45149964,          8617254,         45093047,            203285,        190095466,         91031916,         99063550,         23.69
92/02,,,,,,,,,,,,,,,,,,
92/02,1402,遠東新,         11473302,         51363889,         22717321,          1099623,         18889608,         11444468,         24554270,         16315021,         35925517,          8358042,         10422043,         -1475618,        105543743,         52313759,         53229984,         15.83
92/02,1409,新纖,          5747940,         10155718,          9685107,                  0,            503851,          4710164,          8523177,          1213276,         13253409,            360179,           -594266,         -1373323,         26092616,         14446617,         11645999,          8.78
92/02,1410,南染,            257600,            158072,            555277,              2051,            137517,             82213,                  0,            107593,            900000,             53240,            -32529,                  0,          1110517,            189806,            920711,         10.23
92/02,1413,宏洲纖維,          1102119,             44075,          2501109,             23837,            163787,          1138542,            482921,            136066,          2836457,                  0,           -759059,                  0,          3834927,          1757529,          2077398,          7.32
92/02,1414,東和,          1106211,            411257,          4616294,            103184,             30779,          2949711,             66874,          1460094,          3515775,                  0,         -1618677,           -106052,          6267725,          4476679,          1791046,          5.09
92/02,1416,廣豐,          2791659,          1163054,          4774442,             64384,            229154,          3048161,              4556,          1487640,          5497834,            180664,         -1342149,            145987,          9022693,          4540357,          4482336,          8.15
92/02,1417,嘉裕,          2358878,          2981402,          1033629,             61164,            291678,          1768661,                  0,            260897,          4157493,            436068,            248986,           -145354,          6726751,          2029558,          4697193,         11.29
92/02,1418,東華,          1274184,            303959,          2778068,             76214,            230378,          1194284,                  0,            935715,          2638553,                  0,            -22039,            -83710,          4662803,          2129999,          2532804,          9.59
92/02,1419,新紡,          1320262,          1333742,          4294624,             22673,             75747,          2403063,                  0,          1404726,          2904000,                  0,            859179,           -523920,          7047048,          3807789,          3239259,         11.15
92/02,1423,利華羊毛,          1833119,            460440,          1098884,              3263,             28367,            567503,             11112,            448205,          1793000,            380235,            131943,             92075,          3424073,          1026820,          2397253,         13.37
92/02,1432,大魯閣,          1750910,          1115763,          1697580,             34102,             55361,          2516370,            577170,            634538,          1703676,            756696,         -1236761,           -297973,          4653716,          3728078,            925638,          5.43
92/02,1434,福懋興業,         10285050,         12839966,          8249673,                  0,          2073818,          7415909,          5815512,            283430,         15874971,             23625,          3914318,            120742,         33448507,         13514851,         19933656,         12.93
92/02,1435,中福國際,            395266,            734688,            642556,                  0,             27623,            406296,                  0,            331150,          1397801,             13732,             11789,           -360635,          1800133,            737446,          1062687,          7.60
92/02,1436,華友聯,          1695698,            529423,          1540402,             11133,            560329,            456060,                  0,             13882,          3300000,            420288,            337072,           -190317,          4336985,            469942,          3867043,         12.89
92/02,1437,勤益投控,            988838,            833905,          1580203,             74856,            439594,          1005573,            563345,            346478,          1572008,            419053,             30201,            -19262,          3917396,          1915396,          2002000,         12.73
