年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
97/03,1101,台泥,         12520918,         43718530,         37424300,                  0,          3239007,         96902755,         11852095,          9497651,          5030332,            436326,         26816404,         32921759,          8578057,         12919966,         15666569,                  0,         70086351,                  0,                  0,         21.29,                  0,                  0
97/03,1102,亞泥,         12270636,         76586768,          2446005,                  0,          8396793,         99700202,          8824454,         22150664,          1443866,          1681942,         34100926,         28987723,          7992460,         20169355,          8449738,                  0,         65599276,                  0,                  0,         22.63,                  0,                  0
97/03,1103,嘉泥,          2847699,         17901766,          1772483,            104411,            226212,         22852571,          1441665,          4748000,                  0,          1213504,          7403169,          7390769,            456994,          6573814,          2130030,         -1102205,         15449402,                  0,                  0,         26.43,                  0,        154584165
97/03,1104,環球水泥,          1522396,          9695682,          2954579,             50164,          2342707,         16565528,          1637703,          1950000,          1082113,            437677,          5107493,          6038919,            166422,          1741421,          3511273,                  0,         11458035,                  0,                  0,         18.97,                  0,                  0
97/03,1108,幸福水泥,          2185130,          2625333,          3041843,             22108,            566582,          8440996,          2527892,          1200000,                  0,            404927,          4132819,          4047380,             15965,            283182,            -38350,                  0,          4308177,                  0,                  0,         10.64,                  0,                  0
97/03,1109,信大水泥,          2569491,          1864119,          1891335,                  0,            198429,          6523374,            235543,                  0,                  0,            338867,            574410,          4290898,             28462,          1821219,           -191615,                  0,          5948964,                  0,                  0,         13.86,                  0,                  0
97/03,1110,東泥,          1217262,          2684476,          5230422,                  0,            471677,          9603837,            499972,             32667,            243226,            611050,          1386915,          5760008,            169655,          1706016,            635486,            -54243,          8216922,                  0,                  0,         14.39,                  0,          5103932
97/03,1201,味全公司,          3143718,          1587787,          4981661,            289416,            901777,         10904359,          2294879,          1600000,            748907,          1386157,          6029943,          5060629,             77114,             -1237,           -262090,                  0,          4874416,                  0,                  0,          9.63,                  0,                  0
97/03,1203,味王公司,          2015592,          3486987,            745680,             89310,             57506,          6395075,          2262106,            310000,            139094,            436702,          3147902,          2092537,             36154,            -87368,          1210801,             -4951,          3247173,                  0,                  0,         15.67,                  0,          2000000
97/03,1210,大成長城,          5973817,          6042811,          2800471,             24793,            431255,         15273147,          5311891,          1083006,             20754,            140181,          6555832,          4486784,          1565897,          2237455,            645971,           -218792,          8717315,                  0,                  0,         21.00,                  0,         33506245
97/03,1213,大飲,            394442,             32700,            176627,                  0,            235129,            838898,            200072,                  0,                  0,             53270,            253342,            514751,             21938,             51024,             -2157,                  0,            585556,                  0,                  0,         11.38,                  0,                  0
97/03,1215,卜蜂企業,          3064043,            526843,          1059914,                  0,            102089,          4752889,          1894047,                  0,                  0,            251165,          2145212,          2320268,                967,            336110,            -49668,                  0,          2607677,                  0,                  0,         11.24,                  0,                  0
97/03,1216,統一,         10704395,         70243839,          9529894,            160518,          5097784,         95736430,         16118897,         18882048,            815803,          1504929,         37321677,         37331420,          5867256,         11970794,          3245283,                  0,         58414753,                  0,                  0,         15.65,                  0,                  0
97/03,1217,愛之味,          2177281,          2813600,          1707045,                  0,          1289375,          7987301,          1850682,          1429052,             79974,            204178,          3563886,          4476893,             74211,           -187612,             65410,             -5487,          4423415,                  0,                  0,          9.89,                  0,            520000
97/03,1218,泰山企業,          3525897,          2734495,          2179116,             25090,             68323,          8532921,          2954900,          1337666,            285250,            222323,          4800139,          3202434,            107539,            182575,            307175,            -66941,          3732782,                  0,                  0,         12.12,                  0,         12208428
97/03,,,,,,,,,,,,,,,,,,,,,,,,
97/03,1219,福壽實業,          3479249,            746239,          1589506,             61870,             97500,          5974364,          1339027,            404346,            431001,            283119,          2457493,          2743080,            215396,            235692,            322703,                  0,          3516871,                  0,                  0,         12.82,                  0,                  0
97/03,1220,台榮,          1491579,            296903,            568352,              4386,             89080,          2450300,            712447,                  0,              5813,            105289,            823549,          1770779,                537,           -135475,             -9090,                  0,          1626751,                  0,                  0,          9.19,                  0,                  0
97/03,1225,福懋油,          2197743,          1047179,            958042,                  0,            165616,          4368580,          1510940,            647174,            100296,            100395,          2358805,          1627000,             94698,             94468,            193609,                  0,          2009775,                  0,                  0,         12.35,                  0,                  0
97/03,1227,佳格,          2943837,          1718866,          1083329,             18313,            370354,          6134699,          1069562,             76000,             33685,             18618,          1197865,          3209184,             21606,          1617135,            110091,            -21182,          4936834,                  0,                  0,         15.50,                  0,          2338960
97/03,1229,聯華實業,          2098337,         14022188,          2917037,             11742,            188573,         19237877,          2025997,          1904921,             93806,            230280,          4255004,          7869903,          1043656,          4380097,          1693205,             -3988,         14982873,                  0,                  0,         19.04,              5250,            248000
97/03,1231,聯華食品,          1518602,            267092,            703080,             20201,            210113,          2719088,            540012,            391156,                  0,             85613,          1016781,          1154190,             76975,            446508,             24634,                  0,          1702307,                  0,                  0,         14.75,                  0,                  0
97/03,1232,大統益,          2029130,            447363,          1218598,              1196,             13443,          3709730,          1092375,                  0,                  0,             12043,          1104418,          1599749,             23784,            997752,            -15973,                  0,          2605312,                  0,                  0,         16.29,                  0,                  0
97/03,1233,天仁,            610646,             40793,            905252,             20836,             91940,          1669467,            281486,                  0,                  0,            186446,            467932,            905919,             37049,            283924,            -13777,            -11580,          1201535,                  0,                  0,         13.43,                  0,          1153483
97/03,1234,黑松,          1358534,          6947742,          2292623,             32577,             64690,         10696166,            491683,                  0,            469498,            343582,          1304763,          5358281,            184601,          1810071,          2038450,                  0,          9391403,                  0,                  0,         17.53,                  0,                  0
97/03,1235,興泰,            468766,            162982,            132136,                  0,            172380,            936264,            197562,                  0,             60144,             22988,            280694,            514025,             27674,            134581,             -9126,            -11584,            655570,                  0,                  0,         15.11,                  0,          1711164
97/03,1236,宏亞食品,            611183,            224753,            866966,             11046,            107795,          1821743,            462986,                  0,                  0,            184803,            647789,            852312,             33396,            259881,             28365,                  0,          1173954,                  0,                  0,         13.77,                  0,                  0
97/03,1301,台塑,        108433562,        124145948,         75990301,          2409313,          1092578,        312071702,         50522202,         47299812,                  0,          6934211,        104756225,         57204716,         12814431,        105484040,         31812290,                  0,        207315477,                  0,                  0,         36.24,                  0,                  0
