年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/03,2816,旺旺保險,          4556408,          3325740,          3288108,            614732,            229903,          1434655,                  0,          1285459,                  0,                  0,            235544,          5625481,                  0,          6236320,            363010,          1307773,         -1604041,         13449546,          7146484,          6303062,         10.11
93/03,2823,中壽,         37400945,         17281503,         95644582,          3530275,                  0,          3734607,          7641128,          1061758,                  0,                  0,             28036,        146585004,          7641128,          7924604,            704037,          1421443,           -132970,        165233040,        155315926,          9917114,         12.51
93/03,2832,台產,          8524155,              4000,          3076477,            710539,                  0,             39511,                  0,          3226106,                  0,                  0,            765967,          4127329,                  0,          3040915,            564303,            769106,           -139044,         12354682,          8119402,          4235280,         13.93
93/03,2850,新產,          6739094,                  0,          3928149,            886791,             36433,            505861,                  0,          1372565,                  0,                  0,            168303,          7589910,                  0,          2281959,            289928,            393663,                  0,         12096328,          9130778,          2965550,         13.00
93/03,2851,中再保,         12677490,                  0,          6115893,            350017,                  0,            272579,                  0,          1249391,                  0,                  0,            162748,         13538009,                  0,          3600000,            189608,            676359,               -136,         19415979,         14950148,          4465831,         12.41
93/03,2852,第一保,          5550688,            271000,          2030674,            545977,                  0,            174618,                  0,            804818,                  0,                  0,            267668,          4628826,                  0,          2349776,             70686,            504175,            -52992,          8572957,          5701312,          2871645,         12.22
93/03,2855,統一證券,         27768380,?,          6586856,          1851679,             10827,          1467256,            222693,         18063421,?,?,          3000000,            221315,                  0,         11404990,             58990,          5197434,            -38459,         37907691,         21284736,         16622955,         14.58
93/03,2856,元富證券,         42566013,?,          2543964,          2074209,             43800,          2665364,                  0,         31352214,?,?,            799239,            257786,              5747,         12791578,            586084,          4125817,            127759,         50046224,         32414986,         17631238,         13.78
93/03,2880,華南金,          5641499,                  0,         78383929,             12288,                  0,            150200,                  0,            478620,                  0,                  0,          6009096,                345,                  0,         55796342,         12413801,          9503888,            -14176,         84187916,          6488061,         77699855,         13.93
93/03,2881,富邦金,         10007236,                  0,        166446887,              6285,                  0,             48898,                  0,         20742621,                  0,                  0,          7000820,             69365,                  0,         82541193,         58200899,         31442215,        -23487807,        176509306,         27812806,        148696500,         18.01
93/03,2882,國泰金,          5675304,                  0,        174692729,              4568,                  0,            434927,                  0,            791906,                  0,                  0,         25781046,                727,                  0,         83074891,         53697720,         29383340,        -11922102,        180807528,         26573679,        154233849,         18.57
93/03,2883,開發金,          1885021,                  0,        131195300,             10934,                  0,             19559,                  0,         17360173,                  0,                  0,          6000000,              3050,                  0,        118392470,         26217920,         -4501869,        -30360930,        133110814,         23363223,        109747591,          9.27
93/03,2884,玉山金控,          7630089,                  0,         35515789,                  0,                  0,              7741,                  0,          4623156,                  0,                  0,            850000,                  0,                  0,         27678892,          6086014,          4315956,           -400399,         43153619,          5473156,         37680463,         13.61
93/03,2885,元大金,            696678,                  0,         46920905,            255619,                  0,            169195,                  0,          6228249,                  0,                  0,          2907689,                  0,                  0,         30064445,          8396885,          3348962,         -2903833,         48042397,          9135938,         38906459,         12.94
93/03,2886,兆豐金,         23101423,                  0,        187262429,            136314,                  0,            160650,                  0,         38559553,                  0,                  0,         15020142,             10288,                  0,        113657296,         46411776,         24151969,        -27150208,        210660816,         53589983,        157070833,         13.82
93/03,,,,,,,,,,,,,,,,,,,,,,,
93/03,2887,台新金控,          8375980,                  0,         88649471,              3416,                  0,            100671,                  0,          2754227,                  0,                  0,         25654724,                  0,                  0,         46987688,         15484010,         10105779,         -3856890,         97129538,         28408951,         68720587,         14.63
93/03,2888,新光金,         11615662,                  0,         45636550,              3777,                  0,                228,                  0,            284765,                  0,                  0,         14793040,                  0,                  0,         29480163,          6441348,          6376997,           -120096,         57256217,         15077805,         42178412,         14.31
93/03,2889,國票金控,            282737,                  0,         25050457,              2915,                  0,              1621,                  0,            856444,                  0,                  0,                  0,              1979,                  0,         21198825,              9479,          3271003,                  0,         25337730,            858423,         24479307,         11.55
93/03,2890,永豐金控,          6331126,                  0,         51631735,             22623,                  0,             41073,                  0,          8858432,                  0,                  0,            122373,                  0,                  0,         39452343,          8351203,          4550926,         -3308720,         58026557,          8980805,         49045752,         12.43
93/03,2891,中信金,         10424595,                  0,        125556575,                  0,                  0,            381593,                  0,            894854,                  0,                  0,         35869787,                  0,                  0,         60686136,         28902025,         14017463,         -4007502,        136362763,         36764641,         99598122,         16.41
93/03,2892,第一金控,          5573234,                  0,         76012320,             21745,              1583,              1577,                  0,             31608,                  0,                  0,          5001701,                438,                  0,         55490750,         12831653,          8320401,            -66092,         81610459,          5033747,         76576712,         13.80
93/03,6005,群益證,         33901820,?,          3675124,          4269090,            439983,          2434082,            115058,         23657367,?,?,            521366,            344556,                  0,         13643105,            843343,          5662684,            162736,         44835157,         24523289,         20311868,         14.89
