年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
100/01,2880,華南金,         27907747,         96380491,         34597905,            843870,         65313978,         45890063,                  0,      1270263134,        260519419,             92597,            465255,         28367599,            582483,         12650970,         10970146,      1854845657,         56500682,      1530499148,          5570181,         29107450,         23248118,         38334882,                  0,                  0,         35750000,          5460000,                  0,          1786753,          9624156,  8229379.00,          8631669,      1752742418,         66172778,         12408843,         20632229,          2887994,              1395,        102103239,                  0,                  0,         15.43
100/01,2881,富邦金,        159319821,         70898952,         69602422,         20130397,        813166602,        116621338,                  0,      1106779823,        490332853,          2259187,         61106671,         25461376,         11543246,        513414306,         31123330,      3491760324,         72287534,      1267140234,          5698525,         47369166,         32067664,         79895305,                  0,                  0,         92577185,          8145000,                  0,                  0,      1440133629,206414964.00,         16148956,      3267878162,         85640394,         54496745,         62741738,         16069520,          4933765,        223882162,                  0,         14533513,         25.61
100/01,2882,國泰金,        728263962,         72923691,         97103389,         35983142,        665490587,        125851675,                  0,      1409356820,        602226713,          2574052,        130179583,         38005399,          8270758,        800962678,         62660728,      4779853177,         49762078,      1331919292,          1560000,         19576357,         13353804,         77879837,          1470900,                  0,         63975538,                  0,                  0,                  0,      2674336110,305471966.00,         23746505,      4563052387,        101544213,         78508148,         27597955,          5168187,          3982287,        216800790,                  0,                  0,         20.96
100/01,2883,開發金,          6608396,         61406369,         51407534,          6607560,         61188637,         17299943,                  0,         75244944,                  0,          6496707,                  0,          3990658,                  0,         40130164,         10810754,        341191666,          5743541,         37364563,          7825245,         16589450,         36307022,         11274575,                  0,                  0,         45870358,         10773801,                  0,                  0,                  0, 38268978.00,          1436945,        211454478,        111407583,          8562513,         10491092,           -952057,            228057,        129737188,                  0,        289989000,         11.94
100/01,2884,玉山金控,         12095737,         46999847,         60067054,          1540622,         40820627,         39461307,                  0,        606784992,        271920912,                  0,                  0,         15172787,          3971314,          3703541,          3421379,      1105960119,         41582605,        918574280,          2998471,         16773844,         13554366,         10612294,                  0,                  0,         41500000,                  0,                  0,                  0,             14807,  1758257.00,          1877208,      1049246132,         38033000,         10578871,          8081200,             20916,                  0,         56713987,                  0,                  0,         14.91
100/01,2885,元大金,         25327804,        111617774,         40626512,          4270615,         13980361,         96003704,                  0,        300586496,          2689472,            388510,                  0,          8477497,         10320961,         21007326,         12037156,        654005896,         11963541,        370590017,         11236578,         10676629,         15705148,         44972620,                  0,                  0,         29575991,         14499240,                  0,          1149320,            439909, 11081979.00,         12024019,        533914991,         81026107,         25570330,         13199260,           -362070,            657278,        120090905,                  0,         28042000,         14.79
100/01,2886,兆豐金,        102619589,        113146361,        156873367,          2416770,        178186435,        134373701,                  0,      1382619676,        201243268,          2599121,            468019,         21032051,            243193,         24117189,         16246375,      2336185115,        194699336,      1523393299,         11006644,         23502395,        171210701,         66636818,         42347653,                  0,         51350000,          8980832,                  0,          1685406,         14166597, 12442189.00,          9771940,      2131193810,        110594262,         43426403,         41138678,          9462848,            369114,        204991305,                  0,                  0,         18.50
100/01,2887,台新金控,         31876080,         99496639,         69610041,          8571841,        237633820,        103360175,                  0,      1612042816,        203229832,            242860,                  0,         41659744,         22044837,         20715718,         23473242,      2473957645,        158862243,      1903162951,            299871,         15782067,         48705028,         49436809,                  0,                  0,         97402457,            437000,                  0,                  0,            987368, 18473101.00,          9192023,      2302740918,         71029859,         19131957,         11950133,             58011,         69046767,        171216727,          1405000,                  0,         14.39
100/01,2888,新光金,         83137856,         72004245,         61588141,         30167087,        344948027,         56427003,                  0,        535193570,        143591452,            168019,         91053502,         21715363,          4870360,        620640118,         30040774,      2095746481,          5547375,        396383097,          9846742,          4237625,         28591732,         35650665,                  0,                  0,         26950000,          9982308,          1654000,                  0,      1344996133,123904300.00,          8406670,      1996150647,         84363876,          8839562,          3544266,        -11596542,         14444672,         99595834,                  0,                  0,         10.09
100/01,2889,國票金控,          1466423,             60019,        131841470,          5576185,         47664099,         15234332,                  0,                  0,                  0,          1425479,                  0,          2088217,            528821,          4371389,          2406568,        212663002,         12833377,                  0,          6761972,            399565,        155661255,          2181792,                  0,                  0,                  0,                  0,                  0,             73416,          1289230,  1608460.00,             54290,        180863357,         23334493,            276362,          4153939,              5961,          4028890,         31799645,                  0,         30165000,         12.06
100/01,2890,永豐金控,         14550968,         72535490,        104309273,          7266164,         36568337,         62677226,                  0,        735061659,        153758861,             62580,                  0,         11599345,          2172659,         26154820,         12492763,      1239210145,         60225005,        933125416,         17281758,         12336025,         21791974,         17874811,                  0,                  0,         31109780,         18086176,            129060,                  0,                  0, 34603851.00,          4018909,      1150582765,         70098167,          2014549,         17048666,           -534002,                  0,         88627380,                  0,                  0,         12.64
100/01,2891,中信金,         29464037,         94940023,         64419513,                  0,        258463653,        109015410,                  0,      1030201879,        218690339,          2190594,                  0,         32995088,         12250431,         15042639,          8463062,      1876136668,         70208797,      1356434741,            199979,         30178055,         80001121,         49150177,         11621508,                  0,         60423617,                  0,                  0,                  0,                  0, 45027505.00,          5547742,      1708793242,        107295268,         34605390,         29116192,         -3770802,             97378,        167343426,                  0,         38396000,         15.64
100/01,2892,第一金控,         30388145,        119229009,         19130526,          3129014,         83319495,         71552808,                  0,      1318097384,        336453222,          1268238,            561127,         23918178,            212878,         15381248,         12613573,      2035254845,        130564466,      1581199265,          4698572,         38427371,         11433566,         67816124,             82810,                  0,         36700000,            300000,                  0,          1953300,         13366255, 31962216.00,          8664443,      1927168388,         64768251,          9943476,         23499406,          9152516,            722808,        108086457,                  0,                  0,         16.58
