年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
91/01,1101,台泥,          7809205,         34016729,         49828099,            805813,          5720152,          6723506,         37277727,          7141202,         26073866,         17022276,          4586641,           -645220,         98179998,         51142435,         47037563,         18.04
91/01,1102,亞泥,          8067589,         35062534,          3223800,                  0,          9492334,          7241893,         10210000,          4640448,         20383904,          7075997,          8189543,         -1895528,         55846257,         22092341,         33753916,         16.55
91/01,1103,嘉泥,          5652385,          7003981,          4934684,            721685,          2976531,          4310074,          5455540,          2329552,          6996391,          1916400,          1537637,         -1256328,         21289266,         12095166,          9194100,         13.14
91/01,1104,環球水泥,          1394253,          4545255,          5754078,            222167,            236574,          1770445,          1138682,          2203917,          3580004,          2233044,          1260385,            -34150,         12152327,          5113044,          7039283,         19.66
91/01,1108,幸福水泥,          2014750,          3267251,          2567157,                  0,            478373,          3245927,            774287,            264429,          4047380,             61701,            -69739,              3546,          8327531,          4284643,          4042888,          9.98
91/01,1109,信大水泥,          1811071,          1883214,          2220342,             61101,            200758,            650089,                  0,            252449,          4207140,             25126,          1041982,               -300,          6176486,            902538,          5273948,         12.53
91/01,1110,東泥,          1052628,          2267110,          5721157,             70112,            628385,            853594,            564263,          1104125,          5586360,            316346,          1565249,           -250545,          9739392,          2521982,          7217410,         12.91
91/01,1201,味全公司,          3506960,          1765186,          4875117,            863561,            980807,          4697476,          1301971,          2627931,          5060629,          1808625,         -3352873,           -152128,         11991631,          8627378,          3364253,          6.64
91/01,1203,味王公司,          1419707,            763319,          1535137,            261659,          2323510,          2155132,            282500,          1756814,          2092537,            301303,           -161919,           -123035,          6303332,          4194446,          2108886,         10.07
91/01,1210,大成長城,          3514680,          2634171,          1972163,              2732,            181385,          3020316,            402331,             48536,          4521389,            113472,          1153755,           -954668,          8305131,          3471183,          4833948,         10.69
91/01,1213,大飲,            289843,                  0,            199290,                  0,            219184,            122364,                  0,             14103,            389963,            126282,             55605,                  0,            708317,            136467,            571850,         14.66
91/01,1215,卜蜂企業,          2373741,            817791,            966856,                  0,             51768,          1166019,            313650,             90010,          2300268,              2969,            356965,            -19725,          4210156,          1569679,          2640477,         11.47
91/01,1216,統一,         10444542,         45183108,         14251042,            373631,          1742984,          6779744,         22003841,          1884119,         33476572,            908530,          8281718,         -1339217,         71995307,         30667704,         41327603,         12.34
91/01,1217,愛之味,          1440351,          2735783,          1734705,              5176,            884924,          1697491,          1539557,            278476,          3639628,            117723,           -291491,           -180445,          6800939,          3515524,          3285415,          9.03
91/01,1218,泰山企業,          2162965,          1598270,          2385806,             90210,            212976,          1853450,            954901,            719904,          3232980,            817563,             13492,         -1142063,          6450227,          3528255,          2921972,          9.04
91/01,,,,,,,,,,,,,,,,,,
91/01,1219,福壽實業,          1640770,            706511,          1517281,             74249,             93089,            708895,            200000,            375636,          2463300,            233417,             82738,            -32086,          4031900,          1284531,          2747369,         11.15
91/01,1220,台榮,            717241,            392239,          1457590,             36116,            108284,            344359,            200000,            102201,          1770779,             42751,            236909,             14471,          2711470,            646560,          2064910,         11.66
91/01,1225,福懋油,          1094889,            914851,          1113262,             12583,            124806,            998483,                  0,            262919,          1995418,            288049,           -301159,             16681,          3260391,          1261402,          1998989,         10.01
91/01,1227,佳格,          1907268,          2448208,          1646891,             16519,            222721,            777109,          1443000,             14508,          3209184,              7608,            669099,            121099,          6241607,          2234617,          4006990,         12.48
