年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/03,2816,旺旺保險,          5005443,          3247415,          3372859,            701580,            212552,          1237533,                  0,          1540998,                  0,                  0,            256304,          5569580,                  0,          6068344,            104371,          1288544,         -1050759,         13777382,          7366882,          6410500,         10.56
94/03,2823,中壽,         45074488,         18232181,        121460476,          2784513,                  0,          3430388,          8414499,          2674684,                  0,                  0,             31629,        178649710,          8414499,         10924604,            816340,           -984410,         -1130511,        199396545,        189770522,          9626023,          8.81
94/03,2832,台產,          5962350,              4000,          4373119,            432602,                  0,             35364,                  0,          1099524,                  0,                  0,            432398,          4398827,                  0,          3168570,            875276,            832840,                  0,         10807435,          5930749,          4876686,         15.39
94/03,2850,新產,          6513595,                  0,          5326623,            944679,             39567,            604296,                  0,          1649182,                  0,                  0,            112490,          8431002,                  0,          2510155,            300815,            425116,                  0,         13428760,         10192674,          3236086,         12.89
94/03,2851,中再保,         12619219,                  0,          8763763,            342843,                  0,            986840,                  0,          1718266,                  0,                  0,             92467,         14556161,                  0,          5000000,            488009,            857901,               -139,         22712665,         16366894,          6345771,         12.69
94/03,2852,第一保,          5648237,            144000,          1732277,            655632,                  0,            611994,                  0,            678712,                  0,                  0,            219902,          5091200,                  0,          2580754,            142547,            132017,            -52992,          8792140,          5989814,          2802326,         11.03
94/03,2855,統一證券,         42249412,?,          5468909,          2491345,              9015,          1855656,            197344,         33569571,?,?,          2000000,            225856,                  0,         11404990,             58990,          5080601,            -68327,         52271681,         35795427,         16476254,         14.51
94/03,2856,元富證券,         46165672,?,          2680886,          2198625,            132750,          3094497,            163697,         35875630,?,?,            900000,            324131,                  0,         13338714,            458168,          3947065,           -266755,         54576953,         37099761,         17477192,         13.40
94/03,2880,華南金,          6899695,                  0,         86234436,             10334,                  0,             52485,                  0,            291698,                  0,                  0,          6014225,                605,                  0,         59702086,         15812663,         11429590,            -53917,         93196950,          6306528,         86890422,         14.55
94/03,2881,富邦金,          3101476,                  0,        169286093,              6373,                  0,             14763,                  0,          4829066,                  0,                  0,         11000825,             50461,                  0,         80652974,         54691989,         33070999,        -11887609,        172408705,         15880352,        156528353,         20.41
94/03,2882,國泰金,         17059033,                  0,        193693727,              3380,                  0,          2848610,                  0,          6838707,                  0,                  0,         13439409,              1026,                  0,         85242234,         68094522,         39881763,            107089,        213604750,         20279142,        193325608,         22.68
94/03,2883,開發金,          3571696,                  0,        140079434,             26331,                  0,             20777,                  0,          1588896,                  0,                  0,         14000000,             13392,                  0,        117532570,         16825425,          7625223,        -13887268,        143698238,         15602288,        128095950,         11.69
94/03,2884,玉山金控,            740251,                  0,         43850712,                930,                  0,              1605,                  0,          1313137,                  0,                  0,            350002,                  0,                  0,         30270000,          7607644,          5119418,            -66703,         44593498,          1663139,         42930359,         14.18
94/03,2885,元大金,          1274379,                  0,         47841032,            264013,                  0,             37547,                  0,          4730516,                  0,                  0,          3886726,                  0,                  0,         31617616,          8589698,          1045364,           -452949,         49416971,          8617242,         40799729,         13.08
94/03,2886,兆豐金,         28046413,                  0,        193438341,            142514,                  0,             58788,                  0,         23684374,                  0,                  0,         12927730,             12736,                  0,        113657296,         46852278,         29970831,         -5419189,        221686056,         36624840,        185061216,         16.73
94/03,,,,,,,,,,,,,,,,,,,,,,,
94/03,2887,台新金控,         47765512,                  0,         88384731,             17367,                  0,            211193,                  0,         16208711,                  0,                  0,         27420880,                  0,                  0,         60149993,         24316590,         11469151,         -3186522,        136378803,         43629591,         92749212,         16.14
94/03,2888,新光金,          3523154,                  0,         68312378,              5243,                  0,                228,                  0,         10109533,                  0,                  0,          5000000,                  0,                  0,         34125240,         10789227,         11817003,                  0,         71841003,         15109533,         56731470,         16.62
94/03,2889,國票金控,          1423474,                  0,         25833924,              2381,                  0,              1414,                  0,          2847961,                  0,                  0,                  0,              2845,                  0,         21198825,              4007,          3207555,                  0,         27261193,          2850806,         24410387,         11.51
94/03,2890,永豐金控,          3890904,                  0,         55659235,             48339,                  0,             40743,                  0,            458579,                  0,                  0,          3016296,                  0,                  0,         41843506,         10176793,          4702757,           -558710,         59639221,          3474875,         56164346,         13.53
94/03,2891,中信金,         20884641,                  0,        124476472,                  0,                  0,            309315,                  0,            414785,                  0,                  0,         31666283,                  0,                  0,         73407489,         24421027,         18483988,         -2723144,        145670428,         32081068,        113589360,         15.49
94/03,2892,第一金控,         12499600,                  0,         83078380,             19725,                910,              3411,                  0,             60245,                  0,                  0,          5001949,              7274,                  0,         58265287,         15726576,         16523721,             16974,         95602026,          5069468,         90532558,         15.54
94/03,6005,群益證,         42152330,?,          3612703,          4226125,            501653,          2926006,            553523,         33470480,?,?,            521396,            352677,                  0,         13643105,            844762,          5012474,            127446,         53972340,         34344553,         19627787,         14.39
