年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
92/04,1101,台泥,          6870965,         35616203,         46635752,            644650,          4806578,          9801466,         28584556,          7300394,         27103964,         14722357,          7691821,           -630410,         94574148,         45686416,         48887732,         18.04
92/04,1102,亞泥,          9041289,         39460067,          2606953,                  0,          8637017,          5517115,          9990000,          4157965,         20383904,          8264261,         10861829,            570252,         59745326,         19665080,         40080246,         19.66
92/04,1103,嘉泥,          2383434,         12126062,            434160,            190143,            674311,          2161722,          3139591,            210082,          6996391,          2131644,          2765817,         -1597137,         15808110,          5511395,         10296715,         14.71
92/04,1104,環球水泥,          1896710,          4627091,          5482794,            155437,            220958,          1052942,          1500000,          2224665,          3711834,          1952975,          1959793,            -19219,         12382990,          4777607,          7605383,         20.48
92/04,1108,幸福水泥,          2424579,          3035093,          2179481,             96644,            498926,          3135104,            500000,            417904,          4047380,                308,            126902,              7125,          8234723,          4053008,          4181715,         10.33
92/04,1109,信大水泥,          1736444,          1928537,          2225573,             81413,            200505,            304447,                  0,            304376,          4207140,             12029,          1381367,            -36887,          6172472,            608823,          5563649,         13.22
92/04,1110,東泥,          1237967,          2359445,          5575685,             69237,            612277,            729007,                  0,          1379285,          5586360,            313625,          1915932,            -69598,          9854611,          2108292,          7746319,         13.86
92/04,1201,味全公司,          3363494,          1918738,          4746782,            675305,            906067,          2668037,          2756851,          2492395,          5060629,          1792047,         -2962575,           -196998,         11610386,          7917283,          3693103,          7.29
92/04,1203,味王公司,          1450193,            879641,          2091352,            209296,          1603700,          1897452,            320000,          1718128,          2092537,             73249,            221266,            -88450,          6234182,          3935580,          2298602,         10.98
92/04,1210,大成長城,          4232255,          2714934,          2258488,             57535,            260688,          3554645,          1018075,            197261,          3903182,            244614,            949286,           -343163,          9523900,          4769981,          4753919,         12.17
92/04,1213,大飲,            314807,              3239,            187532,              2387,            175345,             87242,                  0,             24388,            428959,             64834,             77913,                -26,            683310,            111630,            571680,         13.32
92/04,1215,卜蜂企業,          2704255,            534827,            887083,                  0,             86893,          1169946,            572200,            110494,          2320268,                967,             91608,            -52425,          4213058,          1852640,          2360418,         10.17
92/04,1216,統一,          8805269,         48250140,         14456269,            334967,          1630737,          4169908,         24745926,          2485984,         33950978,          1028099,          8139079,         -1042592,         73477382,         31401818,         42075564,         12.39
92/04,1217,愛之味,          1836244,          2941352,          1661423,             30902,            938329,          2001630,          1393727,            354433,          3639628,             21098,            164843,           -167109,          7408250,          3749790,          3658460,         10.05
92/04,1218,泰山企業,          2360521,          2327657,          2350828,             79307,            104579,          1921151,          1190000,            775266,          3232980,            704353,             64676,           -665534,          7222892,          3886417,          3336475,         10.32
92/04,,,,,,,,,,,,,,,,,,
92/04,1219,福壽實業,          2651444,            630919,          1837323,             88085,             71494,            815700,            650000,            635296,          2722294,            349665,            129536,            -23226,          5279265,          2100996,          3178269,         11.67
92/04,1220,台榮,            932714,            320357,          1149550,             34182,             75550,            551069,             60000,            114041,          1770779,             24978,            -20549,             12035,          2512353,            725110,          1787243,         10.09
92/04,1225,福懋油,          1465770,            840949,          1050128,             17912,             97649,          1228157,                  0,            253224,          1867870,            200831,            -67499,            -10175,          3472408,          1481381,          1991027,         10.65
92/04,1227,佳格,          1909480,          2308825,          1400999,                  0,            202420,            683226,            940000,             18964,          3209184,              7046,            867876,             95428,          5821724,          1642190,          4179534,         13.02
92/04,1229,聯華實業,          1771334,          8628926,          1372991,             27394,            835392,          1118960,          1513551,            220474,          6612928,            704774,          2374376,             90974,         12636037,          2852985,          9783052,         14.79
92/04,1231,聯華食品,          1199375,            705333,            765004,             11936,            435281,            606043,            779564,             28908,          1154190,             76975,            458252,             12997,          3116929,          1414515,          1702414,         14.74
92/04,1232,大統益,          1721235,            672061,          1673128,                  0,             13627,          1357656,            510000,              5214,          1599749,             23784,            583648,                  0,          4080051,          1872870,          2207181,         13.79
92/04,1233,天仁,            541300,             71279,            871223,             39248,             89593,            430607,             22968,            130678,            853916,              4738,            207510,            -37774,          1612643,            584253,          1028390,         12.04
92/04,1234,黑松,          1230302,          7481239,          2896974,            225060,            117336,            596049,                  0,          3455435,          5358281,            604557,          1943737,             -7148,         11950911,          4051484,          7899427,         14.74
92/04,1235,興泰,            611336,             46798,            164328,             17175,             52751,            172215,                  0,            108911,            411639,             83906,            127301,            -11584,            892388,            281126,            611262,         14.84
92/04,1236,宏亞食品,            894771,             29336,            749013,             29033,             79352,            671390,             75000,            104072,            662785,             33396,            234292,                570,          1781505,            850462,            931043,         14.04
