年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
91/03,1101,台泥,          8892724,         35267006,         48654829,            759766,          5347390,          8554271,         36222322,          7071327,         26562543,         15136761,          5965876,           -591385,         98921715,         51847920,         47073795,         17.72
91/03,1102,亞泥,          8437552,         33970064,          3084499,                  0,          9321819,          6588798,          9840000,          4569149,         20383904,          7052253,          8085094,         -1705264,         54813934,         20997947,         33815987,         16.58
91/03,1103,嘉泥,          3930753,          7316474,          4573824,            721685,          3077564,          2239448,          5317667,          2339678,          6996391,          1663608,          2048316,           -984808,         19620300,          9896793,          9723507,         13.89
91/03,1104,環球水泥,          1342846,          4739754,          5666335,            222167,            313991,          1437182,          1500000,          2180944,          3580004,          2180951,          1484010,            -77998,         12285093,          5118126,          7166967,         20.01
91/03,1108,幸福水泥,          2008739,          3249931,          2441625,                  0,            471626,          3106998,            675211,            279197,          4047380,                308,             59281,              3546,          8171921,          4061406,          4110515,         10.15
91/03,1109,信大水泥,          1962539,          1867441,          2221975,             63743,            191789,            716079,                  0,            261528,          4207140,             15140,          1107900,               -300,          6307487,            977607,          5329880,         12.66
91/03,1110,東泥,          1064912,          2297509,          5691868,             70112,            596923,            683203,            515099,          1104787,          5586360,            315076,          1600185,            -83386,          9721324,          2303089,          7418235,         13.27
91/03,1201,味全公司,          3745391,          1779215,          4910988,            862874,            836264,          5040541,          1052761,          2505653,          5060629,          1680657,         -3044377,           -161132,         12134732,          8598955,          3535777,          6.98
91/03,1203,味王公司,          1435344,            720181,          2115353,            261659,          1697211,          1894559,            522834,          1752602,          2092537,             59265,             27437,           -119486,          6229748,          4169995,          2059753,          9.84
91/03,1210,大成長城,          3426851,          2457103,          2352683,              2732,            248837,          2864916,            902495,             90737,          4003182,             99095,            918208,           -390427,          8488206,          3858148,          4630058,         11.56
91/03,1213,大飲,            312422,              6983,            196500,                  0,            216645,            139229,                  0,             16062,            428959,             64834,             83348,                118,            732550,            155291,            577259,         13.45
91/03,1215,卜蜂企業,          2231268,            947382,            918615,                  0,             26565,            870515,            601450,             94832,          2300268,              2978,            272068,            -18281,          4123830,          1566797,          2557033,         11.11
91/03,1216,統一,          8004657,         47454801,         13843238,            417285,          1613400,          5610101,         23455527,          1989539,         34422458,            849016,          5569088,           -562348,         71333381,         31055167,         40278214,         11.70
91/03,1217,愛之味,          1702758,          2620275,          1692175,              5177,          1000235,          1853599,          1566917,            291527,          3639628,              3038,           -136231,           -197858,          7020620,          3712043,          3308577,          9.09
91/03,1218,泰山企業,          2133781,          1751791,          2424551,             90210,            219353,          1781977,          1073559,            739882,          3232980,            817212,              6575,         -1032499,          6619686,          3595418,          3024268,          9.35
91/03,,,,,,,,,,,,,,,,,,
91/03,1219,福壽實業,          2025726,            699732,          1481044,             74249,             85792,            807781,            450000,            386655,          2450260,            229331,             66755,            -24239,          4366543,          1644436,          2722107,         11.10
91/03,1220,台榮,            972837,            389337,          1357440,             36116,            101291,            553376,            160000,            106046,          1770779,             42751,            211032,             13037,          2857021,            819422,          2037599,         11.50
91/03,1225,福懋油,          1212916,            866513,          1096895,             12583,            124669,          1049271,                  0,            294615,          1867870,            300130,           -227619,             29309,          3313576,          1343886,          1969690,         10.54
