年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
99/04,2880,華南金,         22929111,        105415812,         29418560,          1983813,         66878184,         47283485,                  0,      1245912652,        304567500,             88598,            621556,         28499000,            623310,         12822345,         13380180,      1880424106,         43638222,      1568039349,          5904667,         37767034,         23686422,         40611765,                  0,                  0,         36000000,          5761000,                  0,          1845365,          8980551,    691523.00,          7162642,      1780088540,         66172778,         12408843,         18330669,          3421942,              1334,        100335566,                  0,                  0,         15.16
99/04,2881,富邦金,        162952443,        105494062,         67919021,         12738731,        820183865,        144085965,                  0,      1047249519,        488285908,          2323033,         60222009,         23894960,         11687252,        482410203,         21300073,      3450747044,         78587683,      1321736911,          4599072,         35954660,         27617545,         84814581,                  0,                  0,         92507828,          5235000,                  0,                  0,      1393798851,166807083.00,         16814388,      3228473602,         85583663,         54416660,         55305670,         22083535,          4883914,        222273442,                  0,         14533513,         25.44
99/04,2882,國泰金,        643534846,         99059544,        170120430,         48984493,        661992457,        128356622,                  0,      1383494210,        631827811,          2500997,        126428907,         37940551,          8390821,        692855850,         53449920,      4688937459,         45351211,      1337174083,          1450000,         23795837,         22139556,         81645082,          1456500,                  0,         58654684,                  0,                  0,                  0,      2613983437,269442115.00,         11370278,      4466462783,        101544213,         78508148,         25361576,         13130013,          3930726,        222474676,                  0,                  0,         21.52
99/04,2883,開發金,          6136333,         58010358,         53112998,          6864035,         61940279,         20024101,                  0,         70543210,                  0,          6156685,                  0,          4156041,                  0,         38433157,         10916029,        336293226,          6174632,         40560917,          6290664,         19756441,         34408619,         12114971,                  0,                  0,         45852637,         10592927,                  0,                  0,                  0, 29232762.00,          1534581,        206519151,        113236483,          9021704,          9436062,         -2145780,            225606,        129774075,                  0,        472879000,         11.94
99/04,2884,玉山金控,         11184724,         46729253,         55517279,          1439552,         48242365,         41833788,                  0,        599161337,        254655585,                  0,                  0,         14456569,          4016475,          4331568,          2959873,      1084528368,         38869814,        897263764,          2503224,         18084329,         17394242,         11384674,                  0,                  0,         41500000,            300000,                  0,             21524,            194718,    296158.00,          1474062,      1029286509,         38033000,         10578871,          6503368,            126620,                  0,         55241859,                  0,                  0,         14.52
99/04,2885,元大金,         16594978,        119213436,         43726485,          3772636,         16521428,         94478645,                  0,        284751517,          2424699,          6790628,                  0,          8582502,         10375688,         17492579,         13520687,        638674732,         16807124,        366336239,         13142109,          9420809,         15420329,         44181396,                  0,                  0,         29556800,          9715570,                  0,          1124927,          1007249,  3153272.00,         11948884,        521814708,         81021057,         25565205,          9744574,            -12676,            541864,        116860024,                  0,         29593000,         14.41
99/04,2886,兆豐金,        271737992,        126448073,        162320183,          1783691,        185898407,        147486410,                  0,      1336834541,        217839872,          2574762,            468997,         21139449,            236768,         23460086,         11478692,      2509707923,        322704165,      1558573139,          8862396,         30019921,        181816680,         71412873,         38568640,                  0,         53050000,         11168000,                  0,          1805559,         14177110,  7357699.00,          8951015,      2308467197,        110594262,         43426403,         35967476,         10882979,            369606,        201240726,                  0,                  0,         18.16
99/04,2887,台新金控,         47675226,        126140623,         57650706,          5328210,        221514265,        126326832,                  0,      1577700288,        196737057,            240925,                  0,         41962513,         22091674,         21125873,         24638234,      2469132426,        152360876,      1932050531,            114915,         21586408,         44194464,         50038751,                  0,                  0,         91302139,            350000,                  0,                  0,          1309483,    474753.00,          8908066,      2302690386,         71009688,         19102143,          8981537,            110911,         67237761,        166442040,            156000,                  0,         13.97
99/04,2888,新光金,        152254147,         88696925,         72791643,         49340634,        402257781,         57605995,                  0,        515326485,          2188602,            163015,         90899712,         22095795,          2335046,        575289026,         32660518,      2064160840,          2460848,        384682716,         10127297,          2422666,         36926132,         20222014,                  0,                  0,         23950000,         10261044,          1654000,                  0,      1348372340,111242769.00,          9928950,      1962250776,         84363876,          8839562,          2182344,         -8117304,         14641586,        101910064,                  0,                  0,         10.34
99/04,2889,國票金控,          1317230,          1120063,        124710658,          1252707,         55588178,         16501429,                  0,                  0,                  0,          1496885,                  0,          2089595,            162378,          4626504,          2458990,        211720193,         10966373,                  0,          7912255,            642739,        155099097,          3215456,                  0,                  0,                  0,                  0,                  0,             87359,          1658551,  1998908.00,             44550,        181657401,         23334493,             87250,          2513550,            230432,          3897067,         30062792,                  0,         60330000,         11.51
