年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
101/01,1101,台泥,         10097589,         61756229,         31872084,                  0,          4017049,        107742951,          3595448,                  0,          5029398,            290596,          8915442,         36921759,         16042392,         21922855,         23940503,                  0,         98827509,                  0,                  0,         26.77,                  0,                  0
101/01,1102,亞泥,         11292152,         97399748,         12971284,                  0,          3100514,        124763698,          4968541,         26708495,          3427438,          1635010,         36739484,         31368137,          6637785,         29034608,         20983684,                  0,         88024214,                  0,                  0,         28.06,                  0,                  0
101/01,1103,嘉泥,          2942768,         19335002,          2405475,                  0,             84974,         24768219,          2669838,          5275579,                  0,            554962,          8500379,          7542024,            771014,          6706855,          1247947,                  0,         16267840,                  0,                  0,         25.99,                  0,        128301152
101/01,1104,環球水泥,          1505910,          7874926,          3578124,              9854,          2103001,         15071815,            672276,                  0,          1082113,            229077,          1983466,          6038919,            153520,          3190924,          3704986,                  0,         13088349,                  0,                  0,         21.67,                  0,                  0
101/01,1108,幸福水泥,          2018357,          2647176,          2623347,                  0,            520232,          7809112,          1787728,          1336000,                  0,            454767,          3578495,          4047380,             27426,              8509,            147302,                  0,          4230617,                  0,                  0,         10.45,                  0,                  0
101/01,1109,信大水泥,          1790870,          2743396,          1851783,                  0,            169446,          6555495,            278411,                  0,                  0,            359777,            638188,          4210008,             42598,          1664769,                -68,                  0,          5917307,                  0,                  0,         14.06,                  0,                  0
101/01,1110,東泥,            933608,          2473799,          4827386,                  0,            928781,          9163574,            378827,                  0,            242625,            207233,            828685,          5720008,            185047,          1627204,            802630,                  0,          8334889,                  0,                  0,         14.63,                  0,          2112865
101/01,1201,味全公司,          3490148,          5417569,          6159018,                  0,          1161079,         16227814,          2155171,          3070000,          1007250,          2076892,          8309313,          5060629,             37921,          2766130,             53821,                  0,          7918501,                  0,                  0,         15.65,                  0,                  0
101/01,1203,味王公司,          1042230,          3374730,            765580,                  0,             34512,          5217052,            623760,                  0,            139094,            469789,          1232643,          2400000,             45012,            462782,          1076615,                  0,          3984409,                  0,                  0,         16.76,                  0,          2293865
101/01,1210,大成長城,          5008718,          8088174,          2959875,                  0,            907530,         16964297,          4225481,          1500000,             20754,            158346,          5904581,          5247491,          1980193,          3311783,            520249,                  0,         11059716,                  0,                  0,         22.76,                  0,         38767909
101/01,1213,大飲,            339813,             35584,            316932,                  0,            101149,            793478,            124523,                  0,             30839,              6391,            161753,            514751,             21938,             58066,             36970,                  0,            631725,                  0,                  0,         12.27,                  0,                  0
101/01,1215,卜蜂企業,          3668531,          2706648,          1812729,                  0,            140109,          8328017,          2911567,            302441,                  0,            378716,          3592724,          2320268,                967,            469699,          1944359,                  0,          4735293,                  0,                  0,         20.41,                  0,                  0
101/01,1216,統一,         10411539,         86807040,         11875775,             22189,          5123359,        114239902,          8976805,         25159603,          1076566,          2440223,         37653197,         45443686,          6500842,         23134682,          1507495,                  0,         76586705,                  0,                  0,         16.85,                  0,                  0
101/01,1217,愛之味,          1771630,          5006101,          1133606,             10954,          1466500,          9388791,          1073567,          2669205,             79974,            301117,          4123863,          4976893,            249445,             43862,             -5272,                  0,          5264928,                  0,                  0,         10.81,                  0,         10484000
101/01,1218,泰山企業,          2572895,          2783181,          1997982,              2864,            103326,          7460248,          1321876,          1960420,            222537,            203493,          3708326,          3430447,             50467,            186240,             84768,                  0,          3751922,                  0,                  0,         11.38,                  0,         13435457
101/01,,,,,,,,,,,,,,,,,,,,,,,,
101/01,1219,福壽實業,          3864790,            530375,          1715121,             10651,             62295,          6183232,          1171753,            400000,            431001,            218799,          2221553,          2924260,             59244,            686986,            291189,                  0,          3961679,                  0,                  0,         13.55,                  0,                  0
