年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/01,1313,聯成,          2095961,          9099509,          1915405,                  0,            449460,            489540,          2319616,            810157,          7231310,            606163,          1609618,            493931,         13560335,          3619313,          9941022,         13.89
93/01,1314,中石化,          5695921,          7747859,         29493172,             28918,          5128577,          4428944,         21183567,          7335577,         16899995,            126634,           -762011,         -1118259,         48094447,         32948088,         15146359,          8.96
93/01,1315,達新工業,          1943557,            888054,            995186,             66384,            509181,            495765,            425110,            307877,          2415227,             52994,            756792,            -51403,          4402362,          1228752,          3173610,         13.14
93/01,1316,上曜,            238184,            492927,            523848,                  0,             45928,            413510,              7175,             69320,          1403322,            215583,           -821451,             13428,          1300887,            490005,            810882,          5.78
93/01,1319,東陽,          2210335,          3795173,          3399706,            141793,            361625,          1763528,          1086876,            507346,          3923587,          1027682,          1632774,            -33161,          9908632,          3357750,          6550882,         16.70
93/01,1321,大洋,          1194105,          1267044,          1298291,            122004,            452021,            669409,            100000,            402580,          2080845,            121026,            994436,            -34831,          4333465,          1171989,          3161476,         15.19
93/01,1323,永裕,            494607,            372449,            557702,                  0,             20552,            197994,            268523,             34095,            714751,             56813,            166766,              6368,          1445310,            500612,            944698,         13.22
93/01,1324,地球工業,            775900,            142539,            277820,             15856,             33879,            287111,                  0,             27854,            694608,                  0,            236528,               -107,          1245994,            314965,            931029,         13.40
93/01,1325,恒大,            498778,            181053,            888026,              6733,            118507,             52881,            400000,             89594,            891110,             14884,            240935,              3693,          1693097,            542475,          1150622,         12.91
93/01,1326,台化,         41820143,         72998692,         70935107,            705361,          3482213,         16418719,         52473936,          5268436,         45149964,          8616097,         62079337,            -64973,        189941516,         74161091,        115780425,         25.64
93/01,,,,,,,,,,,,,,,,,,
93/01,1402,遠東新,         16103778,         72182919,         17950704,            977442,          1245980,         14573825,         26066085,          3877878,         35906776,         14119860,         14825449,           -909050,        108460823,         44517788,         63943035,         17.81
93/01,1409,新纖,          6949843,          9611061,          9180786,                  0,            421251,          5001834,          6969331,          1246973,         13253409,            358844,           -151566,           -515884,         26162941,         13218138,         12944803,          9.77
93/01,1410,南染,            280486,            202200,            519445,                  0,            115995,            100518,                  0,            111769,            900000,             53199,            -47360,                  0,          1118126,            212287,            905839,         10.06
93/01,1413,宏洲纖維,          1189079,             49171,          2321788,             24639,            162904,          1140627,            360571,            147600,          2836457,                  0,           -737674,                  0,          3747581,          1648798,          2098783,          7.40
93/01,1414,東和,          1139543,            444639,          4439208,             90286,             26165,          2682325,            144136,          1458681,          2200000,                  0,           -223613,           -121688,          6139841,          4285142,          1854699,          8.43
93/01,1416,廣豐,          1583271,          4626749,          1567349,             56336,            211198,          2956489,                  0,            137683,          5497834,            895181,         -1555007,            112723,          8044903,          3094172,          4950731,          9.00
93/01,1417,嘉裕,          2366921,          2944538,          1099992,             57087,            238097,          1774944,                  0,            283065,          4157493,            442962,            189807,           -141636,          6706635,          2058009,          4648626,         11.18
93/01,1418,東華,          1249604,            303763,          2709306,             87977,            158202,          1012677,            100000,            967797,          2638553,                  0,           -126465,            -83710,          4508852,          2080474,          2428378,          9.20
93/01,1419,新紡,          1485431,          2378987,          3041037,             21031,            112430,          2420134,                  0,            905746,          2904000,            247895,          1007981,           -446840,          7038916,          3325880,          3713036,         12.79
93/01,1423,利華羊毛,          1944399,            430727,          1050028,              2284,             37849,            694140,              7339,            455814,          1793000,            380235,             59815,             74944,          3465287,          1157293,          2307994,         12.87
93/01,1432,大魯閣,          1453366,          1087320,          1259228,                  0,             54591,          2421885,              7500,            611941,          1703676,            757027,         -1294291,           -353233,          3854505,          3041326,            813179,          4.77
93/01,1434,福懋興業,         11221623,         13429477,          8035960,                  0,          2053421,          7001801,          6014581,            338701,         15874971,             23561,          5412052,             74814,         34740481,         13355083,         21385398,         13.47
93/01,1435,中福國際,            307436,            781630,            631901,                  0,             29633,            356016,                  0,            265033,          1397801,              6296,             19112,                488,          1750600,            621049,          1129551,         10.12
93/01,1436,華友聯,          3032842,            460310,             10484,              6240,            606948,            247321,                  0,             13669,          3300000,            446723,            257929,           -148818,          4116824,            260990,          3855834,         11.68
93/01,1437,勤益投控,          1122269,          2084594,            990703,             77527,            163353,          1180164,            430957,             89591,          1572008,          1311348,           -130934,            -14688,          4438446,          1700712,          2737734,         17.42
93/01,,,,,,,,,,,,,,,,,,
93/01,1438,裕豐,            129092,            182895,            104196,                459,            810092,            589455,                  0,            375137,          1024115,            109051,           -859818,            -11206,          1226734,            964592,            262142,          2.56
93/01,1439,中和羊毛,            602886,            708733,            779332,             29248,             20224,            268225,                  0,            639092,            970000,            206858,             76265,            -20017,          2140423,            907317,          1233106,         12.71
93/01,1440,南紡,          6329717,          7961634,          9636298,            137626,          4871339,          2378429,            479227,          6947099,         14935240,          1839095,          3131634,           -774110,         28936614,          9804755,         19131859,         12.81
93/01,1441,大東紡織,          1003538,            727238,          1017610,             41247,             56333,          1416184,            254100,            483000,          1079004,            162712,           -586785,             37751,          2845966,          2153284,            692682,          6.42
93/01,1442,名軒,            676509,            183352,             91905,             53512,            180816,            355701,             92297,             35618,            995790,            101815,           -389287,             -5840,          1186094,            483616,            702478,          7.05
93/01,1443,立益紡織,          1208498,            812986,          1528066,                  0,          1072343,          1139478,            342152,            485550,          3010900,            208508,           -476318,            -88377,          4621893,          1967180,          2654713,          8.82
93/01,1444,力麗,          2327641,          2417858,          6097543,                  0,            556826,          2088427,          1396803,            133743,          7314000,          2093597,           -108983,         -1517719,         11399868,          3618973,          7780895,         10.64
93/01,1445,大宇紡織,            956251,            330048,          1424855,             14815,             34355,            364437,            297323,            169342,          1795510,             91982,            281159,           -239429,          2760324,            831102,          1929222,         10.74
93/01,1446,宏和,            897041,          1463478,          1512047,                  0,            261297,          1082949,            313515,             18058,          2216537,            297239,            107029,             98536,          4133863,          1414522,          2719341,         12.27
93/01,1447,力鵬,          3138072,          1988454,          5973275,                  0,            189617,          2787296,          1692604,            124196,          5706875,          2092828,            393487,         -1507868,         11289418,          4604096,          6685322,         11.71
93/01,1449,佳和實業,          3218245,          2128641,          3378582,            104840,          1163333,          1538931,          2601000,          1118074,          6620381,            775269,         -1351079,         -1308935,          9993641,          5258005,          4735636,          7.51
93/01,1451,年興紡織,          2764623,          8625564,          1014933,                  0,            248730,          1461549,            183000,            137765,          5983691,            389361,          4223982,            274502,         12653850,          1782314,         10871536,         18.17
