年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
95/02,1101,台泥,         21505661,         31792933,         41160524,            414418,          3365265,         98238801,          9176835,         20800136,          5047971,          2641321,         37666263,         32360980,          7320362,          8868914,         12031122,             -8840,         60572538,                  0,                  0,         19.05,                  0,          1117363
95/02,1102,亞泥,          9369128,         56753344,          1914120,                  0,          8381019,         76417611,          7172333,         12704316,          1443866,          1816663,         23137178,         25321211,          9709939,         14919090,          3330193,                  0,         53280433,                  0,                  0,         22.73,                  0,                  0
95/02,1103,嘉泥,          2734577,         15677283,            488193,            134212,            308108,         19342373,          1640982,          3408075,                  0,            344120,          5393177,          6745261,          2517162,          5637409,            -83859,           -866777,         13949196,                  0,                  0,         26.01,                  0,        138288502
95/02,1104,環球水泥,          2375359,          6744282,          3287510,            111026,          2092029,         14610206,            737620,          2050000,          1082113,            448741,          4318474,          5091496,            173005,          2002888,          3024343,                  0,         10291732,                  0,                  0,         22.44,                  0,                  0
95/02,1108,幸福水泥,          2361528,          2572844,          2109417,             49979,            475546,          7569314,          2638111,            107500,                  0,            403452,          3149063,          4047380,             15955,            342971,             13945,                  0,          4420251,                  0,                  0,         10.92,                  0,                  0
95/02,1109,信大水泥,          3097390,          1695675,          1943720,             33404,            196611,          6966800,            567406,                  0,                  0,            326132,            893538,          4290898,             20743,          1764492,             -2871,                  0,          6073262,                  0,                  0,         14.15,                  0,                  0
95/02,1110,東泥,          1139349,          2966910,          5343956,                  0,            474974,          9925189,            556478,            179667,            243226,            711563,          1690934,          5760008,            165444,          1800079,            556750,            -48026,          8234255,                  0,                  0,         14.40,                  0,          4301932
95/02,1201,味全公司,          2938744,          1508170,          4966777,            482360,            832715,         10728766,          2815776,          2123669,            748907,          1171955,          6860307,          5060629,             96546,         -1102741,           -185975,                  0,          3868459,                  0,                  0,          7.64,                  0,                  0
95/02,1203,味王公司,          1325979,          2760634,            770004,            144666,             44019,          5045302,            957393,            300000,            139094,            408997,          1805484,          2092537,             36154,             -8614,          1124692,             -4951,          3239818,                  0,                  0,         15.63,                  0,          2000000
95/02,1210,大成長城,          3374109,          3403517,          1982070,             41325,            488229,          9289250,          2591659,          1234824,             20754,            160503,          4007740,          4020278,            175474,          1176881,            305820,           -396943,          5281510,                  0,                  0,         14.90,                  0,         47585829
95/02,1213,大飲,            394435,                  0,            190320,                  0,            180453,            765208,            145382,                  0,                  0,             45885,            191267,            514751,             21938,             37574,               -322,                  0,            573941,                  0,                  0,         13.38,                  0,                  0
95/02,1215,卜蜂企業,          1603997,            618406,            794877,                  0,            108407,          3125687,            518461,                  0,                  0,            153895,            672356,          2320268,                967,            122000,             10096,                  0,          2453331,                  0,                  0,         10.57,                  0,                  0
95/02,1216,統一,          8841907,         53287984,         14060398,            250888,          2213819,         78654996,          8705178,         23833521,            816639,          1599984,         34955322,         33541258,            550883,          8833931,            773602,                  0,         43699674,                  0,                  0,         13.03,                  0,                  0
95/02,1217,愛之味,          2314342,          3511176,          1827571,                  0,          1315059,          8968148,          2284892,          2347719,             79974,            191500,          4904085,          3708261,             21364,            247360,             87078,                  0,          4064063,                  0,                  0,         10.96,                  0,                  0
95/02,1218,泰山企業,          2288586,          2600700,          2090301,             57583,             65121,          7102291,          1761178,          1519070,            280756,            286615,          3847619,          3202434,            116643,            -66576,             71940,            -69769,          3254672,                  0,                  0,         10.93,                  0,         16130870
95/02,,,,,,,,,,,,,,,,,,,,,,,,
95/02,1219,福壽實業,          2508546,            739165,          1625547,             67485,             82447,          5023190,            859798,            180000,            431001,            208650,          1679449,          2722294,            207799,            118975,            322041,            -27368,          3343741,                  0,                  0,         12.56,                  0,          5911000
95/02,1220,台榮,          1308987,            320386,            715141,             14964,             93421,          2452899,            616476,                  0,              5813,             97939,            720228,          1770779,                537,            -73681,             35036,                  0,          1732671,                  0,                  0,          9.78,                  0,                  0
95/02,1225,福懋油,          1550212,            946475,          1034565,             15217,            111962,          3658431,          1389581,            256334,            100296,            104425,          1850636,          1627000,            120301,            -11297,             71791,                  0,          1807795,                  0,                  0,         11.11,                  0,                  0
95/02,1227,佳格,          2084779,          2318680,          1235133,                  0,            345547,          5984139,            804616,            681000,              2941,             16512,          1505069,          3209184,             15173,          1187070,             88825,            -21182,          4479070,                  0,                  0,         14.06,                  0,          2338960
