年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
96/03,2855,統一證券,         49905795,          6424248,          2241997,                  0,          1784143,                  0,            378415,         38657844,          2000000,            402378,                  0,                  0,         11768695,             50110,          7893807,            -38236,         60734598,         41060222,         19674376,                  0,                  0,         16.72
96/03,2856,元富證券,         63990087,          2780031,          1956541,             78172,          1749736,                  0,            214070,         48494737,          2900000,            305039,                  0,                  0,         13988726,             16806,          4965694,             97635,         70768637,         51699776,         19068861,                  0,            671000,         13.64
96/03,6005,群益證,         65557674,          3915677,          4130260,            400864,          2266233,                  0,          1206989,         52807464,          1161982,            379419,                  0,                  0,         14741150,            845050,          7439076,            103556,         77477697,         54348865,         23128832,                  0,                  0,         15.69
