年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
96/03,1101,台泥,         16709288,         50573343,         38988967,             93996,          3344711,        109710305,          5753702,         16960436,          5030332,          1157773,         28902243,         32486372,          5768590,         13937770,         28615330,                  0,         80808062,                  0,                  0,         24.87,                  0,                  0
96/03,1102,亞泥,          6992370,         78026697,          2040623,                  0,          8202081,         95261771,          5031791,         15818494,          1443866,          1712385,         24006536,         27346909,          6904313,         19956447,         17047566,                  0,         71255235,                  0,                  0,         26.06,                  0,                  0
96/03,1103,嘉泥,          3302128,         18426840,            584136,            174882,            309042,         22797028,          2150667,          3581334,                  0,            494643,          6226644,          6736871,            550797,          6589913,          3584608,           -891805,         16570384,                  0,                  0,         30.49,                  0,        130151631
96/03,1104,環球水泥,          2145067,          8409289,          3212036,             88821,          2132391,         15987604,          1662513,          1800000,          1082113,            463114,          5007740,          5591592,            166415,          1777579,          3444278,                  0,         10979864,                  0,                  0,         19.64,                  0,                  0
96/03,1108,幸福水泥,          2031807,          2731067,          2460066,             13157,            549424,          7785521,          2515956,            577500,                  0,            399510,          3492966,          4047380,             15965,            251195,            -21985,                  0,          4292555,                  0,                  0,         10.61,                  0,                  0
96/03,1109,信大水泥,          3106105,          1691801,          1882810,                  0,            202552,          6883268,            383705,                  0,                  0,            320544,            704249,          4290898,             20743,          1865583,              1795,                  0,          6179019,                  0,                  0,         14.40,                  0,                  0
96/03,1110,東泥,          1387879,          3095942,          5261610,                  0,            473672,         10219103,            587345,             98000,            243226,            660829,          1589400,          5760008,            166817,          1720877,          1030028,            -48027,          8629703,                  0,                  0,         15.09,                  0,          4301932
96/03,1201,味全公司,          3112157,          1377835,          4978196,            385888,            809511,         10663587,          3028098,          1290106,            748907,          1203197,          6270308,          5060629,             97046,           -537093,           -227303,                  0,          4393279,                  0,                  0,          8.68,                  0,                  0
96/03,1203,味王公司,          1660470,          3061074,            754302,            117541,             35256,          5628643,          1437477,            310000,            139094,            423101,          2309672,          2092537,             36154,           -118575,          1313806,             -4951,          3318971,                  0,                  0,         16.01,                  0,          2000000
96/03,1210,大成長城,          4158605,          5205191,          2013960,             33059,            421681,         11832496,          3142876,          1410763,             20754,            135059,          4709452,          4218966,            577872,          1850846,            735565,           -260205,          7123044,                  0,                  0,         18.35,                  0,         33765934
96/03,1213,大飲,            460621,                  0,            179315,                  0,            202388,            842324,            209175,                  0,                  0,             51247,            260422,            514751,             21938,             46294,             -1081,                  0,            581902,                  0,                  0,         11.30,                  0,                  0
96/03,1215,卜蜂企業,          2307140,            657905,            904932,                  0,             90546,          3960523,          1131927,                  0,                  0,            181899,          1313826,          2320268,                967,            251157,             74305,                  0,          2646697,                  0,                  0,         11.41,                  0,                  0
