年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
99/02,2855,統一證券,         31722935,          3526713,          2396408,                  0,          1698263,                  0,                  0,         20162900,                  0,            205250,                  0,            331843,         12319334,            317109,          6304512,           -296629,         39344319,         20699993,         18644326,                  0,         30025000,         16.13
99/02,2856,元富證券,         60869727,          3126167,          2132584,            302292,          1726315,                  0,                  0,         49771258,                  0,            235155,                  0,              9710,         14632217,            269722,          3228864,             10159,         68157085,         50016123,         18140962,                  0,            822000,         12.40
99/02,6005,群益證,         31670582,          4168236,          4007415,            397470,          2260620,                  0,                  0,         16551643,          2476217,            236509,                  0,            179072,         20375495,          1302852,          1293374,             89161,         42504323,         19443441,         23060882,                  0,                  0,         12.27
