年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
97/02,2880,華南金,         20383931,        132190535,         36979832,          6633875,        117750058,         47345843,                  0,      1081726519,        147481215,             94011,            483164,         26737215,            612681,         10661561,         16524268,      1645604708,         81395196,      1276402511,          7208715,         50264139,         30185857,         48023160,            242840,                  0,         38300000,          4805190,                  0,          1224519,          8147480,    677558.00,          7571301,      1554448466,         60896128,         12408866,         15268835,          2581104,              1309,         91156242,                  0,                  0,         15.27
97/02,2881,富邦金,         54511010,        258585585,         60842442,         17712049,        237133252,        126113085,                  0,        871856883,          8337829,          1129680,         13010945,         21089871,          1408935,        235873284,         15954677,      1923559527,         62144705,      1062609785,          1099547,         20480845,         51151945,         63299591,         10862557,                  0,         82192559,          5261726,                  0,                  0,        307861399, 88605647.00,          6934227,      1762504533,         77190935,         49092515,         31946008,         -1467933,          4293469,        161054994,                  0,                  0,         20.31
97/02,2882,國泰金,        391646689,         54333073,        126909245,         22463839,        480353147,         76786978,                  0,      1353032752,        603475582,          2586240,        106652766,         40347241,          7773056,        415285443,         60853489,      3742499540,         79386417,      1019631201,                  0,         57475992,         28113798,         64825178,          1517700,                  0,         15272693,                  0,                  0,                  0,      2012474123,280131922.00,          7220618,      3566049642,         97375372,         81971213,         14964401,        -20601552,          2740464,        176449898,                  0,         66659815,         18.86
97/02,2883,開發金,          6187036,         40026299,         31417958,          6486441,         56218065,         25090903,                  0,         74091339,                  0,         13386973,                  0,          4460885,                  0,         52224940,         14330921,        323921760,         14026275,         16065448,          1516898,         16264486,         30926403,         18205394,                  0,                  0,         57672673,         14718284,                  0,                  0,                  0, 21786817.00,          2642309,        193824987,        112309170,          9120665,          7160906,            711740,            794292,        130096773,                  0,        207890000,         12.02
97/02,2884,玉山金控,          8366559,         28257103,        115957779,            103595,         33521300,         36918847,                  0,        559397390,         13066279,                  0,                  0,         13309466,          3916666,          9177941,          5583678,        827576603,         46499099,        625429222,          1707811,         32137999,         27770901,         10014376,                  0,                  0,         33400000,            305000,                  0,                  0,                  0,  2838702.00,            709843,        780812953,         34434000,          9883176,          4012014,         -1565540,                  0,         46763650,                  0,                  0,         14.16
97/02,2885,元大金,          7214861,         35114555,         90790581,         24146221,         14824700,        110736716,                  0,        232405243,          6022244,          5845560,                  0,          8132089,          9558967,          7486194,         21445254,        573743555,         13313536,        296107707,         16033449,          4486098,         26196839,         44789512,                  0,                  0,         17300000,         25667056,                  0,            880374,            875929,  1930498.00,         10619037,        458200035,         83530437,         27452039,          4872702,           -494489,            182831,        115543520,                  0,                  0,         13.81
97/02,2886,兆豐金,         46235435,         90872654,        181060325,         10279069,        226541042,        114930410,                  0,      1281608584,        125819963,          2474590,            521182,         25034581,            378943,         28425344,         10081668,      2144263790,        247995147,      1203910130,         19073888,         58837882,        239479634,         75295465,         31518946,                  0,         43695025,         10350564,                  0,          1535245,         13604902,  7234975.00,         11392251,      1963924054,        110594262,         43427034,         21725859,          3957246,            635335,        180339736,                  0,                  0,         16.25
97/02,2887,台新金控,         32620843,        232901189,         77803099,         17054360,        102773791,        132318322,                  0,      1481149572,        139708828,            976998,                  0,         44437838,         20757601,         20667721,         52653323,      2355823485,        227742539,      1669366430,          6294095,         23289171,         75266864,         68465344,                  0,                  0,        111470533,          2920000,                  0,                  0,          1536672,    512184.00,         18559600,      2205423432,         69880779,         19071634,          2211672,           -985900,         60221868,        150400053,                  0,                  0,         12.90
97/02,2888,新光金,        101330917,         44845098,        120429437,         23152203,        167861497,         59172504,                  0,        466824087,        217153547,          1508394,         80213762,         19672325,          2884640,        436744675,         28544879,      1770337965,          9683359,        331681241,         10737534,          9781151,         25819946,         34581154,                  0,                  0,         24756315,          7435952,                  0,                  0,      1095373358,128196313.00,          8067681,      1686114004,         56616193,         20295294,         -6387619,         -1811192,         15511285,         84223961,                  0,         38680000,         12.83
97/02,2889,國票金控,          1169886,             30034,        122614220,         10683880,         75864177,         11508160,                  0,                  0,                  0,          1287324,                  0,          2147215,                  0,          3956701,          1722432,        230984029,          7980000,                  0,          2478357,            642106,        186567254,          2491849,                  0,                  0,                  0,                  0,                  0,            139914,          2079131,    990781.00,            396078,        203765470,         21947143,                  0,          2762929,           -967085,          3475572,         27218559,                  0,                  0,         10.98
97/02,2890,永豐金控,         17138924,         95472471,         47299042,          8233213,         95675911,         71792776,                  0,        671168715,         73013389,             53895,                  0,         11865469,          2350924,         20782127,         13561878,      1128408734,         65429291,        830694501,         15106458,         11278992,         15377655,         29166275,                  0,                  0,         42838069,         13487256,                  0,                  0,                  0, 17246913.00,          4094357,      1044719767,         71034671,          1809785,         13437290,         -2649279,             56500,         83688967,                  0,        120031000,         11.98
97/02,2891,中信金,         19985153,        123944228,        107199987,                  0,        130899791,        139508997,                  0,        912234712,        217881369,          1969157,                  0,         32809996,         12236207,         12237488,         12780275,      1723687360,         48564142,      1215191015,                  0,         41999369,         78517923,         61734427,         14919695,                  0,        106395670,                  0,                  0,                  0,                  0,  3291014.00,          5137612,      1575750867,         98486544,         38908097,         14867283,         -4398662,             73231,        147936493,                  0,                  0,         16.14
97/02,2892,第一金控,         20085161,        150715392,         41526581,          4645576,         59719649,         53989303,                  0,      1083984698,        212383016,          3518562,                  0,         24309857,            376174,         14011751,         14799034,      1684064754,        141839766,      1254833038,          2897719,         57497224,         14500776,         71259241,             56136,                  0,         23200000,            809580,                  0,          1705929,          4618756,    488279.00,          8718370,      1582424814,         61647353,          9943476,         19468787,          9641179,            939145,        101639940,                  0,                  0,         16.53
