年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
101/04,2855,統一證券,         33145665,          3631900,          2476474,                  0,          1342837,                  0,                  0,         18758995,                  0,             21476,                  0,             48902,         13231191,            255676,          8567531,           -286895,         40596876,         18829373,         21767503,                  0,                  0,         16.45
101/04,2856,元富證券,         55647783,          3179295,          2029967,            239589,          1734429,                  0,            110363,         43468682,                  0,                724,                  0,                  0,         15296593,             60357,          4584422,           -469352,         62941426,         43469406,         19472020,                  0,         38800000,         13.06
101/04,6005,群益證,         37526122,          3768089,          5761276,          3535752,          3700383,                  0,            111824,         23430253,          1443522,            402970,                  0,                  0,         23690730,          2735007,          2874278,           -173314,         54403446,         25276745,         29126701,                  0,                  0,         12.29
