年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
99/04,2855,統一證券,         40453654,          3693808,          2418697,                  0,          1699346,                  0,                  0,         27479848,                  0,            323441,                  0,                189,         12319334,            399809,          8063587,           -320703,         48265505,         27803478,         20462027,                  0,         30025000,         17.02
99/04,2856,元富證券,         73552739,          2818917,          2104610,            311028,          1744831,                  0,            178053,         61120503,                  0,            292114,                  0,                  0,         14770628,            296015,          4187321,             43597,         80710178,         61412617,         19297561,                  0,            822000,         13.17
99/04,6005,群益證,         39432073,         16058423,          4021079,            392728,          2289133,                  0,                  0,         27806729,          5993456,            245900,                  0,            125844,         23057225,          2598127,          2424045,            -57890,         62193436,         34171929,         28021507,                  0,                  0,         12.15
