年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
101/03,2855,統一證券,         36148404,          3616770,          2489375,                  0,          1345928,                  0,            152105,         22152116,                  0,             21476,                  0,                  0,         13231191,            255676,          8367823,           -275700,         43752582,         22173592,         21578990,                  0,                  0,         16.31
101/03,2856,元富證券,         60046680,          2774512,          2019161,            251422,          1749385,                  0,            162493,         47692890,                  0,                724,                  0,                  0,         15296593,             60357,          4476633,           -523544,         67003653,         47693614,         19310039,          1086956,         38800000,         12.95
101/03,6005,群益證,         37046782,          3738342,          5780221,          3538785,          3800927,                  0,            160483,         23988601,            722703,            371976,                  0,                  0,         23690730,          2735007,          2678611,           -122088,         54065540,         25083280,         28982260,                  0,                  0,         12.23
