年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
98/04,2855,統一證券,         33703331,          3730479,          2291386,                  0,          1869513,                  0,                  0,         18896419,          2865024,            342278,                  0,              7653,         11857062,            317109,          7670170,           -361006,         41594709,         22111374,         19483335,                  0,         30025000,         16.86
98/04,2856,元富證券,         47303909,          3171313,          2100961,            306576,          1699609,                  0,             94336,         36508797,                  0,            338043,                  0,                  0,         14147833,            129146,          3658191,           -105306,         54676704,         36846840,         17829864,                  0,         12878000,         12.72
98/04,6005,群益證,         37598534,          4411568,          4052822,            397470,          2638525,                  0,                  0,         27291946,          1843208,            327383,                  0,            112244,         16107860,            797372,          2545331,             73575,         49098919,         29574781,         19524138,                  0,                  0,         12.12
