公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 支付之股利,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 其他金融資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2923,2016年01月01日至2016年06月30日,,              2920918,              2920918,,,                 55477,                 15768,                    -54,                              0,                803606,                -67518,                  6910,                 89124,             -1498734,               -595421,,,                 33765,                  4637,               -624928,               -404434,                 47052,               -943908,,                              0,               -715310,               -169473,                -57874,                 23992,                -19042,               -269626,             -1207333,             -2151241,             -2746662,                174256,               -791644,             -1082589,             -1699977,,                -62873,                              0,                -57488,                   -122,              1622622,                 67265,              1569404,,                              0,              4569604,             -5392413,               -822809,               -171148,             -1124530,              5699232,              4574702,              4574702
2923,2015年01月01日至2015年06月30日,,              3061507,              3061507,,,                 67579,                 15605,                   -292,                 50097,                919412,                -60123,                  3095,                 16113,             -1353044,               -341558,,,                -31452,                 -8547,                -38175,               -100734,                 30450,               -148458,,                    860,               -473849,                 -6617,                683431,                 59466,                -24388,                 15550,                254453,                105995,               -235563,              2825944,               -980525,               -764094,              1081325,,                -50226,                  1266,                 -6014,                     -2,              1122412,                 54801,              1122237,,                 53748,              3729457,             -2381901,              1401304,               -115129,              3489737,              4926339,              8416076,              8416076
