公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款－關係人增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他應收款減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
5225,2016年01月01日至2016年03月31日,,                 18401,                 18401,,,                 58467,                  4235,                              0,                 -1379,                  7853,                   -613,                    954,                    213,                    536,                    941,                  9010,                 80217,,,                274691,                  2575,                  8512,                285778,,                  4601,                    311,               -394117,               -389205,               -103427,                -23210,                 -4809,                    613,                 -7853,                 -2435,                -14484,,                 13543,                              0,                -49874,                              0,                -14765,                    498,                              0,                   -226,                 -3550,                -54374,,              1048686,               -818801,                   -247,                              0,                              0,                229638,                -57741,                103039,                864468,                967507,                967507
5225,2015年01月01日至2015年03月31日,,                 62370,                 62370,,,                 50061,                  4366,                              0,                    496,                  5976,                 -1222,                              0,                    194,                              0,                              0,                -39809,                 20062,,,                238136,               -144832,                  2673,                 95977,,                 -4048,                              0,               -232660,               -236708,               -140731,               -120669,                -58299,                  1222,                 -5976,                -18254,                -81307,,                              0,                              0,                -22666,                 54105,                -35190,                    415,                              0,                -71041,                 -1706,                -76083,,                406407,                 -1242,                   -548,                              0,                              0,                404617,                -21351,                225876,                636374,                862250,                862250
