公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"1101","台泥",87853669,71350188,16503481,3114591,13388890,1954782,2421023,12922649,2185155,10737494,0,0,0,10737494,6621049,0,4116445,1.79
"1102","亞泥",49619295,41565552,8053743,1757100,6296643,6234052,1578832,10951863,1227392,9724471,0,0,0,9724471,8243482,0,1480989,2.63
"1103","嘉泥",3550917,2790766,760151,320678,439473,631781,734022,337232,116853,220379,0,0,0,220379,128974,0,91405,0.21
"1104","環球水泥",3505253,3211294,293959,265231,28728,483170,199458,312440,41582,270858,0,0,0,270858,255641,0,15217,0.42
"1108","幸福水泥",3149867,3044079,105788,209719,-103931,21935,105855,-187851,-31202,-156649,0,0,0,-156649,-156711,0,62,-0.39
"1109","信大水泥",1558476,1400170,158306,232017,-73711,92505,30695,-11901,2388,-14289,0,0,0,-14289,-1781,0,-12508,-0.01
"1110","東泥",1023973,961353,62620,40982,21638,71093,23083,69648,3591,66057,0,0,0,66057,66043,0,14,0.12
"1201","味全公司",19261539,12472206,6789333,6022474,766859,147928,255334,659453,196661,462792,0,0,0,462792,556777,0,-93985,1.10
"1203","味王公司",4536403,3763677,772726,614071,158655,71223,70470,159408,27442,131966,0,0,0,131966,99570,0,32396,0.42
"1210","大成長城",60070341,54492753,5577588,4192817,1384771,480126,315974,1548923,196129,1352794,0,0,0,1352794,833447,0,519347,1.73
"1213","大飲",565084,496890,68194,66589,1605,7236,1702,7139,1708,5431,0,0,0,5431,5431,0,0,0.11
"1215","卜蜂企業",12995926,12137664,858262,794030,64232,125020,44601,144651,41425,103226,0,0,0,103226,99781,0,3445,0.43
"1216","統一",281554755,197012793,84541962,72861728,11680234,5490063,2479623,14690674,2513583,12177091,0,0,0,12177091,7740249,0,4436842,1.70
"1217","愛之味",3344986,2078625,1266361,1179947,86414,102507,156940,31981,827,31154,0,0,0,31154,26698,0,4456,0.06
"1218","泰山企業",7615861,6840066,775795,988472,-211613,522747,69408,241726,5112,236614,0,0,0,236614,239408,0,-2794,0.73
"1219","福壽實業",7624259,7227262,396997,437690,-40150,693998,27877,625971,-98,626069,0,0,0,626069,621764,0,4305,2.13
"1220","台榮",2662274,2362998,299276,170458,128818,27531,27447,128902,7109,121793,0,0,0,121793,118172,0,3621,0.67
"1225","福懋油",10631134,10164428,466706,360882,106048,43124,55865,93307,28521,64786,0,0,0,64786,64744,0,42,0.36
"1227","佳格",14319944,8869208,5450736,3270264,2180472,136248,20335,2296385,362947,1933438,0,0,0,1933438,1919151,0,14287,4.17
"1229","聯華實業",3861612,3519288,342324,252238,90086,1230408,49548,1270946,63609,1207337,0,0,0,1207337,1208924,0,-1587,1.43
"1231","聯華食品",3905357,2732088,1173269,837488,335781,61474,33113,364142,79525,284617,0,0,0,284617,286140,0,-1523,2.41
"1232","大統益",13623381,12804331,819050,340222,478828,95096,4209,569715,97330,472385,0,0,0,472385,469326,0,3059,2.93
"1233","天仁",1552905,626045,926860,681794,245066,26550,1953,269663,48429,221234,0,0,0,221234,220047,0,1187,2.43
"1234","黑松",5175341,3808205,1367136,1245263,121873,431010,112105,440778,81495,359283,0,0,0,359283,359283,0,0,0.67
"1235","興泰",258158,230922,27236,38859,-11623,54535,24469,18443,-283,18726,0,0,0,18726,21990,0,-3264,0.42
"1236","宏亞食品",1689733,1243135,446598,348497,98101,13882,13977,98006,21688,76318,0,0,0,76318,76318,0,0,0.77
