公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",4276190,3875874,400316,348145,52171,39416,41460,50127,13530,36597,0,0,0,36597,38711,-2114,0.04,23.49,臺灣銀行3/30平均匯率
"910322","康師傅",56879995,40489345,16390650,11969699,4420951,434683,345414,4510220,1758117,2752103,0,0,0,2752103,2763670,-11567,0.49,US$ 1 : NT$ 29.51,臺灣銀行101年3月31日即期匯率
"9105","泰金寶",32489341,31511629,977712,698150,279562,446183,452308,273437,47783,225654,0,0,0,225654,225654,0,0.06,THB$0.96:NT$1,財報日之匯率
"910579","歐聖",230987,13469,217518,295142,-77624,4155,121626,-195095,-3635,-191460,-8390,0,0,-199850,-183266,-16584,-0.09,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率
"910861","神州",68682379,63225724,5456655,3640632,1816023,402850,304715,1914158,265306,1648852,0,0,0,1648852,1543778,105074,1.45,HKD＄1：3.8636NT$,以101.06.30www.oanda.com網站公佈匯率換算
"910948","融達",1006736,963029,43707,25101,18606,14295,12913,19988,4593,15395,0,0,0,15395,15395,0,0.02,29.88,臺灣銀行財務報表日之即期匯率-買賣均價
"9110","越南製造",1394845,1233961,160884,225678,-64794,70388,3892,1702,15280,-13578,0,0,0,-13578,-13578,0,-0.01,USD＄1：NT$29.53,台北外匯經紀股份有限公司
"911602","華豐泰國",598280,492359,105921,40280,65641,6049,566,71124,16533,54591,0,0,0,54591,54591,0,0.09,Baht＄1：NT$0.96,101/03/31之匯率
"911606","超級集團",2858571,1886419,972152,503667,468485,23972,4136,488321,53114,435207,0,0,0,435207,416876,18331,0.75,SGD＄1：NT$23.5018,中央銀行於財務報表日之即期匯率
"911608","明輝環球",772914,565263,207651,133142,74509,1245,11040,64714,8010,56704,0,0,0,56704,70070,-13366,0.15,SGD＄1：NT$23.49,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",15914418,11573640,4340778,487803,3852975,2644082,573816,5923241,1124235,4799006,0,0,0,4799006,4772980,26026,1.25,RMB$1：NT$ 4.69,銀行期末平均匯率
"911610","聯合環境",753981,462309,291672,91258,200414,31870,69549,162735,24343,138392,0,0,0,138392,138392,0,0.29,SGD$1:NT$23.52,臺灣銀行於財務報表日之即期匯率
"911611","中國泰山",384998,375017,9981,15857,-5876,12158,26778,-20496,3,-20499,0,0,0,-20499,-20499,0,-0.02,RMB1:NTD4.6843,Bloomberg顯示3月31日閉市匯率
"911612","滬安電力",2419991,2078375,341616,142533,199083,21179,80956,139306,27149,112157,0,0,0,112157,112157,0,0.13,RMB$1:NT$4.6631,以2012年3月31日www.oanda.com網站
"911616","杜康控股",1163315,716652,446663,211580,235083,7816,9911,232988,57463,175525,0,0,0,175525,175525,0,0.22,RMB$1:NT$4.795,2011年9月底
"911622","泰聚亨",2308363,2229909,78454,81534,-3080,62167,87304,-28217,0,-28217,0,0,0,-28217,-28217,0,-0.05,THB$1：NT$0.96,以101/3/31公佈匯率換算
"911626","華運中國",913271,654739,258532,42844,215688,2512,2160,216040,55432,160608,0,0,0,160608,160608,0,0.31,4.6845,匯率係採用各該期期末之台灣銀行匯率
