公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損損失,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金增加,　　　　　 負債準備增加（減少）,　　 發放現金股利,　　　　 金融資產減損損失,　　 非控制權益變動,　　 其他金融資產減少,　　 存入保證金增加,　　 預付投資款增加,　　　 收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得子公司股權,　　 取得以成本衡量之金融資產,　　 取得無形資產,　　　　 攤銷費用
1517,2014年01月01日至2014年03月31日,,95918,95918,,,38289,0.0,-8290,285,-1430,-7406,-15390,27342.0,,,43622,46743,-7301,3484,5730,-8259,84019,,-2727,-47505,-25905,-3084,-739.0,-79960,4059,31401,127319,10860,-40645,97534,,-112576,166550,-409628.0,469326.0,-27598,628,0.0,,-5531,,48305,,-50.0,-50.0,-354,145435,602309,747744,747744,-24.0,,21308.0,-130544.0,97678.0,,,,,,,,,,,,,,,,,,
1517,2013年度,,531455,531455,,,147819,3414.0,-21090,1884,-4652,-7262,-170511,-37967.0,,,-31978,102163,-3595,66669,-4642,14673,143290,,-32846,-139037,-13283,112,-2808.0,-188572,-45282,-83249,448206,22467,-79976,390697,,-1067052,1035431,-1842886.0,1742082.0,-177939,1375,,1744.0,-12431,131911.0,-202319,,,-161651.0,9047,35774,566535,602309,602309,866.0,,9066.0,-824253.0,811422.0,-1723.0,-710.0,-159478.0,2499.0,-2173.0,0.0,,0.0,,,,,,,,,,
1517,2013年01月01日至2013年12月31日,,531455,531455,,,147819,3414.0,-21090,1884,-4652,-7262,-170511,-37967.0,,,-31978,102163,-3595,66669,-4642,14673,143290,,-32846,-139037,-13283,112,-2808.0,-188572,-45282,-83249,448206,22467,-79976,390697,,-1067052,1035431,-1842886.0,1742082.0,-177939,1375,,1744.0,-12431,131911.0,-202319,,0.0,-161651.0,9047,35774,566535,602309,602309,866.0,0.0,9066.0,-824253.0,811422.0,-1723.0,-710.0,-159478.0,2499.0,-2173.0,,,,,,,,,,,,,
1517,2013年01月01日至2013年09月30日,,325803,325803,,,109157,3414.0,-14571,2133,-1628,-973,-44880,57440.0,,,-26806,96180,2719,62316,-4123,247,130533,,-26448,-174300,-20803,-94,-1959.0,-223604,-93071,-35631,290172,14571,-72074,232669,,-716059,777655,-1332719.0,1320213.0,-126729,565,118069.0,1644.0,-25383,0.0,-53140,,0.0,-159478.0,7227,27278,566535,593813,593813,517.0,0.0,4271.0,-528766.0,460093.0,-1723.0,0.0,-159478.0,,,,,,,,,,,,,,,
1517,2013年01月01日至2013年06月30日,,198152,198152,,,72040,3414.0,-8453,1544,513,-5495,-29787,34032.0,,,-65137,63688,-15907,58044,-6257,-2267,32164,,-14189,-66696,-17536,2595,-1145.0,-96971,-64807,-30775,167377,8453,-41666,134164,,-430562,429046,-637147.0,760264.0,-71892,565,106048.0,0.0,-24287,0.0,2446,,0.0,0.0,16511,153121,566535,719656,719656,256.0,0.0,0.0,-207953.0,79980.0,-1616.0,,,,,0.0,,,,,,,,,,,,
1517,2013年01月01日至2013年03月31日,,86046,86046,,,35418,3414.0,-3512,1218,1219,2277,-14721,25313.0,,,-9547,43753,-3044,60442,-4871,-1899,84834,,-17340,-124284,-34910,447,-573.0,-176660,-91826,-66513,19533,3512,-13281,9764,,-265111,232098,-281570.0,298839.0,-29923,505,65870.0,0.0,-6959,0.0,13749,,0.0,0.0,13220,36733,566535,603268,603268,,,,,,,,,,,,,,,,,,,,,,,
1517,2012年01月01日至2012年12月31日,,387030,387030,,,124778,-5664.0,-18955,-144,-117,8685,-58241,69968.0,,,-6568,-58896,17285,-33685,-25117,2842,-104139,,-10983,7362,-3992,-2314,-2115.0,-14645,-118784,-48816,338214,16014,-87158,267070,,-980304,1077596,-784710.0,244681.0,-253424,6020,,15405.0,-23854,30446.0,-675360,,-1452.0,-160930.0,-25681,-594901,1161436,566535,566535,0.0,2023.0,17603.0,0.0,0.0,-7216.0,-2603.0,-159478.0,0.0,0.0,,,,,,,,,,,,,
1517,2012年01月01日至2012年09月30日,,269857,269857,,,89681,-5664.0,-12634,8764,-87,14791,-24973,83625.0,,,-36970,-112129,-14585,-24385,-16447,-2028,-206544,,-3715,-47632,-235,4477,-1591.0,-51299,-257843,-174218,95639,12634,-57157,51116,,-797687,872372,-562663.0,136569.0,-232927,4403,0.0,14540.0,-13453,30452.0,-555610,,-1407.0,-160885.0,-16173,-681552,1161436,479884,479884,0.0,531.0,13216.0,0.0,0.0,-7216.0,-2603.0,-159478.0,,,,,,,,,,,,,,,
1517,2012年01月01日至2012年06月30日,,159900,159900,,,57751,-10000.0,-9231,8455,134,-12388,0,46486.0,,,-12758,-70836,-11666,-59073,12284,-1801,-143850,,-17861,110205,1906,1044,-1027.0,94267,-49583,-3097,156803,9231,-47615,118419,,-459819,530156,-498015.0,19687.0,-183945,4403,0.0,7522.0,-19857,27029.0,-580055,,-1406.0,-1406.0,-5984,-469026,1161436,692410,692410,0.0,531.0,11234.0,0.0,0.0,-7216.0,,,,,,,,,,,,,,,,,
1517,2012年01月01日至2012年03月31日,,59739,59739,,,28240,0.0,-2721,412,2590,-1289,0,27232.0,,,19838,-98845,4497,-10977,-16626,164,-101949,,-7150,25801,-33154,1723,-511.0,-13291,-115240,-88008,-28269,2721,-12592,-38140,,-210157,242971,-159619.0,15000.0,-52152,73,0.0,7045.0,-2722,12348.0,-147213,,-1409.0,-1409.0,-18876,-205638,1161436,955798,955798,,,,,,,,,,,,,,,,,,,,,,,
