公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 其他非流動資產增加,　　 短期借款增加,　　　　　 其他金融資產（增加）減少,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 預付設備款增加,　　 舉借長期借款,　　　　　 其他營業資產（增加）減少,　　 存出保證金減少,　　 取得無形資產,　　 存入保證金增加,　　 發放現金股利,　　 其他金融資產增加,　　 應付短期票券減少,　　 存入保證金減少
2702,2014年度,,96873,96873,,,118238,5080,21409,-3072,-3645,138010,,,867,3766,16401,-183,-4,-96,22100,,284,1087,816,716,,4050,26150,164160,261033,3072,-21551,-48969,193585,,-231451,252449,-42053,,-59397,,-224300.0,,-191852,,-30562,30570,134196,406341,540537,540537,0.0,-5.0,249300.0,,1147.0,,-1110.0,0.0,162061.0,1349.0,,0.0,,-8746.0,-37227.0,-17000.0,-25.0
2702,2014年01月01日至2014年09月30日,,75762,75762,,,88503,3788,16026,-2295,-3610,102412,,,1096,2841,-5164,334,-375,-157,-35322,,387,-166,-3397,-147,,-3176,-38498,63914,139676,2295,-16097,-33325,92549,,-206377,227249,-24038,,-4186,,,-25000.0,-184998,,-22912,9019,74470,406341,480811,480811,0.0,17.0,25000.0,-33897.0,147.0,,,0.0,162061.0,,-1037.0,0.0,25.0,,,,
2702,2014年01月01日至2014年06月30日,,54444,54444,,,59065,2530,10699,-1394,-177,70723,,,947,-5571,-4779,46,-642,-962,-43907,,420,997,-6878,-591,,-4501,-48408,22315,76759,1394,-10998,-15940,51215,,-72212,93126,-15102,,4808,,,40000.0,-178332,,-14271,-179,41573,406341,447914,447914,0.0,4.0,-38000.0,-32946.0,1551.0,,,0.0,162061.0,,-1008.0,0.0,0.0,,,,
2702,2014年01月01日至2014年03月31日,,21812,21812,,,29575,1268,5463,-591,-178,35537,,,1307,-3817,-27279,303,-973,-68,-30917,,450,821,-4437,-608,,-6444,-37361,-1824,19988,591,-5488,-3299,11792,,-93376,157267,-10424,,52880,,-140000.0,35000.0,-9582,,-9582,9403,64493,406341,470834,470834,0.0,15.0,105000.0,-390.0,-2670.0,,,0.0,0.0,,-602.0,0.0,0.0,0.0,,,
2702,2013年度,,63936,63936,,,114648,4977,20414,-1242,-12040,148095,,,-175,1726,-4934,-91,-630,49,-4073,,-28,-775,5768,-17,,8664,4591,152686,216622,1242,-20384,-42516,154964,,-295393,271641,-177692,,-219293,,-647000.0,,-29240,,121339,8386,65396,340945,406341,406341,21338.0,-201.0,660000.0,,3716.0,,-757.0,-1986.0,130000.0,-18.0,,0.0,,-16501.0,-14905.0,24000.0,80.0
2702,2013年01月01日至2013年12月31日,,63936,63936,,,114648,4977,20414,-1242,-12040,148095,,,-175,1726,-4934,-91,-630,49,-18978,,-28,-775,5768,-17,,8664,-10314,137781,201717,1242,-20384,-42516,140059,,-295393,271641,-177692,,-204388,,-647000.0,24000.0,-29240,,121339,8386,65396,340945,406341,406341,21338.0,-201.0,660000.0,-14905.0,3716.0,0.0,,-1986.0,130000.0,-18.0,-757.0,0.0,80.0,-16501.0,,,
2702,2013年01月01日至2013年09月30日,,54416,54416,,,85776,3738,15089,-754,-10772,114417,,,271,940,-3768,286,-763,61,-17758,,25,-2480,-4984,-709,,-7745,-25503,88914,143330,754,-15131,-36881,92072,,-203720,179936,-83288,,-109809,,-33000.0,19000.0,-19813,32.0,46219,5240,33722,340945,374667,374667,21340.0,-267.0,,-14785.0,403.0,0.0,-484.0,-1986.0,80000.0,,,,,,,,
2702,2013年01月01日至2013年06月30日,,37257,37257,,,56906,2487,9985,-527,-10213,78108,,,771,-1573,8873,-32,-489,-265,7285,,-1735,-2408,-4932,103,0.0,-8972,-1687,76421,113678,527,-10088,-5232,98885,,-261356,237619,-56169,,-82582,,,35000.0,-13182,20.0,27838,12498,56639,340945,397584,397584,19470.0,-2676.0,6000.0,,,,,,,,,,,,,,
2702,2013年01月01日至2013年03月31日,,21274,21274,,,27826,1235,4931,-286,-396,33310,,,277,65,9851,260,-828,-201,9424,,-3,-528,-2582,-1941,0.0,-5054,4370,37680,58954,286,-4965,-2565,51710,,-38337,14751,-27817,-825.0,-52228,,-13000.0,35000.0,-6549,0.0,15451,8641,23574,340945,364519,364519,,,,,,,,,,,,,,,,,
2702,2012年01月01日至2012年12月31日,,74039,74039,,,97007,1239,14512,-990,0,113151,,,-512,-9929,8459,22,-174,89,-2045,,44,-3881,4023,-418,,-2600,-4645,108506,182545,990,-13857,-31381,138297,,-27798,0,-366393,,-467947,,-665000.0,10000.0,-29513,,406355,-15740,60965,279980,340945,340945,1383.0,-9.0,672000.0,0.0,-2391.0,23.0,,-668.0,442155.0,0.0,4.0,-73083.0,64.0,-23351.0,,,
2702,2012年01月01日至2012年09月30日,,56781,56781,,,69259,0,9454,-1945,0,76768,,,-235,-3220,8866,304,46,178,5939,,152,-5939,-16041,-1225,,-24051,-18112,58656,115437,1945,-8801,-25413,83168,,-27939,0,-7518,,-60834,,-35000.0,27000.0,-23006,64.0,412713,-1684,433363,279980,713343,713343,0.0,-71.0,,0.0,-1015.0,17.0,-6.0,-25300.0,443655.0,,,,,,,,
2702,2012年01月01日至2012年06月30日,,34040,34040,,,46322,0,5125,-530,0,50917,,,180,-5934,1523,-7,-270,117,-4391,,204,-5791,-4471,564,12.0,-9482,-13873,37044,71084,530,-5154,-13022,53438,,-26694,0,-4788,,-31508,,,4000.0,-17452,64.0,-28388,-2195,-8653,279980,271327,271327,0.0,-26.0,-15000.0,,,,,,,,,,,,,,
2702,2012年01月01日至2012年03月31日,,8223,8223,,,23347,0,2601,-249,0,25699,,,83,1844,997,264,-483,56,2761,,284,-3277,-2534,-3989,6.0,-9510,-6749,18950,27173,249,-2618,-3475,21329,,-26730,0,-4483,35.0,-31178,,0.0,0.0,-8986,64.0,-8922,-4003,-22774,279980,257206,257206,,,,,,,,,,,,,,,,,
