公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應收票據－關係人（增加）減少,　　 持有至到期日金融資產到期還本,　　 處分以成本衡量之金融資產,　　 其他籌資活動,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 短期借款減少,　　　　 其他項目,　　 現金減資,　 匯率變動對現金及約當現金之影響,　　　　 金融資產減損損失,　　 存入保證金減少,　　 預付投資款增加,　　 取得投資性不動產
1614,2014年度,,275528,275528,,,88716,5240,3089,-274,3808,-2271,-200,-19,-5717,115038,,,392560,12398,-10154,0,-3666,9252,-29934,-3137,-1547,1618,367390,,11.0,109962,0,-18955,5023,-6787,-12066,-15745,61443,428833,543871,819399,2252,200,-3841,-24088,,,,793922,,,,,-32394,505,,881.0,-6004,-2873,-94075,-487081,,0.0,10275,-10718,-233722,-244286,62555,42820,105375,105375,0.0,0.0,0.0,,-4762.0,-15483.0,-81440.0,0.0,-5359.0,0.0,0.0,0.0,22666.0,,,-256198.0
1614,2014年01月01日至2014年09月30日,,209828,209828,,,65840,3773,808,-1678,2795,-1674,-9397,374,-2463,58816,,,-161943,-17889,-62415,0,-4230,196051,-2940,-2255,3988,90,-51543,,-818.0,136556,1059,159264,-2506,-2963,-10869,-9431,270292,218749,277565,487393,1919,9397,-3129,-24356,,,,471224,,-9924.0,0.0,,-79921,105,832.0,,-6004,-1250,-62653,-240254,,,9064,-7887,-233722,-236906,-5936,42820,36884,36884,,0.0,0.0,,-4762.0,,-17439.0,,401.0,,,,438.0,,-64000.0,
1614,2014年01月01日至2014年06月30日,,107683,107683,,,43824,2333,1466,-2457,1857,-1132,-832,374,-1300,44571,,,-63460,-7857,-197034,0,-387,-22154,-18892,-751,-13,60,-310488,,-818.0,145448,0,86060,51099,-3604,-2853,-6998,268334,-42154,2417,110100,1737,832,-1903,-4748,,,,106018,,0.0,12.0,,-3445,105,,834.0,-4314,-1251,-52105,-64404,,0.0,0,-5057,0,-17591,24023,42820,66843,66843,,0.0,0.0,0.0,-4762.0,,-4240.0,,-7398.0,,,,438.0,-374.0,,
1614,2014年01月01日至2014年03月31日,,7533,7533,,,22488,955,-168,-2130,881,-552,0,8,-414,21068,,,69604,-12329,-7099,0,-2081,-77278,-35360,155,0,30,-64358,,6781.0,97782,0,-43091,15745,2330,-10258,-129,69160,4802,25870,33403,128,0,-1212,-1034,,,31285.0,31285,,0.0,-1440.0,0.0,-1879,0,784.0,0.0,-4150,-803,-13973,-21461,,-13135.0,700,-2231,-4762,-19428,-9604,42820,33216,33216,0.0,,,,,,,,,,,,,,,
1614,2013年度,,287093,287093,,,93763,2708,2109,-426,3523,-3036,-7018,-19972,-10775,60876,,,194602,12654,58867,5332,7656,372978,-2545,832,-4125,-1542,648268,,818.0,5365,-7537,-42025,-21645,6430,25920,-16698,-49372,598896,659772,946865,3513,7018,-3468,-77487,,,,876441,,,,,-32411,24599,,177.0,-747,-3924,-32885,-145211,,0.0,10233,-8911,-261439,-725870,5360,37460,42820,42820,0.0,3559.0,82000.0,,-3647.0,-77620.0,-104400.0,0.0,-5169.0,0.0,-456937.0,0.0,0.0,,,0.0
1614,2013年01月01日至2013年12月31日,,287093,287093,,,93763,2708,2109,-426,3523,-3036,-7018,-19972,-10775,60876,,,194602,12654,58867,5332,7656,372978,-2545,832,-4125,-1542,648268,,818.0,5365,-7537,-42025,-21645,6430,25920,-16698,-49372,598896,659772,946865,3513,7018,-3468,-77487,,,,876441,,,,,-32411,24599,,177.0,-747,-3924,-32885,-145211,,0.0,10233,-8911,-261439,-725870,5360,37460,42820,42820,0.0,3559.0,82000.0,,-3647.0,-77620.0,-104400.0,0.0,-5169.0,0.0,-456937.0,0.0,,,,
1614,2013年01月01日至2013年09月30日,,178586,178586,,,69029,1640,4489,-2516,2589,-2436,-7018,-13760,-7270,44747,,,-280177,-9218,23365,5332,-7833,379242,-4222,-384,-4012,-3637,102015,,,43239,-7537,99087,-16944,9295,28104,-9413,145831,247846,292593,471179,3070,7018,-2869,-62694,,,,415704,,,,,-26036,26733,103.0,,0,-3124,-28349,-135870,,0.0,14325,-6682,-261439,-266631,13203,37460,50663,50663,,3559.0,82000.0,0.0,-3647.0,-82797.0,-104400.0,0.0,-9188.0,,,,,,,
1614,2013年01月01日至2013年06月30日,,99320,99320,,,45897,1008,2546,-2266,1680,-1900,-1360,-13388,-5926,26291,,,-247313,-16653,-257261,5332,-257,160947,-20816,-418,-12,120,-377852,,0.0,99265,-7537,398060,34756,9072,43712,-1229,576099,198247,224538,323858,2085,1360,-1675,-45540,,,,280088,,-79476.0,,,-12346,18865,,22.0,0,-3124,-19995,-14054,,-6685.0,14028,-4453,-270925,-271682,-5648,37460,31812,31812,,-1521.0,82000.0,0.0,-3647.0,,,,,,,,,,,
1614,2013年01月01日至2013年03月31日,,22436,22436,,,23138,482,1002,-2622,812,-1066,0,-13350,-3040,5356,,,-39446,-22182,15564,5332,3336,-61349,-24982,-292,0,69,-123950,,1680.0,155955,-7537,-35822,4216,4956,26255,-1118,148585,24635,29991,52427,151,0,-1189,-1677,,,49712.0,49712,,-53869.0,0.0,0.0,-8483,18822,-76.0,0.0,0,-3124,-9320,-56050,,-11788.0,9518,-2226,-3647,-8143,-14481,37460,22979,22979,0.0,,,,,,,,,,,,,,,
1614,2012年01月01日至2012年12月31日,,362476,362476,,,115798,1328,-1351,834,3093,-5455,-3945,-635,-13149,97390,,,850982,16723,38959,53,6910,-57630,13103,-1011,-19134,-44,848911,,0.0,-24068,-59573,-7049,16095,-2448,-14197,-15596,-106836,742075,839465,1201941,8214,3945,-3031,-17470,,,,1193599,,,,,-42631,902,,1850.0,-473,-8574,-1128648,-820077,,3923.0,9608,-8296,-363756,-365040,8482,28978,37460,37460,0.0,0.0,402010.0,,-6519.0,-34255.0,-11201.0,943.0,0.0,872.0,0.0,0.0,,,,
