公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 短期借款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 發放現金股利,　　　　　 負債準備增加（減少）,　　 收取之股利,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　　　 非金融資產減損損失,　　 存入保證金增加,　　 其他非流動資產增加,　　 應付短期票券增加,　　 其他非流動負債增加,　　　　　 應付票據－關係人增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資
1521,2015年01月01日至2015年03月31日,,204324,204324,,,32327,,1418,135,-471,-17357,0,695,-2938,10090.0,,,,,-5766,-37236,-85901,4249,62908,72488,-7414,3328,,-23020,-34275,-9335,-87271,-39842,3806,-194980,-191652,-167758,36566,471,-135,-1353,35549,,-27391,-14,,,-27400,,-140706.0,93445,-442,101152,155360,256512,256512,-5.0,-39950.0,39955.0,234151.0,,,,,,,,,,,0.0,,,,,,,,23894.0,-5043.0,0.0
1521,2014年度,,453396,453396,,,106113,,5226,803,-1600,-24538,561,11915,-2198,-9195.0,,89430.0,,,2789,-45056,-43125,15421,-90747,-47203,-6185,-214106,,-4,115604,19468,829,-42227,92,77778,-136328,-46898,406498,1600,-803,-52347,371302,,-178533,-5551,,,-166198,,-748328.0,-281962,70,-76788,232148,155360,155360,-76.0,-70000.0,70076.0,748328.0,,,-10953.0,33524.0,-282051.0,0.0,16354.0,0.0,-24934.0,,9220.0,2419.0,89.0,,,,-5031.0,,,,
1521,2014年01月01日至2014年09月30日,,347494,347494,,,78640,,1946,683,-1242,-19703,149,8140,-1598,-3572.0,,64758.0,,,-1566,34058,12475,22168,-22410,-67338,-4370,-26983,,-18782,-11425,-1145,-61714,-27578,409,-130224,-157207,-92449,255045,1242,-505,-52287,219849,,-106190,-2656,,,-120141,,,-150177,-592,-51061,232148,181087,181087,0.0,0.0,0.0,101765.0,,,-9989.0,8590.0,-282051.0,,16354.0,,-24841.0,,4956.0,1315.0,90.0,0.0,29997.0,22.0,,,,,
1521,2014年01月01日至2014年06月30日,,237524,237524,,,51831,,2276,359,-985,-17545,149,3662,-1028,-670.0,,39364.0,,,1780,-6459,14248,10489,-43367,-52790,-3292,-79391,,-27819,-13893,-9052,-54880,40972,2188,-69711,-149102,-109738,127786,985,-284,-21867,106620,,-64039,-1275,,,-77834,,,90295,491,119572,232148,351720,351720,,0.0,,90195.0,,,-7227.0,,,,,,-15576.0,,3056.0,1315.0,100.0,,,,,,,,
1521,2014年01月01日至2014年03月31日,,128266,128266,,,26029,,1182,223,-483,-9436,143,3329,-507,6355.0,,26835.0,,,-1858,83241,-37827,12432,-16864,-41692,-8850,-11418,,-37763,-7757,-11365,-114012,47926,288,-127149,-138567,-111732,16534,483,-223,-1895,14899,,-35062,-76,,,-30721,,,100380,-792,83766,232148,315914,315914,,,,100380.0,,,-4466.0,3667.0,,,,,0.0,,750.0,,,,,,,,,,
1521,2013年度,,367306,367306,,,113878,,-1174,952,-765,-59750,222,5684,-2011,-6753.0,,52304.0,,,-4008,-151055,25377,-13748,-117174,2711,1729,-256168,,11026,98797,-7907,97074,26038,-690,263616,7448,59752,427058,765,-952,-47128,395695,,-111465,-1388,,,-117054,,-873352.0,-266805,31,11867,220281,232148,232148,2021.0,-185000.0,186139.0,873352.0,,,-11649.0,0.0,-266805.0,423.0,15952.0,2790.0,-8590.0,,460.0,0.0,0.0,,,,50504.0,,,,
1521,2013年01月01日至2013年12月31日,,367306,367306,,,113878,0.0,-1167,952,-765,-59750,222,5684,-2011,,,59064.0,,,-4008,-151796,17233,-13704,-117174,2711,1729,-265009,,61530,98870,-5899,97074,26038,-690,265697,688,59752,427058,765,-952,-47128,395695,,-111465,-928,0.0,,-117054,,0.0,-266805,31,11867,220281,232148,232148,2021.0,-185000.0,186139.0,,,,-11649.0,0.0,-266805.0,423.0,15952.0,2790.0,-8590.0,0.0,,,,,,,,,,,
1521,2013年01月01日至2013年09月30日,,227457,227457,,,88118,0.0,96,709,-541,-42862,145,5675,-1494,-170.0,,65531.0,,,-7767,-41195,13676,6996,-45929,-77578,-2928,-154725,,3848,-9607,-23983,2330,78251,-560,41522,-113203,-47672,179785,541,-709,-50862,128755,,-10358,-928,-11.0,-25854.0,-42054,,0.0,-157327,45,-70581,220281,149700,149700,-97.0,-185000.0,180097.0,109478.0,,15952.0,-8757.0,0.0,-266805.0,,,,,,,,,,,,,,,,
1521,2013年01月01日至2013年06月30日,,139105,139105,,,60017,0.0,95,278,-460,-30012,131,3413,-970,3186.0,-5838.0,29840.0,,,2162,69,24172,-1975,-65465,-69851,-8950,-119838,,-23120,-34881,-11463,-6459,50780,-638,-25781,-145619,-115779,23326,460,-278,-21488,2020,,-9072,-910,0.0,-7483.0,-77465,,0.0,91525,-94,15986,220281,236267,236267,0.0,-60000.0,0.0,91525.0,0.0,,,,,,,,,,,,,,,,,,,,
1521,2013年01月01日至2013年03月31日,,65512,65512,,,31499,0.0,0,66,-323,-15293,0,63,-514,-9761.0,-2920.0,2817.0,,,2195,18183,22722,7788,-33552,-29469,-12722,-24855,,-23066,41433,-19563,-38985,19429,-474,-21226,-46081,-43264,22248,323,-66,-1636,20869,,-2977,-909,0.0,-19714.0,-23600,,0.0,0,205,-2526,220281,217755,217755,,,,,,,,,,,,,,,,,,,,,,,,,
