公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　 短期借款增加,　　 其他借款增加,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少,　　 收取之股利,　　 處分投資性不動產,　　 應付短期票券增加,　　 舉借長期借款,　　 發放現金股利,　　 取得備供出售金融資產,　　 應付短期票券減少,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　 其他非流動資產減少,　　 庫藏股票買回成本,　　 停業單位稅前淨利（淨損）,　　　　　 預付款項（增加）減少
1446,2016年01月01日至2016年09月30日,,62381,62381,,,11881,1038,,2136.0,-427,-7618,0.0,,,,3523,27103,1593,20130,136,0.0,65474,,-60,-11270,19925,26763,,0.0,33600,99074,103937,166318,427,-7225,166043,,-174,0.0,-75,,-596317,-2224,1288,-10226,157030,217090,374120,374120,,618930.0,,-2147.0,0.0,54.0,8747.0,,139677.0,0.0,-41313.0,,-119689.0,0.0,,4863.0,-1758.0,,99.0,0.0,,12935.0
1446,2016年01月01日至2016年06月30日,,24615,24615,,,8180,702,,1452.0,-248,-5397,0.0,,,,3433,-7374,-524,-78618,254,0.0,-86401,,-2775,-4373,8165,5315,,0.0,4608,-81793,-77222,-52607,248,-4097,-57852,,-124,0.0,-124,,-399258,-1514,40532,-3381,-20825,217090,196265,196265,109.0,439816.0,0.0,-118.0,,,118.0,,89754.0,0.0,,,-89780.0,0.0,,4571.0,-1724.0,0.0,0.0,,,-3681.0
1446,2016年01月01日至2016年03月31日,,4911,4911,,,4109,350,-88.0,747.0,-102,-2814,,,,,1156,2377,-1400,-50927,223,,-73665,,25518,8537,-414,910,,0.0,34138,-39527,-37325,-32414,102,-688,-33702,,-19,0.0,-22,,-6576,-702,-6606,-3766,-44096,217090,172994,172994,,0.0,,,,,,,29957.0,0.0,,,-29987.0,,,2202.0,-413.0,-3.0,0.0,,,-25094.0
1446,2015年度,,-1909,-1909,,,16629,1390,,2372.0,-455,-14011,-475.0,,,,-625,-7403,297,-44465,-228,,-35219,,764,11355,1097,585,,,14908,-20311,-15762,-17671,455,-5463,-20128,,-1487,500.0,-444,,0,-2412,60917,7359,47704,169386,217090,217090,1517.0,82612.0,,-901.0,0.0,,2551.0,,19995.0,20000.0,-41586.0,0.0,0.0,0.0,,4549.0,1107.0,0.0,543.0,-17692.0,0.0,15688.0
1446,2015年01月01日至2015年09月30日,,4658,4658,,,12554,1044,,1661.0,-327,-9980,-475.0,,,,1860,-35383,1774,-37716,29910,0.0,-38185,,-3297,13870,-1725,3250,,0.0,10848,-27337,-23761,-19103,327,-5500,-21725,,-669,500.0,393,,0,-1693,47949,7199,33816,169386,203202,203202,,65064.0,,-901.0,0.0,1370.0,2551.0,,19985.0,20000.0,-41586.0,,0.0,0.0,,3576.0,-1250.0,,562.0,-13821.0,,
1446,2015年01月01日至2015年06月30日,,3972,3972,,,8185,674,,902.0,-226,-5982,-475.0,,,,3056,-10259,-354,-58521,-3484,0.0,-68867,,1565,-5910,-2668,1695,,0.0,-5875,-74742,-71664,-67692,226,-2822,-70288,,-585,500.0,427,,0,-961,91006,-5565,15580,169386,184966,184966,695.0,71962.0,0.0,,,,,,5.0,20000.0,,,0.0,0.0,,3078.0,-557.0,0.0,512.0,,,
1446,2015年01月01日至2015年03月31日,,6940,6940,,,4113,339,-682.0,420.0,-98,-3054,,,,,-94,-26366,-178,-53606,9815,,-70429,,-1739,12952,-1553,1301,,0.0,9917,-60512,-59474,-52534,98,-369,-53197,,-391,3.0,95,,-20000,-392,59442,-1322,5018,169386,174404,174404,,59444.0,,,,,,,9990.0,20000.0,,,-9992.0,,,1038.0,-1044.0,0.0,483.0,,,
1446,2014年度,,21607,21607,,,16205,1325,,1461.0,-2139,-2550,0.0,12907.0,,,-2584,-12225,1542,-401771,-36280,-947.0,-450610,,-48053,22765,-4224,-730,1519.0,,-28723,-479333,-466426,-444819,2256,-4904,-445970,,-1929,0.0,-1929,,-132571,-1548,-204526,10969,-641456,810842,169386,169386,1655.0,0.0,,-1395.0,0.0,,3045.0,0.0,0.0,0.0,-41586.0,0.0,-29967.0,-402.0,,,,,,,,
1446,2014年01月01日至2014年09月30日,,24142,24142,,,11995,974,,1080.0,-2008,-2200,0.0,8446.0,,,-1884,-51881,645,-422083,-14482,0.0,-488769,,-3275,61320,6271,4189,254.0,-402.0,68357,-420412,-411966,-387824,2125,-4608,-387262,,-748,0.0,-748,,-152185,-1250,-234980,3072,-619918,810842,190924,190924,,0.0,,-1395.0,0.0,916.0,3045.0,0.0,0.0,0.0,-41586.0,,-39959.0,,,,,,,,,
1446,2014年01月01日至2014年06月30日,,25429,25429,,,7962,643,,692.0,-1753,-3041,0.0,4503.0,,,112,-22309,777,-321126,-10657,-5.0,-353436,,11926,29303,-3024,4619,687.0,-372.0,43139,-310297,-305794,-280365,1808,-2937,-281494,,-416,0.0,-416,,-62028,-861,-102848,343,-384415,810842,426427,426427,-228.0,0.0,0.0,,,,,,,,,,-39959.0,,,,,,,,,
