公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　 處分無形資產,　　 收取之股利,　　 非控制權益變動,　　　　 股利收入,　　 發放現金股利,　　 處分以成本衡量之金融資產,　　 其他非流動資產減少,　　 發行公司債,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 短期借款增加,　　 取得採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 償還公司債
2615,2016年01月01日至2016年09月30日,,515095,515095,,,3134300,19388,387393,-163692,-47457,-219803,0.0,-803.0,-344855,,,,,-9010,39547,377154,-149451,-1668,26265,282837,,0,-610088,391154,384061,,-3645,131829,414666,3008994,3524089,-833404,2690685,,-82231,2911.0,-2361100,370676,,-10075.0,,182444,-1807389,,1587300,-4580049,-94512,-433889,-3627508,316797,-2427415,21877453,19450038,19450038,,,,196190.0,-2401.0,-170143.0,-2661957.0,,-81765.0,3000000.0,,,2594328.0,-29653.0,2558000.0,-24439.0,,,-3000000.0
2615,2016年01月01日至2016年06月30日,,462029,462029,,,2138663,13319,259601,-130804,-22357,-143073,0.0,-812.0,-149776,,,,,800,93602,280114,-176255,42360,-12373,228248,,0,-224760,461662,-265732,,31953,-5042,223206,2187967,2649996,-511063,2138933,,-82231,2943.0,-2182708,269195,,-10081.0,,137298,-1865852,,0,-2517292,-2117,-276142,-2785694,142501,-2370112,21877453,19507341,19507341,-25152.0,,,28999.0,-143.0,0.0,,,-4115.0,3000000.0,,,1964761.0,-8165.0,10000.0,,,,-3000000.0
2615,2016年01月01日至2016年03月31日,,26232,26232,,,1088634,5794,130957,-71784,-6075,-75005,,,-148763,,,,,3244,41030,469087,88484,-39216,139941,702570,,0,-237592,-311917,-55968,,-2559,-620601,81969,1005727,1031959,-43516,988443,,-53185,,-1689249,130415,,-2603.0,3277.0,66491,-1565635,,0,-1480428,64700,-70731,-1486459,166027,-1897624,21877453,19979829,19979829,,,,4293.0,,,,,,,,,923758.0,-12565.0,,-25074.0,,,
2615,2015年度,,5661569,5661569,,,4451588,28525,680180,-292726,-49789,-897118,0.0,-2299.0,63354,,,,,7058,1435891,-260532,443454,-119233,176284,1682922,,0,-285783,-143490,-308381,,11409,-955753,727169,4834768,10496337,-1763468,8732869,,-263333,14859.0,-4440672,937385,,-20261.0,0.0,290950,-3451201,,6695450,-4636915,294263,-668855,-9921938,-266552,-4906822,26784275,21877453,21877453,,,,158209.0,-43384.0,-135779.0,-4436595.0,,-48308.0,0.0,343253.0,,4107599.0,-229508.0,50000.0,-80030.0,-81590.0,-7175902.0,
2615,2015年01月01日至2015年09月30日,,5831377,5831377,,,3320554,21572,552368,-223417,-39543,-787295,0.0,-2299.0,121438,,,,,-13663,1261934,-128000,272510,-64524,-61015,1267242,,-7252690,397712,-281124,-108533,,19639,-7298733,-6031491,-3203892,2627485,-1166338,1461147,,-176152,14860.0,-4139542,848041,,-2633.0,,228988,-3189630,,5996430,-3604322,-96045,-591816,-2745870,-262018,-4736371,26784275,22047904,22047904,,,,155931.0,-50522.0,-135779.0,-4436595.0,,-38489.0,0.0,,,2827599.0,-73737.0,37000.0,-80634.0,,,
2615,2015年01月01日至2015年06月30日,,3979257,3979257,,,2208003,14290,421238,-157583,-29294,-463840,0.0,-2299.0,-118284,,,,,-709,971091,168922,-21897,-7738,109634,1219303,,-7252690,504695,-216671,-282705,,828,-7324572,-6105269,-4234468,-255211,-708320,-963531,,-102294,14860.0,-2667535,473048,,-1108.0,,156162,-2177131,,4676850,-1976411,-3453,-444541,2259860,152286,-728516,26784275,26055759,26055759,-75890.0,,,21583.0,-2585.0,-1430.0,,,4043.0,,,,1870801.0,-78029.0,10000.0,,,,
2615,2015年01月01日至2015年03月31日,,2478956,2478956,,,1113241,7090,206226,-76705,-11552,-202917,0.0,0.0,-72957,,,,0.0,-11398,892175,-67961,44874,-20481,155571,992780,,-110539,-254313,-175663,-342824,,3554,-917286,75494,1037920,3516876,-71739,3445137,,-29841,0.0,-1451251,163219,,-131.0,1937.0,73288,-1242779,,3152270,-1341562,4943,-159063,1656588,20600,3879546,26784275,30663821,30663821,,,,,,,,,,,,,962426.0,-37501.0,,,,,
2615,2014年度,,6579193,6579193,,,4253614,35363,820373,-248803,-59076,-284904,476.0,-61242.0,282716,4692568.0,,,0.0,5513,-652318,465813,264529,182509,-82195,183851,,374885,837544,115883,77064,-46620.0,3258,1362014,1545865,6238433,12817626,-467059,12350567,,-477972,360181.0,-3358298,295181,,-12432.0,37702.0,243467,-2771229,,2322380,-4149373,105735,-809493,-2507890,-538669,6532779,20251496,26784275,26784275,0.0,0.0,,140942.0,-2502.0,-110949.0,-1774637.0,0.0,,1800000.0,65000.0,,,,,,,,
2615,2014年01月01日至2014年09月30日,,4308620,4308620,,,3149323,27425,614339,-179987,-47191,-211442,476.0,-61242.0,106824,3288557.0,,,,7045,-408162,1894,-335959,168016,-3098,-570264,,88141,668586,-60354,-13944,-12554.0,3881,673756,103492,3392049,7700669,-382590,7318079,,-423816,360181.0,-2312802,206882,,-5683.0,,177786,-1820700,,994660,-3597483,40563,-668702,-3208101,-157213,2132065,20251496,22383561,22383561,0.0,,,140188.0,-2502.0,-109968.0,-1774637.0,,36564.0,1800000.0,,,,,,,,,
2615,2014年01月01日至2014年06月30日,,2150278,2150278,,,2088369,19205,412321,-116666,-31775,-157820,476.0,-32286.0,34875,2214835.0,,,,-11470,-297923,375730,-87331,79407,27138,85551,,1025,192916,-257074,42379,7228.0,7323,-6203,79348,2294183,4444461,-220970,4223491,,-68386,186589.0,-1951016,152195,,-4971.0,,109349,-1509738,,994660,-2728686,21986,-448066,-2162609,4977,556121,20251496,20807617,20807617,0.0,33809.0,,32315.0,-2503.0,-1864.0,,,378.0,,,,,,,,,,
