公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 無活絡市場之債務商品投資到期還本,　　 處分不動產、廠房及設備,　　 存入保證金增加,　　 取得無活絡市場之債券投資,　　 其他非流動資產增加,　　 存出保證金增加
8422,2015年01月01日至2015年09月30日,,1052049,1052049,,,132588,-19260,10,113338.0,,,271375,1367,7274,280016,,-378,219466,-2500,-3402,136,-381.0,212941,492957,606295,1658344,19260,-185495,1492109,,-726080.0,-165082,0.0,14475.0,-90434.0,-967121,,-17612.0,-871104.0,0.0,-888716,455,-363273,1187934,824661,824661,,,,,,,,,
8422,2015年01月01日至2015年06月30日,,680300,680300,,,89256,-11914,10,77352.0,,,255196,2016,4811,262023,,-448,111469,-5000,-5372,-84,-161.0,100404,362427,439779,1120079,11914,-123818,1008175,,-321201.0,-134855,0.0,20449.0,-4815.0,-440422,,-15855.0,,,-15855,2,551900,1187934,1739834,1739834,,,,,,,,,
8422,2015年01月01日至2015年03月31日,,346736,346736,,,44325,-5087,10,39248.0,,,-94875,215,-794,-95454,,467,-10636,-2500,-5511,216,-76.0,-18040,-113494,-74246,272490,5087,-208,277369,,-98870.0,-49956,0.0,1698.0,-4147.0,-151275,,-15855.0,,,-15855,72,110311,1187934,1298245,1298245,,,,,,,,,
8422,2014年度,,1216770,1216770,,,157124,-21538,880,,,,221686,-527,7466,228625,,-6377,-3037,5000,7376,-55920,,-53228,175397,311863,1528633,21538,-171726,1378445,,,-535123,145102.0,6631.0,-196160.0,-245174,,,-871104.0,2238.0,-863053,24,270242,917692,1187934,1187934,,136466.0,-270.0,334376.0,0.0,5813.0,,,
8422,2014年01月01日至2014年09月30日,,886933,886933,,,119157,-17105,20,102072.0,,,232560,29,-1056,231533,,-7306,-3109,2500,987,-56111,-200.0,-63239,168294,270366,1157299,17105,-169281,1005123,,451862.0,-488746,145102.0,6142.0,-196074.0,-81714,,-4126.0,-871104.0,2238.0,-872992,-18,50399,917692,968091,968091,,,,,,,,,
8422,2014年01月01日至2014年06月30日,,620013,620013,,,74456,-11648,46,62854.0,,,118058,-760,4707,122005,,-586,913,5000,-3675,-9244,-131.0,-7723,114282,177136,797149,11648,-107174,701623,,99232.0,-358439,145102.0,4259.0,-25558.0,-135404,,-4945.0,,,-4945,-387,560887,917692,1478579,1478579,,,,,,,,,
8422,2014年01月01日至2014年03月31日,,319042,319042,,,37079,-5653,0,31426.0,,,81046,313,-1590,79769,,-3262,-26831,2500,-8343,-281,-62.0,-36279,43490,74916,393958,5653,-48,399563,,-54868.0,-209793,29020.0,-1885.0,-11087.0,-248613,,-2520.0,,,-2520,-129,148301,917692,1065993,1065993,,,,,,,,,
8422,2013年度,,1431288,1431288,,,162362,-20180,1861,,,,-179793,6142,-29476,-203127,,-10816,-859,-5000,11709,55765,,50559,-152568,-8525,1422763,20180,-185964,1256979,,,-131159,0.0,-12230.0,-261760.0,-722328,,,-1310005.0,0.0,-1257005,726,-721628,1639320,917692,917692,,144043.0,-240.0,-317236.0,57.0,53000.0,,,
8422,2013年01月01日至2013年12月31日,,1431288,1431288,,,162362,-20180,1861,,,,-179793,6142,-29476,-203127,,-10816,-859,-5000,11709,55765,,50559,-152568,-8525,1422763,20180,-185964,1256979,,,-131159,,,-261760.0,-722328,,,-1310005.0,,-1257005,726,-721628,1639320,917692,917692,,144043.0,-240.0,,57.0,53000.0,-317236.0,,-12230.0
8422,2013年01月01日至2013年09月30日,,1050080,1050080,,,124604,-16982,1852,,,,-337229,1818,-7864,-343275,,-2448,459,-2500,7881,-1443,,1762,-341513,-232039,818041,16982,-185154,649869,,,-99285,0.0,-8598.0,-225168.0,-652073,,19625.0,-1310005.0,0.0,-1290380,624,-1291960,1639320,347360,347360,,109474.0,-187.0,,,,-317950.0,-1072.0,
8422,2013年01月01日至2013年06月30日,,597016,597016,,,79613,-10910,1852,,,,-134418,4013,829,-129576,,-3724,6024,0,3754,2606,,8531,-121045,-50490,546526,10910,-108552,448884,,,-19566,0.0,-15656.0,-192416.0,-1397996,,8246.0,,,8246,770,-940096,1639320,699224,699224,,70555.0,-129.0,-1169285.0,,,,-1073.0,
8422,2013年01月01日至2013年03月31日,,290536,290536,,,38638,-6166,1394,,,,-70145,1373,-5789,-74561,,-8280,11425,-2500,3036,-1004,,2613,-71948,-38082,252454,6166,-491,258129,,,-9287,0.0,-18662.0,-27877.0,-1084911,,341.0,,,341,530,-825911,1639320,813409,813409,,33866.0,-64.0,,,,-1029085.0,,
8422,2012年01月01日至2012年12月31日,,1630729,1630729,,,158100,-17226,93,,,,-382316,1083,11860,-369373,,6382,-3222,5000,9765,-8144,,9541,-359832,-218865,1411864,17226,-200391,1228699,,,-65825,,,-398382.0,-828452,,,-1184851.0,,-1181190,-41,-780984,2420304,1639320,1639320,,140967.0,-240.0,,0.0,3661.0,-327434.0,,-36811.0
8422,2012年01月01日至2012年09月30日,,1279974,1279974,,,120333,-12444,0,,,,-297871,7280,6672,-283919,,-1759,15641,2500,7279,-9684,,13798,-270121,-162232,1117742,12444,-199722,930464,,,-65244,,,-363237.0,-1465835,,,-1184851.0,,-1182945,0,-1718316,2420304,701988,701988,,107889.0,-179.0,,,1906.0,-1045293.0,0.0,7939.0
8422,2012年01月01日至2012年06月30日,,880135,880135,,,83271,-8857,0,,,,-298539,7229,12208,-279102,,4250,-27299,5000,4422,11540,,-2206,-281308,-206894,673241,8857,-134922,547176,,,-54287,,,-212053.0,-725261,,,-1184851.0,,-1183297,0,-1361382,2420304,1058922,1058922,,74414.0,-119.0,,,1554.0,-463012.0,0.0,4091.0
8422,2012年01月01日至2012年03月31日,,415333,415333,,,43483,-3919,0,,,,-116093,2721,6644,-106728,,4543,-22374,2500,1308,-4734,,-18798,-125526,-85962,329371,3919,-463,332827,,,-214585,,13002.0,,-602609,,,,,525,0,-269257,2420304,2151047,2151047,,39564.0,-41.0,,,525.0,-401026.0,,
