公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他金融負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分以成本衡量之金融資產,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 發放現金股利,　　 其他籌資活動,　　 以成本衡量之金融資產減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加,　　 停業單位稅前淨利（淨損）
1108,2016年01月01日至2016年09月30日,,351267,342331,,,223709,6715,-60,,23293,-1344,-106.0,-9092,,,,,27247,-107,100991,-504,-44721,-65440,-40920,-38507,-61961,,,35137,44756,-111198,67476,-51790,10454,-12570,,-297854,-359815,-121754,220577,1440,-23376,-169627,29014,,-89789,80706,-28317,3173.0,-146,-172455,-24929,,-221603,,,845387.0,180000.0,301750.0,-870812,4110,0.0,113001,-1450,-81038,220129,139091,139091,,-907.0,,-5054.0,0.0,,5054.0,,-344027.0,-2500.0,5100.0,,238061.0,-280119.0,,-8936.0
1108,2016年01月01日至2016年06月30日,,254874,246092,,,154344,3895,-31,0.0,15408,-904,-100.0,-1936,0.0,,,,-70519,199,138724,0,-14641,-78510,-42072,-66,-66885,,0.0,42769,1050,5917,-8799,-52406,15347,992,,-275311,-342196,-171527,74565,959,-15661,-138071,-78208,,-62804,40685,-19091,3167.0,-152,-6709,-19597,,-59394,,,137885.0,,102888.0,-261450,4277,0.0,83600,2232,-51770,220129,168359,168359,0.0,,,-7.0,0.0,,7.0,0.0,,,5100.0,,170669.0,-280181.0,100000.0,-8782.0
1108,2016年01月01日至2016年03月31日,,126794,125787,,,77782,1760,-9,,7511,-419,,-1343,,,,,82846,199,86552,-324,-31869,-89726,-55477,-45,-7844,,,-34815,61,104951,1129,-57252,-9271,-5375,,-287436,-295280,-209998,-84211,447,-7733,-41,-91538,,-56684,31116,-12191,,0,148,11186,,-26425,,157725.0,0.0,,102888.0,-189450,4324,,75487,841,-41635,220129,178494,178494,,,,,0.0,,,,,,,,85282.0,-286864.0,,-1007.0
1108,2015年度,,616324,575652,,,342624,26319,19719,,43219,-2799,9686.0,-34247,,,,,142543,1704,77426,11,-1892,62433,-4785,-7734,269706,,,-123583,-51,-18615,3270,54419,-66802,-3734,,-165814,103892,503768,1079420,3422,-43635,-21063,1018144,,-157897,163877,-210429,1568.0,241,52938,-3407,,-134964,,-30392.0,,-59000.0,286850.0,-891978,1884,,-924963,805,-40978,261107,220129,220129,,10516.0,,-12145.0,7500.0,,12145.0,0.0,-242843.0,0.0,6000.0,,399876.0,-10718.0,,-40672.0
1108,2015年01月01日至2015年09月30日,,541388,501936,,,252484,19467,874,,33986,-2135,9673.0,-4259,,,,,128518,1903,133264,11,1749,-20906,-10681,-4527,229331,,,-77409,-51,-55013,-224,-3946,-45882,-8231,,-197312,32019,333149,835085,2114,-34207,-20870,782122,,-110617,93854,-117711,1205.0,-325,43729,-57471,,-129191,,,264577.0,-109000.0,258500.0,-807228,1530,0.0,-623948,1371,30354,261107,291461,286582,,10516.0,0.0,-12145.0,3185.0,,12145.0,4879.0,-242843.0,0.0,6000.0,,301130.0,-6556.0,,-39452.0
1108,2015年01月01日至2015年06月30日,,394180,394180,,,168097,14122,874,0.0,23717,-1460,9647.0,-4290,0.0,,,,64253,1903,27875,-482,2414,12662,-17118,-590,90917,,0.0,-116126,5412,-74308,-3700,54218,-26427,-13982,,-174523,-83606,124833,519013,1405,-23704,-14356,482358,,-110617,92875,-83661,1205.0,126,-49666,15927,,-128358,,,-65659.0,,,-177442,1330,0.0,-245771,675,108904,261107,370011,370011,0.0,,,-5453.0,3185.0,,5453.0,0.0,,,,,208439.0,390.0,-4000.0,
1108,2015年01月01日至2015年03月31日,,186946,186946,,,84417,6501,0,,12288,-615,,-4166,,,,,68395,1704,4681,-647,-20,25945,-16451,193,83800,,,-78223,1314,-52303,-1554,1234,6291,-5036,,-126640,-42840,58770,245716,648,-12480,-285,233599,,-47720,67945,-27471,,-156,144,-9877,,-17135,,0.0,-105057.0,,,-131755,30,,-236782,401,-19917,261107,241190,241190,,,,,3185.0,,,,,,,,101610.0,1637.0,,
1108,2014年度,,438060,438060,,,327333,56687,1737,,58351,-2894,-59.0,-44621,,389988.0,,,2962,-1803,-15030,3791,1983,57041,11793,-499,60238,,0.0,-13689,-105,6458,4786,-8445,25725,8361,-13547.0,9544,69782,459770,897830,2935,-59483,-10127,831155,,-51653,57116,-192747,59.0,-2592,49010,-71651,,-199779,,-215317.0,,-10000.0,268000.0,-456217,2050,0.0,-588616,1774,44534,216573,261107,261107,0.0,15000.0,0.0,-6546.0,0.0,,6546.0,0.0,-182132.0,-10000.0,6133.0,,,,,
1108,2014年01月01日至2014年09月30日,,359317,359317,,,233778,51778,-275,,44769,-2101,0.0,-44621,,276792.0,,,87072,-3243,-7034,3223,-2466,-19560,-45811,-207,11974,,0.0,-62813,4291,31712,2901,-3423,28004,1079,-15720.0,-13969,-1995,274797,634114,2144,-44800,-9825,581633,,0,56616,-104768,0.0,-1129,-306,-101215,,-144266,,0.0,-119197.0,0.0,240000.0,-403435,-50,34070.0,-440744,4358,981,216573,217554,217554,0.0,0.0,0.0,-6536.0,,,6536.0,0.0,-182132.0,-10000.0,,,,,,
1108,2014年01月01日至2014年06月30日,,262959,262959,,,154336,35389,-275,0.0,30245,-1735,0.0,-46479,0.0,167216.0,,,68249,91,-6813,3412,2757,4132,-16535,-3565,51728,,0.0,-9132,107,488,7618,10939,-7210,3516,-5259.0,1067,52795,220011,482970,1831,-30612,-7599,446590,,0,54595,-84725,0.0,-499,22,-93842,,-120184,,,-80143.0,0.0,0.0,-230487,-50,20041.0,-290639,6206,41973,216573,258546,258546,0.0,0.0,,-4265.0,,,4265.0,,,,,,,,,
