公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 員工執行認股權,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 償還公司債,　　　　 非金融資產減損損失,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 短期借款增加,　　　　　 應收票據（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產增加
2374,2015年01月01日至2015年09月30日,,914621,914621,,,374703,6892,14701.0,7899,6979,-31473,-56949.0,45798,-1150,-59642,-65631.0,-114950,-50054.0,77123.0,,,-53,44005,187038,-99612,131378,,0,-654073,-69808,44381,-2537,-682037,-550659,-473536,441085,31636,56949.0,-7499,-64130,458041,,-9598.0,83738.0,184770.0,0.0,171271.0,-326476,295962,-3026,2236.0,398877,,-154495.0,0.0,-330000,6577.0,0.0,0.0,4706,-17593.0,-490805,160498,526611,4815979,5342590,5342590,,,,,,,,,,,,,,,,,
2374,2015年01月01日至2015年06月30日,,590738,590738,,,261114,4510,,6508,5458,-23125,-17994.0,39318,-1683,-59731,-65368.0,-74236,,24717.0,,,-47,364456,396433,-202382,558460,,0,-931626,-156921,55854,-2801,-1035494,-477034,-452317,138421,23322,17994.0,-5944,-35990,137803,,-9598.0,81929.0,62459.0,0.0,170814.0,-247965,295501,-3026,12973.0,363087,,-154495.0,0.0,-330000,6558.0,,,1238,-14722.0,-491421,-101612,-92143,4815979,4723836,4723836,-50054.0,,,,,,,,,,,,,,,,
2374,2015年01月01日至2015年03月31日,,182634,182634,,,134556,2129,,-418,3192,-10286,-8417.0,24711,-1243,-7780,-65368.0,-13638,,57438.0,,,-54,332179,195223,-215607,311741,,0,-974656,-235831,6779,-2790,-1206498,-894757,-837319,-654685,10455,8417.0,-3253,-5154,-644220,,-9598.0,41337.0,0.0,,165284.0,-133986,11588,-2918,15321.0,87028,,-34495.0,0.0,-150000,,-530.0,0.0,0,-9521.0,-194546,-41146,-792884,4815979,4023095,4023095,,0.0,0.0,0.0,,,,,,,,,,,,,
2374,2014年度,,214623,214623,,,820330,7523,,169164,16812,-36737,-68680.0,64860,6362,-14336,,-55995,2380.0,,,,611504,76568,-272599,139136,554609,,-290,373888,-7472,7457,-2139,371444,926053,1811711,2026334,36450,68680.0,-18429,-20048,2092987,,-162588.0,132436.0,48444.0,7497.0,,-642466,97020,-9909,2935.0,-526631,,-413360.0,50000.0,-20000,3583.0,,-992397.0,11438,215901.0,-1144835,267692,689213,4126766,4815979,4815979,,0.0,0.0,0.0,,-9422.0,0.0,-16603.0,885658.0,0.0,,,,,,,
2374,2014年01月01日至2014年09月30日,,34975,34975,,,643019,5695,3602.0,184785,12917,-24619,-49279.0,40149,5775,2107,0.0,-10863,130.0,813418.0,,,608653,-382004,-628401,69258,-332494,,-290,809569,-116918,-14019,-10,678332,345838,1159256,1194231,24619,49279.0,-14705,-17453,1235971,,-159625.0,19117.0,48444.0,7497.0,0.0,-445908,36203,-9441,-77797.0,-581510,,-353729.0,45000.0,-10000,0.0,-55.0,-992397.0,10350,218784.0,-1082047,98487,-329099,4126766,3797667,3797667,,,,,,,,,,,,,,,,,
2374,2014年01月01日至2014年06月30日,,-199957,-199957,,,465395,3946,,217116,8660,-19549,-8230.0,15438,4506,2181,0.0,-5255,,684208.0,,,205678,-462498,-24888,106339,-175369,,-290,511278,-9758,-20446,-14,480770,305401,989609,789652,19549,8230.0,-10488,-16552,790391,,-47061.0,5452.0,48444.0,7497.0,0.0,-328749,26247,-9441,-85367.0,-382978,,-343895.0,45000.0,-5000,697.0,,,9735,220000.0,-73463,468,334418,4126766,4461184,4461184,0.0,,,,,,,,,,,,,,,,
2374,2014年01月01日至2014年03月31日,,-221433,-221433,,,288992,1901,,210781,4477,-10112,0.0,0,3834,3102,0.0,-5255,,497720.0,,,0,466196,-432356,138377,172217,,-174,-27053,-163799,-15596,6,-206616,-34399,463321,241888,10112,0.0,-6315,-5915,239770,,-2431.0,5452.0,48444.0,,0.0,-224811,18265,-4800,-26523.0,-186404,,-357620.0,45000.0,0,,-252.0,0.0,8895,0.0,-303977,92585,-158026,4126766,3968740,3968740,,0.0,0.0,0.0,,,,,,,,,,,,,
2374,2013年度,,513122,513122,,,964556,12636,,-26945,18521,-28067,-54498.0,1774,18399,-384,,2166,32356.0,,,,955234,1788280,1717666,-2606,4458574,,290,-2209482,-51976,112136,-8500,-2157532,2301042,3247621,3760743,28067,54498.0,-18429,-297589,3527290,,18176.0,0.0,0.0,8330.0,,-727307,16990,-7085,40354.0,-662050,,383314.0,300000.0,-385000,-1195.0,,-987772.0,24789,0.0,-2179145,74348,760443,3366323,4126766,4126766,,-21000.0,9492.0,0.0,,0.0,6065.0,0.0,946579.0,-1513281.0,,,,,,,
2374,2013年01月01日至2013年12月31日,,513122,513122,,,964556,12636,,-26945,18521,-28067,-54498.0,1774,18399,-384,,2166,,,,,955234,1788280,1717666,-2606,4458574,,290,-2209482,-51976,112136,-8500,-2157532,2301042,3247621,3760743,28067,54498.0,-18429,-297589,3527290,,,,,8330.0,,-727307,16990,-7085,40354.0,-662050,,,300000.0,-385000,,-1195.0,-987772.0,24789,,-2179145,74348,760443,3366323,4126766,4126766,,-21000.0,9492.0,0.0,,,6065.0,,946579.0,-1513281.0,32356.0,18176.0,0.0,383314.0,,,
2374,2013年01月01日至2013年09月30日,,402882,402882,,,562401,10883,,-3827,13958,-18782,-41770.0,1774,12783,1859,,2169,0.0,,,,955280,1498709,1173324,43545,3670858,,464,-2076293,-216962,68512,-4406,-2228685,1442173,1989686,2392568,18782,41770.0,-14682,-293014,2145424,,-16616.0,0.0,0.0,8330.0,,-565995,11089,-5970,-1372.0,-561027,,130595.0,0.0,-115500,10172.0,,-987772.0,3534,0.0,-2472252,46317,-841538,3366323,2524785,2524785,,,9507.0,,,,6065.0,,547513.0,-1513281.0,,,,,,,
