公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 其他各項負債準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付款項增加（減少）,　　　　　 應付佣金增加（減少）,　　　　　 應付再保往來款項增加（減少）,　　　　　 應付保險賠款與給付增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金減資,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款減少,　　 存出保證金增加,　　 其他資產減少,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 採用權益法之被投資公司減資退回股款,　　 其他投資活動,　　 現金增資,　　　　 處分其他資產損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他應收款減少,　　 處分持有至到期日金融資產,　　 應付短期票券減少,　　 發行公司債,　　 非控制權益變動
2514,2015年01月01日至2015年09月30日,,-310964,-310964,,,583777,21293,51181,542183,174276,-12264696,29539062,131904,71434,-3502.0,231.0,40.0,-3043548,2728055,-14818.0,-5336356,418,13180934.0,,,158501,-367483,1800,-94008,121187,-16217,1034084,1133562,1971426,,23387,-112431,-133854,-2349,22265,643415,614,-24654,416393,2387819,15568753,15257789,9996454,1180287,-247987,-275326,25911217,,-51726840,47448403,0.0,-79410833.0,61498236.0,-50476.0,-230000,761,272456.0,0.0,-683362,252638,10641.0,-14015.0,-16583,33378,-6050201,-28665797,,526774,2501161,-2592038,207649,-168964.0,-4894.0,-13556.0,456132,220928,-2077520,27969223,25891703,25891703,,,,,,,,,,,,,,,,,,,,
2514,2015年01月01日至2015年06月30日,,1355976,1355976,,,388718,13995,41454,-5894361,120541,-7856106,20567001,-214273,38822,1994.0,0.0,40.0,-2286726,1885,-18805.0,1858640,556,6763375.0,,,-852956,-6314318,1800,-163367,179234,1804,877015,100877,-6169911,,136986,-128563,-144664,-4591,-30330,5625799,1742,-281,5456098,-713813,6049562,7405538,6584028,190358,-74233,-157377,13948314,,-39419222,33266453,,-61672392.0,53272028.0,-50476.0,-230000,761,266042.0,,-490552,167016,0.0,-1428.0,0,0,-47542,-14944648,,486720,1451161,-1446966,175559,,-5747.0,,660727,-17796,-353403,27969223,27615820,27615820,0.0,-5336.0,0.0,,,,,,,,,,,,,,,,,
2514,2015年01月01日至2015年03月31日,,1382039,1382039,,,194006,6766,21172,-5528066,51656,-3899345,9754624,-87405,13480,-43.0,0.0,40.0,-1224369,1101,,816419,-6840,113196.0,,,-703171,-1239162,1200,-97685,52307,-8848,-269986,11201,-2254144,,19714,-73346,35425,-5467,766408,2162793,1900,621028,3528455,1274311,1387507,2769546,3151372,19935,-28778,-85944,5806196,,-18399659,17756025,,-29970796.0,31128466.0,-50476.0,-50000,761,,,-157267,75803,12421.0,-3603.0,-6659,0,0,359606,,240722,700635,-816606,35461,,,,160212,-57160,6268854,27969223,34238077,34238077,,,154.0,4501.0,,,,,,,,,,,,,,,,
2514,2014年度,,2001955,2001955,,,787620,36254,140095,2867395,210725,-14071144,53195819,352088,98057,22366.0,-284109.0,,-4944740,780573,-2213.0,-5586176,144,,,,1444804,-561163,12221,-27641,-128140,5532,-1415117,119262,-550242,,-6103,-58445,8791,-14086,-191724,185879,8024,-393462,-461126,-1011368,32596386,34598341,11557317,1031889,-147702,-418460,45589496,,-36900436,61844765,2257.0,,,,-102867,7513,132806.0,-804777.0,-844836,313967,3060.0,-26947.0,-9103,540950,-53479,-45239298,,657477,3620594,-3796661,188139,-332804.0,-340000.0,,460794,154341,965333,27003890,27969223,27969223,,,,-427036.0,,0.0,5000.0,33607754.0,-130729053.0,60504191.0,272000.0,5838.0,464049.0,,,,,,,
2514,2014年01月01日至2014年09月30日,,2211843,2211843,,,585383,27121,34643,117827,157909,-10135454,41975911,139473,59438,10082.0,-40659.0,0.0,-4082534,56693,-27510.0,-1483912,34,27394445.0,,,965304,-1470350,3403,-28422,-78467,-2964,875643,65265,329412,,60718,-105529,-75834,-27691,-206449,3929905,6182,-478525,3102777,3432189,30826634,33038477,8208359,980088,-113054,-222164,41891706,,-28593945,46085550,2257.0,-91130535.0,39364351.0,0.0,-15000,7512,117771.0,-340728.0,-604514,238152,7117.0,-2107.0,-570,174168,-379884,-35070405,,291640,1540635,-1526371,107425,-332804.0,-68000.0,0.0,12525,133630,6967456,27003890,33971346,33971346,,,,,,,,,,,,,,,,,,,,
2514,2014年01月01日至2014年06月30日,,470523,470523,,,388587,17658,19727,-2102732,100951,-6531372,28867466,-68107,20079,2477.0,-40050.0,0.0,-2086075,56693,-15909.0,227899,5,18857297.0,,,580777,-1043534,-5439,-62516,-44123,-5226,1089201,137694,646834,,117513,-142602,-32753,-28814,537521,1061135,4254,335236,1851490,2498324,21355621,21826144,5492443,179180,-75323,-316209,27106235,,-13533456,28947034,,-62756407.0,25853390.0,0.0,-15000,7332,115002.0,,-384770,176374,5234.0,-1559.0,-3305,148816,0,-21442394,,112104,1032924,-1315770,58975,,0.0,,-111767,21120,5573194,27003890,32577084,32577084,-3466.0,0.0,2387.0,,,,,,,,,,,,,,,,,
2514,2014年01月01日至2014年03月31日,,566231,566231,,,193956,8810,11609,-787164,50348,-3241225,13911454,83706,4218,-5846.0,-41747.0,0.0,-827906,54379,,-1198501,-8492,8207599.0,,,489249,-373230,-7155,-78199,-43224,-6362,2011261,137677,2130017,,4206,-122362,-35708,-10711,647949,865134,1942,345310,1695760,3825777,12033376,12599607,2672165,8714,-41241,-101742,15128789,,-6083971,12407406,,-27846864.0,16028329.0,0.0,-15000,3438,,,-206026,131713,4939.0,0.0,-1009,93555,-40,-5468970,,100674,402594,-682831,15043,,,,-164520,57780,9553079,27003890,36556969,36556969,,,0.0,5846.0,,,,,,,,,,,,,,,,
2514,2013年度,,939042,939042,,,748598,30019,39308,1755353,247317,-11856735,43052048,-6457,60501,0.0,0.0,,-3647969,540701,-13500.0,-2456565,31129,,,,265603,1576570,13621,40196,24191,6636,-139129,-999171,788517,,-4107,54687,71168,-3377,-187257,-43965,12429,100852,430,788947,29308705,30247747,10072926,959546,-299267,-60453,39960953,,-60956141,65196780,0.0,,,,-18024,19420,124467.0,0.0,-1175757,209049,18292.0,0.0,-6740,7563,-37793,-44141257,,160611,1911401,-1634775,187668,-112643.0,0.0,,512262,270425,-3397617,30401507,27003890,27003890,,,,-5846.0,,-3990.0,0.0,28519758.0,-87506756.0,39030683.0,0.0,0.0,0.0,,,,,,,
2514,2013年01月01日至2013年12月31日,,939042,939042,,,748598,30019,39308,1755353,247317,-11856735,43052048,-6457,60501,,,,-3647969,540701,-13500.0,-2456565,31129,,,,265603,1576570,13621,40196,24191,6636,-139129,-999171,788517,,-4107,54687,71168,-3377,-187257,-43965,12429,100852,430,788947,29308705,30247747,10072926,959546,-299267,-60453,40920499,,-60956141,65196780,,,,0.0,-18024,19420,124467.0,0.0,-1175757,209049,18292.0,,-6740,7563,-37793,-45100803,,160611,1911401,-1634775,187668,-112643.0,,,512262,270425,-3397617,30401507,27003890,27003890,,,,-5846.0,,-3990.0,,28519758.0,-87506756.0,39030683.0,,,,,,,0.0,0.0,0.0,0.0
2514,2013年01月01日至2013年06月30日,,832413,832413,,,363449,13356,36305,2048833,124093,-5693562,18450982,30407,23191,1236.0,0.0,,-1300391,19158,-11840.0,-2430562,0,,,,-259951,522735,2726,-64822,19022,3239,569359,-990795,-198487,,-28704,-190059,27456,-20571,-363130,2395334,6274,-80113,1746487,1548000,13220279,14052692,4352191,115235,-70042,-134549,18315527,,-45966009,36105574,,,,,0,2800,86204.0,,-770469,83324,,-4658.0,-4696,8070,-619,-28515271,,242874,1110778,-1172657,124339,,,,305334,-150282,-10044692,30401507,20356815,20356815,0.0,9274.0,0.0,,,,,11672279.0,-37812688.0,19768651.0,,,,-2376.0,-20029.0,,,,,
