公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　　　　 其他流動資產（增加）減少,　　 支付之利息,　　 處分不動產、廠房及設備,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計
4984,2015年01月01日至2015年09月30日,,119102,119102,,,33396,11256,-597.0,-6758,9985,2.0,4129,6891,58304.0,,,33134,2696.0,-99598,339.0,0,-63429,,2681,-2027,-6626,-5972,-69401,-11097,108005,6930,-15929,99006,,-6845,147,-3649,-8820,-19167,,-108771.0,1556.0,-107215.0,44420,17044,1267680,1284724,1284724,,,,,,
4984,2015年01月01日至2015年06月30日,,38892,38892,,,22951,7542,-592.0,-4437,7046,2.0,3032,-4152,31392.0,,,57990,,-77271,,0,-21624,,5415,-15785,-6111,-16481,-38105,-6713,32179,4575,-13482,23272,,-3920,160,-2079,-6668,-12507,,,1372.0,1372.0,-32095,-19958,1267680,1247722,1247722,0.0,-2343.0,0.0,0.0,,
4984,2015年01月01日至2015年03月31日,,16086,16086,,,11803,3977,,-2323,3707,,-1510,-1892,13762.0,,,97365,,-38814,,0,62940,,-12222,1513,-2672,-13381,49559,63321,79407,2513,-855,81065,,-1664,-675,-568,-5391,-8298,,,,,-14425,58342,1267680,1326022,1326022,,4389.0,,,,
4984,2014年度,,123778,123778,,,47377,5451,576.0,-8778,12077,55.0,295,17237,,,,-76888,,-15804,,28,-96259,,48342,41305,2295,91942,-4317,69973,193751,8724,7753,210228,,-5127,807,-11165,-5523,-21008,,-56450.0,2304.0,-54146.0,69206,204280,1063400,1267680,1267680,0.0,-3595.0,0.0,0.0,,74290.0
4984,2014年01月01日至2014年09月30日,,85256,85256,,,35481,2652,0.0,-6571,8584,22.0,913,4796,45877.0,,,-823,1693.0,3039,-2398.0,21,1532,,19386,31862,-2913,48335,49867,95744,181000,6789,-6871,180918,,-4412,178,-10973,-2010,-17217,,0.0,2079.0,2079.0,21893,187673,1063400,1251073,1251073,,,,,,
4984,2014年01月01日至2014年06月30日,,55011,55011,,,23799,1880,0.0,-4443,5609,22.0,-239,1657,28285.0,,,-44805,,-6167,,16,-50933,,20244,9520,-1129,28635,-22298,5987,60998,4526,-6003,59521,,-2602,179,-8454,-887,-11764,,,25.0,25.0,-400,47382,1063400,1110782,1110782,0.0,23.0,0.0,0.0,,
4984,2014年01月01日至2014年03月31日,,22986,22986,,,12029,949,,-2212,2873,,42,6157,19838.0,,,-30451,,-5033,,8,-35043,,35601,6355,-1151,40805,5762,25600,48586,2295,-1219,49662,,-1414,179,-4032,-141,-5408,,,,,21523,65777,1063400,1129177,1129177,,433.0,,,,
4984,2013年度,,17914,17914,,,56118,3771,0.0,-8427,7701,139.0,-2692,7591,,,,-41249,,93450,,-10,48651,,-11192,-1934,957,-12169,36482,100684,118598,8387,-8856,118128,,-10084,-322,-35260,-5355,-50924,,-67633.0,1818.0,-65815.0,29597,30986,1032414,1063400,1063400,1.0,-3540.0,-1.0,97.0,,64202.0
4984,2013年01月01日至2013年12月31日,,17914,17914,,,56118,3771,0.0,-8427,7701,139.0,-2692,7591,,,,-41249,,93450,,-10,48651,,-11192,-1934,957,-12169,36482,100684,118598,8387,-8856,118128,,-10084,-322,-35260,-5355,-50924,,-67633.0,1818.0,-65815.0,29597,30986,1032414,1063400,1063400,1.0,-3540.0,-1.0,97.0,,64202.0
4984,2013年01月01日至2013年09月30日,,-10471,-10471,,,42481,2836,0.0,-6477,5265,140.0,-5270,6676,,,,-80941,,58000,,-15,-34548,,8537,9187,289,18013,-16535,29116,18645,6506,-9536,15615,,-8252,-174,-30230,-5169,-43763,,-67633.0,1797.0,-65836.0,20379,-73605,1032414,958809,958809,0.0,-11592.0,0.0,62.0,,45651.0
