公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 停業單位稅前淨利（淨損）,　　 存入保證金減少,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 存出保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　 短期借款減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加
6133,2015年01月01日至2015年09月30日,,52823,52823,,,65791,1307,0.0,0,-7059,32,-1073.0,1113,0,141,60252.0,,,630,65650,-1023,30123,-417,94963,,-489,-51569,-6001,3980,0,-54079,40884,101136,153959,0,-10341,143618,,-101563.0,10093.0,-10193,24,-1342,-250,0.0,2912,1023,-99296,,0.0,313,0.0,0,34121.0,34434,9611,88367,421690,510057,510057,,,,,,,,,,,,,,,,
6133,2015年01月01日至2015年06月30日,,9745,9745,,,43737,958,,0,-4648,19,-1073.0,2146,0,94,41233.0,,,-2943,83080,-1159,22208,1170,102356,,491,-60369,-11211,4717,0,-66372,35984,77217,86962,0,-5907,81055,,,10093.0,-8373,24,-1471,-150,0.0,2427,1084,-65892,,,390,,0,34121.0,34511,-10557,39117,421690,460807,460807,-69526.0,0.0,,,,,,,,,,,,,,
6133,2015年01月01日至2015年03月31日,,-4871,-4871,,,22235,508,,0,-2397,27,-1073.0,-257,0,47,19090.0,,,-1388,61498,-6295,1161,29,55005,,-1429,-42924,-1642,6972,0,-39023,15982,35072,30201,0,-544,29657,,,10093.0,-5097,2,-1723,-150,,-61,531,-14819,,,0,,0,12300.0,34995,-4256,45577,421690,467267,467267,-18414.0,,0.0,-3.0,22698.0,,,,,,,,,,,
6133,2014年度,,57980,57980,,,90820,4580,0.0,1684,-8792,224,,7364,-27,140,,,,-1492,-53000,5072,-72062,-589,-132267,,287,39719,18011,1134,-1913,57238,-75029,20964,78944,-44,-3067,75833,,,,-22836,1426,0,-470,0.0,-9876,5648,74579,,-200.0,290,-32373.0,0,16136.0,-16147,15268,149533,272157,421690,421690,,,,,,,95993.0,-10196.0,-1191.0,0.0,101770.0,0.0,108.0,,,
6133,2014年01月01日至2014年09月30日,,30655,30655,,,67601,3818,0.0,1661,-6747,147,0.0,5115,-27,138,71706.0,,,-1355,-5521,6072,-37881,-14005,-52690,,303,14301,3465,-914,-140,17015,-35675,36031,66686,-21,-4180,62485,,-2899.0,0.0,-14451,991,419,-470,0.0,0,3424,-12986,,-200.0,280,-32373.0,0,0.0,-32293,1163,18369,272157,290526,290526,,,,,,,,,,,,,,,,
6133,2014年01月01日至2014年06月30日,,16477,16477,,,45269,2553,,1651,-4489,138,0.0,4105,0,92,49319.0,,,-1144,33017,-9613,-9633,-3133,9494,,-946,-9611,-2724,4360,-93,-9014,480,49799,66276,-21,-1333,64922,,,0.0,-11464,993,431,-280,0.0,-303,3066,-3976,,,286,,0,0.0,286,-6908,54324,272157,326481,326481,0.0,3581.0,,,,,,,,,,,,,,
6133,2014年01月01日至2014年03月31日,,14946,14946,,,22900,1278,,1599,-2073,39,0.0,929,0,47,24719.0,,,-944,25481,-4965,-5888,-7640,6044,,-968,-7030,11798,2277,-47,6030,12074,36793,51739,0,1740,53479,,,0.0,-6966,1008,55,0,,-588,1001,-6952,,,242,,0,0.0,242,569,47338,272157,319495,319495,-1462.0,,0.0,0.0,0.0,,,,,,,,,,,
6133,2013年度,,14782,14782,,,89963,4844,-5836.0,6432,-7809,416,,-2620,275,181,,,,53,16703,-4684,-7526,-55,-2815,,-1850,55436,-20667,2498,-74,35343,32528,118374,133156,0,-9316,123840,,,,-9499,346,-6866,-1891,559.0,-2632,2668,-260996,,-63647.0,330,0.0,-8892,0.0,-72209,14795,-194570,466727,272157,272157,,,,,,,85846.0,-7306.0,0.0,-243681.0,0.0,0.0,0.0,,,
6133,2013年01月01日至2013年12月31日,,14711,14711,,,89963,4844,-5836.0,6432,-7738,416,,-2620,275,181,,,,53,16703,-4684,-7526,-55,-2815,,-1850,55436,-20667,2498,-74,35343,32528,118445,133156,0,-9316,123840,,,,-9499,346,-6866,-1891,559.0,-2632,2597,-261067,,-63647.0,330,,-8892,,-72209,13767,-195669,450768,255099,255099,,,,,,,85917.0,-7306.0,,-243681.0,,0.0,0.0,0.0,0.0,
6133,2013年01月01日至2013年09月30日,,-1523,-1523,,,68125,3575,-5836.0,4849,-5662,413,,-4957,275,137,,,,-1501,48255,-6028,4315,264,37970,,-367,43415,-31073,3128,-295,14808,52778,113697,112174,0,-8851,103323,,-168546.0,,-7310,351,-6845,-1816,495.0,-898,521,-184048,,-63647.0,301,0.0,-8892,,-72238,8172,-144791,466727,321936,321936,,,,,,,60919.0,-7335.0,,,,,,,,
