公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 預收款項增加（減少）,　　 取得備供出售金融資產,　　 存出保證金增加,　　 取得無形資產,　　 收取之股利,　　 償還長期借款,　　 發放現金股利,　　 短期借款增加,　　 存入保證金增加,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　　　　 遞延貸項增加（減少）,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得子公司股權,　　 非控制權益變動,　　　　　 其他營業負債增加（減少）,　　　　 處分投資損失（利益）,　　　　　 其他金融負債增加（減少）,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 處分無活絡市場之債務工具投資,　　 其他非流動資產增加,　　 其他非流動資產減少
1233,2016年01月01日至2016年09月30日,,150626,,150626,,,48839,1946,548,-188,730,,,,-648,28547,-3374.0,22294,-2058,-928,,43833,,-2753,14259,-37816,2285.0,,-29566,14267,58920,209546,188,-548,-31141,178045,,,-53504,386,687,-15826,,-181000,0.0,-160155,-40,2024,213357,215381,215381,-7329.0,-6880.0,,-1261.0,-1522.0,7329.0,,-181578.0,201000.0,1423.0,,,,,,,,0.0,,,,0.0,,44653.0,1339.0,,107.0,0.0,11470.0,-12234.0,32823.0
1233,2016年01月01日至2016年06月30日,,112976,0.0,112976,,,32453,1273,350,-168,571,,,,-610,9959,-448.0,27662,4125,-401,,40287,,-16433,7789,-37952,2003.0,,-49273,-8986,21632,134608,168,-350,-13604,120822,,,-45905,190,686,-9869,,-131000,0.0,-80043,393,31303,213357,244660,244660,-4491.0,-5590.0,,-557.0,-469.0,4491.0,,-394.0,50000.0,1351.0,,,,,,,,0.0,,,,0.0,,30618.0,910.0,,630.0,,11470.0,-8500.0,28725.0
1233,2016年01月01日至2016年03月31日,,61113,,61113,,,15922,635,271,-20,637,,,,-1830,5404,-171.0,23323,2055,-391,23021.0,51411,,-13693,4519,-60587,2059.0,,-71120,-19709,-1837,59276,20,-216,-30,59050,,,-38502,124,406,-27080,,-70000,,-18971,584,13583,213357,226940,226940,,-3899.0,,-160.0,-418.0,,,,50000.0,1029.0,,,,,,,,,,,,,,17872.0,481.0,,427.0,,11470.0,,
1233,2015年度,,245817,,245817,,,59984,2267,818,-262,-33893,,,,580,33539,1409.0,3343,-36,612,-1536.0,37911,,-10397,6767,-13257,212.0,,-21115,16796,33923,279740,262,-818,-43191,235993,,,-92461,45589,3383,-58046,,-188000,,-165210,-1485,11252,202105,213357,213357,-12810.0,-6313.0,,-5252.0,-955.0,12810.0,,-191487.0,224000.0,388.0,0.0,,,,,0.0,0.0,-10111.0,,0.0,,0.0,,17127.0,1873.0,-11470.0,1023.0,-9690.0,0.0,,
1233,2015年01月01日至2015年09月30日,,165223,0.0,165223,,,44339,1694,511,-210,493,,,,-232,39013,-1396.0,2067,-2069,-622,15236.0,51997,,-4719,16885,-36947,3937.0,,-29476,22521,57386,222609,210,-394,-42947,179478,,,-88709,1154,3098,-86402,,-115000,-146.0,-142210,-1670,-50804,202105,151301,151301,-12810.0,-8008.0,,-4993.0,-72.0,12810.0,,-191487.0,174000.0,534.0,0.0,,-2093.0,,,0.0,,-10111.0,0.0,0.0,,0.0,,34865.0,1469.0,0.0,848.0,-9690.0,,,
1233,2015年01月01日至2015年06月30日,,112658,0.0,112658,,,28833,1130,222,-184,463,,,,1045,41554,-6193.0,25292,4590,-2756,-9928.0,53604,,-2098,2352,-43386,,,-50957,2647,23890,136548,184,-222,-21263,115247,,,-42486,688,190,-34732,,-60000,-146.0,-36856,-864,42795,202105,244900,244900,-9221.0,-9760.0,,-2272.0,-73.0,9221.0,,-1244.0,24000.0,534.0,0.0,,,,,0.0,,0.0,889.0,0.0,,0.0,,21243.0,1046.0,0.0,,,,,
1233,2015年01月01日至2015年03月31日,,72792,0.0,72792,,,14423,565,198,-69,-20,,,,-427,18092,979.0,26045,1993,-2110,-7598.0,36974,,-24777,3611,-61708,,,-88665,-51691,-36594,36198,69,-148,-210,35909,,,-10289,170,0,-12044,,-30000,,-14466,-1096,8303,202105,210408,210408,,-3502.0,,-1925.0,0.0,,,,15000.0,534.0,0.0,,-3325.0,,,0.0,,,411.0,,,,,15097.0,625.0,,,,,,
1233,2014年度,,278652,,278652,,,60699,2184,605,-547,1308,44554.0,,,245,-5609,-1290.0,-33675,-1117,293,-3846.0,-44999,,-2138,-8841,-4969,-1770.0,-1350.0,-16612,-61611,-17057,261595,547,-665,-45622,215855,,,-52480,769,1101,-41823,,-50000,,-192513,1223,-17258,219363,202105,202105,-12952.0,2456.0,,-881.0,-2114.0,12952.0,,-209726.0,55000.0,412.0,-6519.0,,,4980.0,0.0,-6150.0,9898.0,0.0,,-224.0,,1903.0,,,,,,,,,
1233,2014年01月01日至2014年09月30日,,220760,,220760,,,45727,1620,311,-357,1287,32286.0,,,16,43265,,-21741,-2508,-786,-421.0,17491,,-26022,14061,-49491,-1621.0,570.0,-65892,-48401,-16115,204645,357,-270,-44825,159907,,-4131.0,-40061,624,527,-42628,,0,,-143567,303,-25985,219363,193378,193378,-9559.0,-3389.0,,-881.0,-2115.0,9559.0,,-209726.0,55000.0,,-6519.0,-334.0,,,,-6150.0,,9256.0,,-224.0,,1903.0,,,,,,,,,
1233,2014年01月01日至2014年06月30日,,160179,0.0,160179,,,30516,1055,73,-267,746,17147.0,,,-101,24504,,-498,3721,-1946,18009.0,42891,,-3935,2210,-47818,-1002.0,570.0,-53653,-10762,6385,166564,267,-133,-22235,144463,,-12909.0,-35232,575,173,-48020,,-40000,,-35818,297,60922,219363,280285,280285,-8339.0,-1381.0,,-701.0,-2115.0,8339.0,,-1364.0,,,-6519.0,-798.0,,,,-6150.0,,4602.0,,-118.0,-2297.0,944.0,,,,,,,,,
