公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 其他項目,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 收取之股利,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 處分採用權益法之投資,　　 應付短期票券增加,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　　　　 遞延貸項增加（減少）,　　 其他金融資產增加,　　　　　 應付建造合約款增加（減少）,　　 其他金融負債減少,　　 以成本衡量之金融資產減資退回股款,　　　　 金融資產重分類淨損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 取得子公司股權
1503,2016年01月01日至2016年09月30日,,1394193,1394193,,,429387,20779,-11871,-4889,31649,-11068,-248463,2396,0,,,,,4614,-158107,-17,-964,-6384,-598248,12564,1258,-286454,-48991,-1080729,,0,-106005,789063,16237,,-11823,-8728,-60035,101283,,-136802,-1217531,-1031012,363181,10809,-32094,-154625,187271,,0,0,,,-80000.0,,-332575,10685,0.0,-120313,-394372,,1625806,,,,230.0,-29625,,1114792,-184291,723400,1468269,2191669,2191669,-21805.0,,0.0,,43334.0,404.0,,,299839.0,-781458.0,,15032.0,-25958.0,25837.0,,2407.0,,,186519.0,-897663.0,108048.0,0.0
1503,2016年01月01日至2016年06月30日,,934268,934268,,,285283,14108,-6269,-3414,19211,-5635,-141548,852,0,,,,,2625,-91255,549,-155737,5427,-601538,-1517,1052,-142477,-14987,-997858,,2693,-113898,687189,19991,,-57159,-10831,-40304,52434,,-321477,-1319335,-1161198,-226930,5298,-19245,-139134,-380011,,0,0,,,-80000.0,,-194233,13403,0.0,-90152,-350489,,840327,,,,0.0,-14140,,1125642,-82063,313079,1468269,1781348,1781348,-4451.0,,0.0,,32994.0,,,,299979.0,,,-518.0,-19188.0,7732.0,-524.0,0.0,,,158137.0,-868806.0,-13313.0,0.0
1503,2016年01月01日至2016年03月31日,,493653,493653,,,142569,7043,-13276,-109,9424,-2865,-82805,568,0,,,,,-1944,60548,61,7200,5513,-300089,7954,3739,-96992,-11503,-325513,,2617,-26184,145767,10824,,-230617,-16522,-86185,19311,,-227303,-552816,-492448,1205,2933,-8806,-13495,-18163,,0,0,,,,,-71436,3605,0.0,-44587,-67642,,359252,,,,157.0,0,,359519,-55383,218331,1468269,1686600,1686600,-181.0,,0.0,,181.0,,,,110.0,,,-262.0,-10193.0,-832.0,0.0,,,,60368.0,-45220.0,54788.0,
1503,2015年度,,1626173,1626173,,,562470,29249,34360,-1959,42052,-21546,-298647,-11423,-4195,0.0,,,,1559,67429,-549,-209377,5619,-149455,9983,-1345,77393,-42878,-241621,,-2234,65301,-46210,-26747,,58725,-6340,-31231,-133297,,-163752,-405373,-105032,1521141,21361,-42697,-313735,1186070,,-140000,140057,,,-80103.0,,-491353,35920,47151.0,-127964,-423561,,-67886,,,,10275.0,-27185,,-666781,-51487,44241,1424028,1468269,1468269,-30336.0,0.0,4905.0,0.0,126763.0,316.0,,,199852.0,-781458.0,,14196.0,0.0,-10608.0,0.0,12778.0,,,300341.0,-45307.0,48285.0,-379.0
1503,2015年01月01日至2015年09月30日,,1242041,1242041,,,417677,23058,-53924,-1528,31635,-16641,-220910,-14355,-4195,0.0,,,,1404,-26673,-488,-138574,-4317,-112025,14634,-410,-180716,-65860,-513025,,-2234,-21128,49154,46826,,-39718,-15026,-13362,-78801,,-128672,-641697,-510900,731141,16375,-31368,-294691,421457,,-140000,140057,,,-80103.0,,-297382,32034,45969.0,-115433,-330525,,451772,,,,3464.0,-27185,,46095,-4517,132510,1424028,1556538,1556538,-30336.0,0.0,4905.0,0.0,39365.0,316.0,,,399881.0,-781458.0,,-553.0,0.0,-10132.0,0.0,12778.0,,,130797.0,-43698.0,27285.0,-379.0
1503,2015年01月01日至2015年06月30日,,858663,858663,,,276489,15812,-66966,-224,20365,-10669,-123228,-14183,-1773,,,,,152,3917,-626,58334,-5424,-35969,17317,-2524,105046,-73850,66373,,-2080,-64912,-258557,10813,,-75250,-16591,-9724,32658,,-402778,-336405,-255492,603171,10468,-19837,-179597,414205,,-140000,140057,,,-103.0,,-204257,27919,45928.0,-77696,-230503,,275118,,,,1972.0,-15620,,261091,-70749,374044,1424028,1798072,1798072,-14710.0,0.0,350.0,0.0,29948.0,,,,,,,-371.0,,2033.0,0.0,9410.0,,,80913.0,-20797.0,-62059.0,-379.0
1503,2015年01月01日至2015年03月31日,,477297,477297,,,137093,7481,-34308,66,9873,-4786,-52877,475,-222,,,,,0,158724,0,-34833,10774,-5559,7793,-1147,-124541,-19902,-8691,,-2095,-18831,-130963,-36817,,-211887,-21946,-3402,-135503,,-541443,-550134,-487339,-10042,4749,-8715,-21054,-35062,,-140000,140057,,,,,-92076,3517,48805.0,-50034,-97992,,379844,,,,,-1480,,377659,-38595,206010,1424028,1630038,1630038,,,165.0,,,,,,,,,-182.0,,32901.0,-705.0,,,,62795.0,-12718.0,-8426.0,
1503,2014年度,,1657562,1657562,,,523688,27519,-6431,5817,40801,-23775,-241302,6816,-4461,3873.0,300714.0,,,0,-11155,858,-203480,25244,-96062,1779,-2127,-340226,-25653,-650822,,-6126,-58981,-162860,-28192,,12798,-2053,-1427,231376,-70502.0,-75182,-726004,-425290,1232272,23705,-40820,-248957,966200,,-1765000,1941808,-184264.0,,-80000.0,,-659072,8973,,-164298,-848185,,77291,,0.0,0.0,0.0,-29244,,-682399,133008,-431376,1855404,1424028,1424028,-33593.0,809.0,1620.0,-7155.0,95167.0,953.0,0.0,,0.0,-729361.0,0.0,-698.0,-52254.0,11483.0,-1085.0,16290.0,0.0,,,,,
1503,2014年01月01日至2014年09月30日,,1303335,1303335,,,389088,19366,-31843,1173,33108,-16059,-187238,1174,-1390,2697.0,174863.0,,,0,30665,292,111300,44308,-111006,20116,-2980,-466530,-74082,-447917,,-1199,-74880,-80426,67627,,-186462,-7851,-49197,188031,-31368.0,-179000,-626917,-452054,851281,15908,-32718,-206908,627563,,-1565000,1725457,-27209.0,,-80000.0,,-465944,4433,0.0,-93880,-490372,,281014,0.0,0.0,0.0,0.0,-29244,,-478557,33850,-307516,1855404,1547888,1547888,-36022.0,809.0,1561.0,-7155.0,33371.0,0.0,0.0,,,-729361.0,0.0,-520.0,-29777.0,-2755.0,-966.0,13771.0,,,,,,
1503,2014年01月01日至2014年06月30日,,837377,837377,,,259799,13344,-4993,-1761,21540,-9990,-98080,-44,-1277,,154118.0,,,1578,-36722,370,155764,28925,-50398,-4315,-1328,-152877,-47268,-106271,,-2543,-79932,4412,-19937,,-124257,-7726,10079,88224,-20123.0,-155587,-261858,-107740,729637,9890,-21342,-140072,578113,,-1015000,1175344,-180193.0,,,,-270720,2846,8714.0,-108238,-349793,,-239870,0.0,0.0,0.0,0.0,-13740,,-253976,-10137,-35793,1855404,1819611,1819611,-25229.0,809.0,1561.0,-7155.0,29277.0,,0.0,,,,,-577.0,,-3207.0,-366.0,13771.0,,,,,,
