公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付建造合約款增加（減少）,　　　　　 其他營業負債增加（減少）,　　 舉借長期借款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　　　　 應付建造合約款（增加）減少
3032,2015年01月01日至2015年09月30日,,216520,216520,,,106863,2036,3714,-113.0,1437,-2544,-3633.0,0.0,-1615,1825.0,107970.0,,,-2427,-166972,19078,-31027,-117987,675,-18345,-317005,,267,109726,16915,-3678,8851,34.0,132115,-184890,-76920,139600,2502,3633.0,-1460,-64940,79335,,-68761,1749,-3.0,1196,0.0,-2625.0,0.0,-17840.0,0.0,-86284,,400000,-285000,100000.0,-4166,160,-26.0,-206572.0,4396,9331,6778,385218,391996,391996,,,,,,,,,,,,
3032,2015年01月01日至2015年06月30日,,111461,111461,,,73247,1365,72,-2624.0,566,-1678,,0.0,-69,2127.0,73006.0,,,-2332,115148,6860,-33861,-67645,-847,-8565,8758,,870,-106682,-290,-3767,-4935,34.0,-114770,-106012,-33006,78455,1637,,-589,-40853,38650,,-46243,89,-3.0,1194,0.0,-1836.0,0.0,-14372.0,0.0,-61171,,230000,-205000,,-4166,107,-26.0,,20915,-33825,-35431,385218,349787,349787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3032,2015年01月01日至2015年03月31日,,73196,73196,,,36711,688,72,-3285.0,291,-822,,0.0,15,3893.0,37563.0,,,347,12120,-6392,-4707,-70222,-5091,-10002,-83947,,547,-40555,3688,-3208,-3523,34.0,-43017,-126964,-89401,-16205,1146,,-313,-8119,-23491,,-30694,3,,1194,,-1582.0,,-2469.0,,-33548,,85000,-85000,,-4166,54,-26.0,,-4138,-23725,-84902,385218,300316,300316,,,,,,,,,,,,
3032,2014年度,,260562,260562,,,145830,2624,2585,2581.0,1939,-4047,-2493.0,5978.0,18,662.0,,,,-152,-321267,-47412,-22816,-26166,6205,-2354,-413962,,-775,114314,65687,2235,44280,,224812,-189150,-33473,227089,3581,2493.0,-2061,-24197,206905,,-131043,1442,-247.0,323,-940.0,,808.0,-23693.0,0.0,-153350,,120000,-90000,,-101667,699,-521.0,-58644.0,-130133,54475,-22103,407321,385218,385218,,,,,,,,,155677.0,-929.0,0.0,
3032,2014年01月01日至2014年09月30日,,206591,206591,,,107695,1936,-18,-250.0,1540,-3127,-2493.0,5978.0,-197,0.0,111064.0,,,-5289,-225642,4349,-22953,-5107,-1113,2382,-253373,,364,18772,62985,-124,25257,288.0,107542,-145831,-34767,171824,3669,2493.0,-1625,-28656,147705,,-94911,1369,-3.0,323,-940.0,-1570.0,0.0,-31209.0,0.0,-126941,,90000,-60000,0.0,-72500,112,0.0,-51643.0,-94031,8395,-64872,407321,342449,342449,,,,,,,,,,,,
3032,2014年01月01日至2014年06月30日,,156298,156298,,,71717,1278,748,782.0,1103,-2228,,1135.0,380,0.0,74915.0,,,-743,-146608,-27615,-60224,-81231,5334,8317,-302770,,791,128787,48673,-154,19120,192.0,197409,-105361,-30446,125852,2770,,-1177,-18336,109109,,-47815,664,-3.0,320,0.0,-1381.0,0.0,-11493.0,0.0,-59708,,30000,-30000,,-48333,69,0.0,,-48264,-5205,-4068,407321,403253,403253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3032,2014年01月01日至2014年03月31日,,74329,74329,,,35904,641,289,5819.0,606,-1257,,-1961.0,122,0.0,40163.0,,,-883,-106640,-11938,-25924,-76267,7876,-21385,-235161,,677,85794,18439,-221,34805,96.0,139590,-95571,-55408,18921,1655,,-640,-5709,14227,,-17442,281,,320,,-1512.0,,-1480.0,,-19833,,40000,-40000,,-24166,72,0.0,,-24094,18410,-11290,407321,396031,396031,,,,,,,,,,,,
3032,2013年度,,60430,60430,,,137447,2330,1176,-617.0,4873,-4276,-1410.0,-947.0,-528,0.0,,,,-756,-27870,-16184,15313,9715,-4193,-39739,-63714,,994,166817,-24949,949,11680,,155853,92139,230187,290617,4153,1410.0,-5058,-3518,287604,,-70337,4474,-2000.0,3423,-1783.0,,6836.0,-14105.0,1109.0,-140524,,80000,-90000,,-121667,168,-596.0,-30986.0,-163081,42233,26232,381089,407321,407321,,,,,,,,,138048.0,362.0,-68141.0,
3032,2013年01月01日至2013年12月31日,,60430,60430,,,137447,2330,1176,-617.0,4873,-4276,-1410.0,-947.0,-528,0.0,,,,-756,-25162,-16184,15313,9715,-4193,-39739,-61006,,994,166817,-24949,-1759,11680,,153145,92139,230187,290617,4153,1410.0,-5058,-3518,287604,,-70337,4474,-2000.0,3423,-1783.0,0.0,6836.0,-14105.0,1109.0,-140524,,80000,-90000,,-121667,0,-428.0,-30986.0,-163081,42233,26232,381089,407321,407321,0.0,,,,,0.0,,,138048.0,362.0,-68141.0,
3032,2013年01月01日至2013年09月30日,,61233,61233,,,103521,1741,1564,-392.0,3490,-2345,-1411.0,0.0,-72,,,,,-225,21205,-24740,75046,14467,-4549,-25425,55779,,669,40094,-11406,-1688,23096,,51037,106816,212912,274145,2270,1411.0,-3647,-4169,270010,,-45421,3628,-2000.0,3405,-350.0,0.0,6220.0,-14105.0,1109.0,-47514,,40000,-50000,,-97500,108,-596.0,-30986.0,-138974,27428,110950,381089,492039,492039,,,,,,,,,106096.0,272.0,,
