公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無形資產,　　 其他金融資產減少,　　 存入保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　 取得無活絡市場之債券投資,　　 取得投資性不動產,　　 存入保證金增加,　　 現金增資
9927,2015年01月01日至2015年09月30日,,433223,433223,,,53890,1070,44069,13217,-8989,-35755.0,725,-18442,12473,834,63092.0,,,-28526,620,25109,-2598,130605,41117,-9241,157086,,-150.0,69616,-322,141,-4445,-26,-4878.0,59936,217022,280114,713337,8989,35755.0,-13349,-149262,595470,,0.0,7900.0,0.0,-35234,1678,-4370,2735,-24727,-3928.0,-55946,,7189364,-7181454,-522870.0,-2400.0,-517360,-15083,7081,1082818,1089899,1089899,,,,,,,,,,,,,,,
9927,2015年01月01日至2015年06月30日,,321164,321164,,,36024,714,9997,9140,-5791,-11357.0,-1167,-24157,5047,672,19122.0,,,-46735,-6288,-34541,-1,29190,37529,-7060,-27906,,-150.0,-23144,-6334,94,-12968,-15,-1796.0,-44313,-72219,-53097,268067,5791,11357.0,-9075,-86709,189431,,0.0,7900.0,,-21622,1447,-4465,2735,-23641,-3450.0,-41096,,4824498,-4903833,,,-79335,-64684,4316,1082818,1087134,1087134,,,,,,,,,,,,,,,
9927,2015年01月01日至2015年03月31日,,93891,93891,,,17986,357,4225,4018,-1734,,-426,12797,-1144,338,36417.0,,,-17376,-1076,-80690,1064,216867,-119505,-10669,-11385,,-21.0,-43493,-13585,47,-11330,-19,582.0,-67819,-79204,-42787,51104,1734,,-4369,-6358,42111,,0.0,,,-17096,686,-153,65,-24214,-3600.0,-36412,,2591278,-2701184,,,-109906,-17093,-121300,1082818,961518,961518,7900.0,,,,,,,,,,,,,,
9927,2014年度,,931330,931330,,,69796,1085,4961,20755,-9782,,-2411,55978,-1569,1338,,,,-50271,9875,-15625,12756,397087,106225,4120,464167,,150.0,66345,3115,-120,6616,-23,,78176,542343,686364,1617694,9782,,-20885,-168503,1438088,,-100272.0,0.0,,-29296,5275,-2445,3170,-9369,-150.0,-134221,,13506283,-13999681,-418297.0,-1800.0,-913495,43906,434278,648540,1082818,1082818,,,0.0,3870.0,0.0,144021.0,2093.0,-1134.0,0.0,,,,,,
9927,2014年01月01日至2014年09月30日,,714589,714589,,,51885,787,1537,15693,-5923,-39757.0,-1381,-669,-3192,668,19648.0,,,-52842,-4976,-52970,13722,93966,127252,5797,129949,,112.0,15512,7547,159,-6686,-22,1587.0,18209,148158,167806,882395,5923,39757.0,-15425,-159315,753335,,-50272.0,0.0,-50000.0,-21526,1865,-2272,3012,-17992,0.0,-137185,,10625085,-11250721,0.0,-1800.0,-627436,12742,1456,648540,649996,649996,,,,,,,,,,,,,,,
9927,2014年01月01日至2014年06月30日,,404601,404601,,,34466,524,-13602,10605,-3725,-11583.0,-627,1967,-3468,658,15215.0,,,-94166,7015,-143933,9965,147880,128795,2246,57802,,70.0,15648,-4980,106,21427,517,1059.0,33847,91649,106864,511465,3725,11583.0,-10225,-93636,422912,,-50272.0,0.0,,-14580,662,-1792,2332,-22355,0.0,-86005,,7781024,-8072394,,,-291370,-7924,37613,648540,686153,686153,,,,,,,,,,,,,,,
9927,2014年01月01日至2014年03月31日,,213041,213041,,,17240,262,-5813,5442,-1773,,0,5190,2391,331,23270.0,,,-46164,9462,64983,13353,-290358,112156,-1986,-138554,,0.0,77477,-17725,54,-6934,-38,521.0,53355,-85199,-61929,151112,1773,,-4974,-4499,143412,,-50271.0,,,-5356,0,-752,1292,-4935,0.0,-60022,,3492561,-3577131,,,-84570,17450,16270,648540,664810,664810,0.0,,,,,,,,,,,,,,
9927,2013年度,,878058,878058,,,69968,1035,27356,20718,-11859,,-448,808,-15595,1956,,,,-230588,5837,189514,-11898,-503999,-146188,31272,-666050,,0.0,-50823,5604,-179,-22743,-1125,,-67462,-733512,-644740,233318,11859,,-20708,-90133,134336,,0.0,5691.0,,-24422,448,-5655,5975,-4000,0.0,-2010,,8620756,-8430212,-448903.0,-1800.0,-260159,6562,-121271,769811,648540,648540,,,-580.0,0.0,-4587.0,88772.0,1804.0,-88.0,20041.0,,,,,,
9927,2013年01月01日至2013年12月31日,,878058,878058,,,69968,1035,27356,20718,-11859,,-448,808,-15595,1956,,,,-230588,5837,189514,-11898,-503999,-146188,31272,-666050,,,-50823,5604,-179,-22743,-1125,,-67462,-733512,-644740,233318,11859,,-20708,-90133,134336,,0.0,5691.0,,-24422,448,-5655,5975,20041,,-2010,,8620756,-8430212,-448903.0,,-260159,6562,-121271,769811,648540,648540,,,-580.0,,-4587.0,88772.0,1804.0,-88.0,,,,-4000.0,0.0,0.0,-1800.0
9927,2013年01月01日至2013年09月30日,,666403,666403,,,52699,772,31408,15532,-5976,-30291.0,-276,1796,-32387,1628,,,,-312358,8857,348899,1609,-309465,5376,-10983,-268065,,0.0,-18178,14480,167,57664,-1158,,54317,-213748,-178843,487560,5976,30291.0,-15182,-84756,423889,,0.0,,0.0,-16830,276,-5101,4984,-4000,,-718,,5575709,-5827874,,0.0,-252669,230,170732,769811,940543,940543,,,,,,34905.0,1342.0,-88.0,20041.0,-504.0,,,,,
